id	name	reactions	parent
PWY-5307	gentiodelphin biosynthesis	RXN-8235|RXN-8234|RXN-8233|RXN-8232|RXN-8231|RXN-8228	ANTHOCYANIN-SYN
PWY-7458	violdelphin biosynthesis	RXN-15354|RXN-15353|RXN-15352|RXN-15351|RXN-15350	ANTHOCYANIN-SYN
PWY-7256	cyanidin diglucoside biosynthesis (acyl-glucose dependent)	RXN-14446|RXN-14436|RXN-14435|RXN-14434|RXN-13969|RXN-14432|RXN-13967|RXN-13970	ANTHOCYANIN-SYN
PWY-5139	pelargonidin conjugates biosynthesis	RXN-7998|RXN-7997|RXN-7832|RXN-7834|RXN-7830|RXN-7828	ANTHOCYANIN-SYN
PWY-5268	salvianin biosynthesis	RXN-8139|2.3.1.172-RXN|RXN-8140|RXN-7997|RXN-8138|RXN-7828	ANTHOCYANIN-SYN
PWY-7280	ternatin C3 biosynthesis	RXN-14496	ANTHOCYANIN-SYN
PWY-5295	ternatin C5 biosynthesis	RXN-8209|RXN-8208|RXN-8206	ANTHOCYANIN-SYN
PWY-7452	cyanidin dimalonylglucoside biosynthesis	RXN-15336|RXN-15335	ANTHOCYANIN-SYN
PWY-7253	apigeninidin 5-O-glucoside biosynthesis	RXN-14427|RXN-14426|RXN-14425	ANTHOCYANIN-SYN
PWY-5125	anthocyanin biosynthesis	RXN-18349|RXN-18348|2.4.1.115-RXN	ANTHOCYANIN-SYN
PWY-7260	delphinidin diglucoside biosynthesis (acyl-glucose dependent)	RXN-14448|RXN-14442|RXN-14441	ANTHOCYANIN-SYN
PWY-5160	rose anthocyanin biosynthesis I (via cyanidin 5-O-beta-D-glucoside)	RXN-8006|RXN-8005	ANTHOCYANIN-SYN|Glycosylation-Pathways
PWY-7267	anthocyanin biosynthesis (pelargonidin 3-O-glucoside)	RXN-18352|PELUDP-RXN|LEUCPEL-RXN	ANTHOCYANIN-SYN
PWY-7450	anthocyanidin modification (Arabidopsis)	RXN-15333|RXN-15332|RXN-15331|RXN-15330|RXN-15329|RXN-15328|RXN-15327|RXN-15326|RXN1F-775	ANTHOCYANIN-SYN
PWY-5105	hesperitin glycoside biosynthesis	RXN-7760|RXN-7759|RXN-7755|RXN-7754	FLAVANONES-SYN
PWY-6602	naringenin C-glucosylation	RXN-18753|RXN-11685|RXN-14076|RXN-14069|RXN-11686|RXN-11684	FLAVANONES-SYN
PWY-5094	naringenin glycoside biosynthesis	RXN-7732|RXN-5002|RXN-5381	FLAVANONES-SYN
PWY-5118	ponciretin biosynthesis	RXN-7777	FLAVANONES-SYN
PWY-5477	gallotannin biosynthesis	RXN-8727|RXN-8726|RXN-8725|RXN-8724|RXN-8723|RXN-8722|RXN-8721	GALLOTANNINS
PWY-5476	cornusiin E biosynthesis	RXN-8720|RXN-8719	ELLAGITANNINS
PWY-7629	yatein biosynthesis II	RXN-16342|RXN-16343|RXN-16341|RXN-16340	Yatein-Biosynthesis
PWY-7748	yatein biosynthesis I	RXN-17348|RXN-17347|RXN-16361|RXN-16360	Yatein-Biosynthesis
PWY-5530	sorbitol biosynthesis II	GLUCONOKIN-RXN|GLUCONOLACT-RXN|1.1.99.28-RXN	Sorbitol-Biosynthesis
PWY-8373	erythritol biosynthesis II	RXN-23190|RXN-23191	Erythritol-Biosynthesis
PWY-8372	erythritol biosynthesis I	RXN-23188|RXN-23189	Erythritol-Biosynthesis
PWY-8078	quebrachitol biosynthesis	RXN-20799|MYO-INOSITOL-3-O-METHYLTRANSFERASE-RXN	Cyclitols-Biosynthesis
PWY-2301	myo-inositol biosynthesis	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN|MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	Cyclitols-Biosynthesis
PWY-6366	D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis	RXN-7162|RXN-10945|2.7.1.133-RXN|2.7.1.140-RXN	Cyclitols-Biosynthesis
PWY-6351	D-myo-inositol (1,4,5)-trisphosphate biosynthesis	3.1.4.11-RXN|2.7.1.149-RXN|2.7.8.11-RXN|1-PHOSPHATIDYLINOSITOL-KINASE-RXN|2.7.1.68-RXN	Cyclitols-Biosynthesis
PWY-6624	salicylate glucosides biosynthesis III	RXN-11659	Salicylate-Glycosylation
PWY-6365	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	2.7.1.134-RXN|2.7.1.133-RXN|2.7.1.140-RXN|RXN-10955	Cyclitols-Biosynthesis
PWY-6369	inositol diphosphates biosynthesis	RXN-10974|RXN-10972|RXN-7163|RXN-4941|2.7.4.24-RXN|2.7.1.152-RXN	Cyclitols-Biosynthesis
PWY-5338	galactosylcyclitol biosynthesis	RXN-8279|RXN-8278|RXN-8277|RXN-8281	Cyclitols-Biosynthesis
PWY-6364	D-myo-inositol (1,3,4)-trisphosphate biosynthesis	3.1.3.62-RXN|RXN-8730|2.7.1.127-RXN	Cyclitols-Biosynthesis
PWY-6623	salicylate glucosides biosynthesis II	RXN-11705|RXN-10446	Salicylate-Glycosylation
PWY-6762	salicylate glucosides biosynthesis IV	RXN-11658	Salicylate-Glycosylation
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	RXN-10040|RXN-12071|RXN-12070|RXN-12073|RXN-12072	Phenolic-Compounds-Degradation
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	HCAMULTI-RXN|PHENPRODIOLDEHYDROG-RXN|MHPHYDROXY-RXN|1.13.11.16-RXN|MHPCHYDROL-RXN	Phenolic-Compounds-Degradation
PWY-6080	4-ethylphenol degradation (anaerobic)	RXN-11246|OHBENZCOARED-RXN|RXN-9832|RXN-9831|RXN-9833|RXN-9834	Phenolic-Compounds-Degradation
PWY-8162	phenylethanol degradation	RXN-21540|PHENDEHYD-RXN	Phenolic-Compounds-Degradation
PWY-6071	superpathway of phenylethylamine degradation	RXN-2425|RXN-10819|RXNMETA-12672|RXNMETA-12671|RXN0-6510|RXN0-6512|RXN0-2042|RXN0-2044|RXN-3641|RXN-10817|PHENDEHYD-RXN	AMINE-DEG|Phenolic-Compounds-Degradation|Super-Pathways
PWY-7757	bisphenol A degradation	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN|RXN-9832|RXN-17423|RXN-17422|RXN-17421	Phenolic-Compounds-Degradation
PWY-7777	isoprene degradation	RXN-17596|RXN-17591|RXN-17592|RXN-17593|RXN-17594|RXN-17595	Alkene-Degradation
P281-PWY	3-phenylpropanoate degradation	RXN-2003|RXN-2002|RXN-2006|R246-RXN|1.14.13.58-RXN|R242-RXN|R241-RXN|RXN-10445|MALEYLPYRUVATE-ISOMERASE-RXN|GENTISATE-12-DIOXYGENASE-RXN	Phenolic-Compounds-Degradation|Super-Pathways
PWY-7776	ethene and chloroethene degradation	RXN-17587|RXN-17590|RXN-17586|RXN-17585|RXN-17583|RXN-17582|RXN-17581|RXN-17580	Alkene-Degradation
PWY-5534	propene degradation	RXN-8806|1.14.13.69-RXN|RXN-8805|4.2.99.19-RXN|1.1.1.268-RXN|1.1.1.269-RXN|1.8.1.5-RXN	Alkene-Degradation
PWY-7778	2-methylpropene degradation	RXN-17588|RXN-17589|RXN-17602|RXN-17603|RXN-17606|RXN-17605|RXN-11662|ACETYL-COA-ACETYLTRANSFER-RXN	Alkene-Degradation
PWY-7627	2,4,6-trinitrophenol and 2,4-dinitrophenol degradation	RXN-16311|RXN-16310|RXN-16309|RXN-16308|RXN-16305|RXN-16304|RXN-16306	Nitrophenol-Degradation
PWY-5372	carbon tetrachloride degradation II	1.2.7.4-RXN|FORMATE-DEHYDROGENASE-NADP+-RXN|RXN-8408|RXN-8407|RXN-8406|RXN-8401	Carbon-tetrachloride-degradation
PWY-5370	carbon tetrachloride degradation I	R525-RXN|RXN-8410|R527-RXN|R526-RXN	Carbon-tetrachloride-degradation
PWY-6102	5-chloro-3-methyl-catechol degradation	RXN-9904|RXN-17091|RXN-9905|RXN-9902	Chloroaromatic-Compounds-Degradation
PWY-6197	chlorinated phenols degradation	RXN-10127|RXN-10129|RXN-10128|RXN-10125	Chloroaromatic-Compounds-Degradation
PWY-7512	3,5,6-trichloro-2-pyridinol degradation	RXN-20730|RXN-20729|RXN-20728|RXN-20727|RXN-20726|RXN-15576	Chloroaromatic-Compounds-Degradation
PWY-6738	pinitol biosynthesis I	RXN-20892|2.1.1.129-RXN|RXN-12208	Pinitol-Biosynthesis
PWY-6086	4-chloro-2-methylphenoxyacetate degradation	RXN-9866|RXN-9864	Chloroaromatic-Compounds-Degradation
PWY-6739	pinitol biosynthesis II	RXN-12209|D-PINITOL-DEHYDROGENASE-RXN|SEQUOYITOL-DEHYDROGENASE-RXN	Pinitol-Biosynthesis
PWY-6178	2,4,6-trichlorophenol degradation	RXN-20723|RXN-20724|RXN-20721|RXN-20722|RXN-18362|MALEYLACETATE-REDUCTASE-RXN|CHLOROMALERED-RXN|RXN-10075	Chloroaromatic-Compounds-Degradation
PWY-6362	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)	RXN-8730|2.7.1.127-RXN|RXN-7163|2.7.1.133-RXN|2.7.1.140-RXN	Phytate-Biosynthesis
PWY-7496	linuron degradation	RXN-15527|RXN-15526	Chloroaromatic-Compounds-Degradation
PWY-6361	1D-myo-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)	RXN-7184|2.7.1.127-RXN|2.7.1.151-RXN|RXN-7162|RXN-7163	Phytate-Biosynthesis
PWY4FS-12	VTC2 cycle	RXN-7772|RXN4FS-12	Sugars-And-Polysaccharides-Degradation
PWY-6554	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	2.7.1.140-RXN|2.7.1.133-RXN|2.7.1.139-RXN|RXN-7184|RXN-7163	Phytate-Biosynthesis
PWY-7130	L-glucose degradation	DEHYDDEOXPHOSGALACT-ALDOL-RXN|DEHYDDEOXGALACTKIN-RXN|RXN-13775|RXN-13774|RXN-13773|RXN-13772|RXN-13771	Sugars-And-Polysaccharides-Degradation
PWY-4661	1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)	MYO-INOSITOL-1-KINASE-RXN|RXN-7202|MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN|2.7.1.134-RXN|RXN-7203|RXN-7204|RXN-7163	Phytate-Biosynthesis
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	RXN0-6373|GLUCONOLACT-RXN|GLUCONATE-2-DEHYDROGENASE-RXN|1.1.1.43-RXN|DEHYDOGLUCONOKINASE-RXN	SUGAR-ACIDS-DEG|Sugars-And-Polysaccharides-Degradation
PWY-6372	1D-myo-inositol hexakisphosphate biosynthesis IV (Dictyostelium)	2.7.1.140-RXN|RXN-10982|RXN-10983|RXN-10984|MYO-INOSITOL-1-KINASE-RXN|MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN|RXN-7163	Phytate-Biosynthesis
PWY-7459	kojibiose degradation	BETA-PHOSPHOGLUCOMUTASE-RXN|2.4.1.230-RXN	Sugars-And-Polysaccharides-Degradation
PWY-6427	rot-2'-enonate biosynthesis	RXN-3762|RXN-9058|RXN-9057|RXN-9056|RXN-9054|RXN-9053|RXN-9052	Rotenoids-Biosynthesis
PWY-8324	D-tagatose degradation	RXN-22448|TRANS-RXN-416|TAGAALDOL-RXN	Sugars-And-Polysaccharides-Degradation
PWY-6425	rotenoid biosynthesis II	RXN-11208|RXN-11207|RXN-11206|RXN-9061	Rotenoids-Biosynthesis
MALTOSECAT-PWY	maltose degradation	BETA-PHOSPHOGLUCOMUTASE-RXN|MALTOSE-PHOSPHORYLASE-RXN	Sugars-And-Polysaccharides-Degradation
PWY-5775	rotenoid biosynthesis I	RXN-9062|RXN-9064|RXN-9063|RXN-9061|RXN-9060|RXN-9059	Rotenoids-Biosynthesis
PWY0-1309	chitobiose degradation	RXN0-7392|RXN0-7391	Sugars-And-Polysaccharides-Degradation
PWY-7771	butachlor degradation	RXN-17546|RXN-17542|DHLBXANAU-RXN|RXN-17540|RXN-17539|RXN-17538	Chloroaromatic-Compounds-Degradation
PWY-3861	mannitol degradation II	RXN-14500|1.1.1.255-RXN|MANNKIN-RXN|MANNPISOM-RXN	Mannitol-Degradation|Sugars-And-Polysaccharides-Degradation
PWY-6200	2,4,5-trichlorophenoxyacetate degradation	RXN-10137|RXN-12313|RXN-12312|RXN-10133|RXN-10134|RXN-10135|RXN-10136|1.6.5.7-RXN|MALEYLACETATE-REDUCTASE-RXN	Chloroaromatic-Compounds-Degradation
PWY0-44	D-allose degradation	ALLOSE-KINASE-RXN|RXN0-304|RXN0-303	Sugars-And-Polysaccharides-Degradation
PWY-6107	chlorosalicylate degradation	RXN-9914|RXN-9869|MALEYLACETATE-REDUCTASE-RXN|RXN-9892|RXN-9870|RXN-9912|RXN-9913	Chloroaromatic-Compounds-Degradation
PWY-6778	laminaribiose degradation	LAMINARIBIOSE-PHOSPHORYLASE-RXN	Sugars-And-Polysaccharides-Degradation
PWY-6085	2,4-dichlorophenoxyacetate degradation	RXN-9863|24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN	Chloroaromatic-Compounds-Degradation
RIBOKIN-PWY	ribose phosphorylation	RXN0-5304|RIBOKIN-RXN	Sugars-And-Polysaccharides-Degradation
PWY-7823	chlorzoxazone degradation	RXN-18090|RXN-18091	Chloroaromatic-Compounds-Degradation
PWY-7077	N-acetyl-D-galactosamine degradation	TAGAALDOL-RXN|TAGAKIN-RXN|RXN-13548|3.5.1.80-RXN|RXN-13547	Sugars-And-Polysaccharides-Degradation
PWY-6081	1,3-dichlorobenzene degradation	RXN-9854|RXN-9853	Chlorobenzene-Degradation
PWY-7395	D-galactosamine and N-acetyl-D-galactosamine degradation	TAGAALDOL-RXN|TAGAKIN-RXN|RXN-13548|3.5.1.80-RXN	Sugars-And-Polysaccharides-Degradation
PWY-6099	1,2,4,5-tetrachlorobenzene degradation	RXN-9876|RXN-9875	Chlorobenzene-Degradation
PWY-8121	2-deoxy-D-glucose 6-phosphate degradation	3.1.3.68-RXN|RXN-18514|RXN-18513|KDUD-RXN	Sugars-And-Polysaccharides-Degradation
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	GLURS-RXN|GLUTRNAREDUCT-RXN|GSAAMINOTRANS-RXN|PORPHOBILSYNTH-RXN|OHMETHYLBILANESYN-RXN|UROGENIIISYN-RXN	Tetrapyrrole-Biosynthesis
LYXMET-PWY	L-lyxose degradation	RIBULPEPIM-RXN|LXULRU5P-RXN|LYXK-RXN|LYXISOM-RXN	Sugars-And-Polysaccharides-Degradation
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	UROGENIIISYN-RXN|OHMETHYLBILANESYN-RXN|PORPHOBILSYNTH-RXN|5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	Tetrapyrrole-Biosynthesis
PWY0-1301	melibiose degradation	ALPHAGALACTOSID-RXN	Sugars-And-Polysaccharides-Degradation
PWY-6083	chlorobenzene degradation	RXN-9859|RXN-9858	Chlorobenzene-Degradation
P302-PWY	L-sorbose degradation	SORB6PDEHYDROG-RXN|R262-RXN	Sugars-And-Polysaccharides-Degradation
PWY-6090	1,2-dichlorobenzene degradation	RXN-9879|RXN-9878	Chlorobenzene-Degradation
PWY0-1602	D-gulosides conversion to D-glucosides	RXN-20680|RXN-20681|RXN-20682	Sugars-And-Polysaccharides-Degradation
14DICHLORBENZDEG-PWY	1,4-dichlorobenzene degradation	RXN-18362|RXN-18361|RXN-18360|MALEYLACETATE-REDUCTASE-RXN|CHLOROMALERED-RXN|DIENELACHYDRO-RXN|CHLOROCATDIOXY-RXN|CHLOROBENDDH-RXN|DIOXYXANFL-RXN	Chlorobenzene-Degradation
PWY-6527	stachyose degradation	GLUC1PURIDYLTRANS-RXN|GALACTOKIN-RXN|GALACTURIDYLYLTRANS-RXN|RXN-11502|RXN-11501|UDPGLUCEPIM-RXN|UTPHEXPURIDYLYLTRANS-RXN	Sugars-And-Polysaccharides-Degradation
PWY-5194	siroheme biosynthesis	RXN-8675|UROPORIIIMETHYLTRANSA-RXN|SIROHEME-FERROCHELAT-RXN|DIMETHUROPORDEHYDROG-RXN	Porphyrin-Compounds-Biosynthesis
PWY4FS-13	extended VTC2 cycle	RXN-7772|RXN4FS-13|RXN4FS-14	Sugars-And-Polysaccharides-Degradation
PWY-5297	siroheme amide biosynthesis	RXN-8213|RXN-8212	Porphyrin-Compounds-Biosynthesis
PWY-6992	1,5-anhydrofructose degradation	PGLUCISOM-RXN|MANNPISOM-RXN|MANNKIN-RXN|RXN-13064|1.1.1.292-RXN	Sugars-And-Polysaccharides-Degradation
PWY-5196	factor 430 biosynthesis	DIMETHUROPORDEHYDROG-RXN|RXN-8675|UROPORIIIMETHYLTRANSA-RXN|RXN-8063|RXN-8061|RXN-8060|RXN-8059	Enzyme-Cofactor-Biosynthesis|Porphyrin-Compounds-Biosynthesis
PWY-7180	2-deoxy-alpha-D-ribose 1-phosphate degradation	ACETALD-DEHYDROG-RXN|DEOXYRIBOSE-P-ALD-RXN|D-PPENTOMUT-RXN	Sugars-And-Polysaccharides-Degradation
PWY-6091	1,2,4-trichlorobenzene degradation	RXN-9880|RXN-9877	Chlorobenzene-Degradation
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	RXN0-6373|GLUCOKIN-RXN|PHOSPHOGLUCMUT-RXN|GLUCONOLACT-RXN|GLUCOSE-1-PHOSPHAT-RXN	Sugars-And-Polysaccharides-Degradation
PWY-6640	salicylate degradation IV	GENTISATE-12-DIOXYGENASE-RXN|RXN-11741|RXN-11740|RXN-11739|RXN-11113	Salicylate-Degradation
PWY-7562	3,6-anhydro-alpha-L-galactopyranose degradation	KDPGALDOL-RXN|DEOXYGLUCONOKIN-RXN|RXN-16964|1.1.1.127-RXN|RXN-15999|RXN-15893|RXN-15892	Sugars-And-Polysaccharides-Degradation
PWY-7758	bacteriochlorophyll d biosynthesis	RXN-17491|RXN-5286|RXN-17440|RXN-17439|RXN-17438|RXN-17437|RXN-17436|RXN-17435|RXN-17434|RXN-17433|RXN-17432|RXN-17431|RXN-17430|RXN-17429	Chlorophyll-Biosynthesis
PWY0-1300	2-O-alpha-mannosyl-D-glycerate degradation	GKI-RXN|RXN0-5216	Sugars-And-Polysaccharides-Degradation
PWY-7762	bacteriochlorophyll b biosynthesis	RXN-17482|RXN-17484|RXN-17481|RXN-17480|RXN-17479|RXN-17478|RXN-17477	Chlorophyll-Biosynthesis
P124-PWY	Bifidobacterium shunt	GLUCOKIN-RXN|PGLUCISOM-RXN|L-LACTATE-DEHYDROGENASE-RXN|PEPDEPHOS-RXN|2PGADEHYDRAT-RXN|3PGAREARR-RXN|PHOSGLYPHOS-RXN|GAPOXNPHOSPHN-RXN|PHOSPHOKETOLASE-RXN|RIBULP3EPIM-RXN|RIB5PISOM-RXN|1TRANSKETO-RXN|TRANSALDOL-RXN|ACETATEKIN-RXN|FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN	Acetate-Formation|Fermentation-to-Lactate|Sugars-And-Polysaccharides-Degradation
PWY-5526	bacteriochlorophyll a biosynthesis	RXN-17491|RXN-5286|RXN-17425|RXN-17424|RXN-8792|RXN-8793|RXN-8791|RXN-8790|RXN-8789|RXN-8788|RXN-8787|RXN-8786|RXN-8785	Chlorophyll-Biosynthesis
PWY0-1314	fructose degradation	1PFRUCTPHOSN-RXN	Sugars-And-Polysaccharides-Degradation
PWY-7760	bacteriochlorophyll e biosynthesis	RXN-18420|RXN-18418|RXN-18416|RXN-18414|RXN-17491|RXN-5286|RXN-17465|RXN-17466|RXN-17467|RXN-17468|RXN-17463|RXN-17462|RXN-17461|RXN-17460|RXN-17459|RXN-17458|RXN-17457|RXN-17456|RXN-17445|RXN-17444|RXN-17443|RXN-17441|RXN-17436|RXN-17435|RXN-17434|RXN-17433|RXN-17432|RXN-17431|RXN-17430|RXN-17429	Chlorophyll-Biosynthesis
PWY-7775	propane degradation II	RXN-17579|RXN-17578|RXN-17571|RXN-17569|RXN-17568	Propane-Degradation
PWY-7759	bacteriochlorophyll c biosynthesis	RXN-17491|RXN-5286|RXN-17448|RXN-17447|RXN-17446|RXN-17445|RXN-17444|RXN-17443|RXN-17442|RXN-17441|RXN-17436|RXN-17435|RXN-17434|RXN-17433|RXN-17432|RXN-17431|RXN-17430|RXN-17429	Chlorophyll-Biosynthesis
PWY-7774	propane degradation I	RXN-17572|RXN-17571|RXN-17567|RXN-17568	Propane-Degradation
PWY-8127	chlorophyll b2 biosynthesis	RXN-21291|RXN-21290|RXN-21289|RXN-21288	Chlorophyll-Biosynthesis
2OXOBUTYRATECAT-PWY	2-oxobutanoate degradation II	RXN-7938|2-OXOBUTYRATE-SYNTHASE-RXN	2-Oxobutanoate-Degradation
