ID	Name	Compartment	Charge	boundary Condition	KEGG	InChI
M_00047	C05265_3-Oxodecanoyl-CoA_C31H52N7O18P3S	C_00002	UNDEF	UNDEF	C05265	
M_00048	C16334_3-Oxo-OPC6-CoA_C37H58N7O19P3S	C_00003	UNDEF	UNDEF	C16334	
M_00049	C16333_3-Hydroxy-OPC6-CoA_C37H60N7O19P3S	C_00003	UNDEF	UNDEF	C16333	
M_00050	C16338_3-Oxo-OPC4-CoA_C35H54N7O19P3S	C_00003	UNDEF	UNDEF	C16338	
M_00051	C16337_3-Hydroxy-OPC4-CoA_C35H56N7O19P3S	C_00003	UNDEF	UNDEF	C16337	
E_00016	2.5.1.54	C_00003	UNDEF	UNDEF		
M_00052	C04691_2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate_C7H13O10P	C_00003	UNDEF	UNDEF	C04691	
M_00053	C00074_Phosphoenolpyruvate_C3H5O6P	C_00003	UNDEF	UNDEF	C00074	
M_00054	C00279_D-Erythrose 4-phosphate_C4H9O7P	C_00003	UNDEF	UNDEF	C00279	
M_00055	C00188_L-Threonine_C4H9NO3	C_00001	UNDEF	UNDEF	C00188	
M_00056	C00188_L-Threonine_C4H9NO3	C_00003	UNDEF	UNDEF	C00188	
M_00057	C00073_L-Methionine_C5H11NO2S	C_00001	UNDEF	UNDEF	C00073	
M_00058	C00073_L-Methionine_C5H11NO2S	C_00003	UNDEF	UNDEF	C00073	
M_00059	C00311_Isocitrate_C6H8O7	C_00002	UNDEF	UNDEF	C00311	
M_00060	C00311_Isocitrate_C6H8O7	C_00003	UNDEF	UNDEF	C00311	
M_00061	C11713_2-Naphthol_C10H8O	C_00001	UNDEF	UNDEF	C11713	
M_00062	C11713_2-Naphthol_C10H8O	C_00003	UNDEF	UNDEF	C11713	
M_00063	C16545_Tamoxifen N-oxide_C26H29NO2	C_00003	UNDEF	UNDEF	C16545	
M_00064	C16545_Tamoxifen N-oxide_C26H29NO2	C_00001	UNDEF	UNDEF	C16545	
M_00065	C00327_L-Citrulline_C6H13N3O3	C_00001	UNDEF	UNDEF	C00327	
M_00066	C00327_L-Citrulline_C6H13N3O3	C_00003	UNDEF	UNDEF	C00327	
M_00067	C03428_Presqualene diphosphate_C30H52O7P2	C_00003	UNDEF	UNDEF	C03428	
M_00068	C03428_Presqualene diphosphate_C30H52O7P2	C_00001	UNDEF	UNDEF	C03428	
E_00017	2.3.1.15	C_00003	UNDEF	UNDEF		
M_00069	C00040_Acyl-CoA_C22H35N7O17P3SR	C_00003	UNDEF	UNDEF	C00040	
M_00070	C00010_CoA_C21H36N7O16P3S	C_00003	UNDEF	UNDEF	C00010	
M_00071	C00093_sn-Glycerol 3-phosphate_C3H9O6P	C_00003	UNDEF	UNDEF	C00093	
M_00072	C00681_1-Acyl-sn-glycerol 3-phosphate_C4H8O7PR	C_00003	UNDEF	UNDEF	C00681	
E_00018	2.A.29.1.#	C_00002	UNDEF	UNDEF		
E_00019	2.A.29.15.#	C_00002	UNDEF	UNDEF		
E_00020	2.A.29.2.#	C_00002	UNDEF	UNDEF		
E_00021	2.A.29.7.#	C_00002	UNDEF	UNDEF		
E_00022	2.A.29.9.#	C_00002	UNDEF	UNDEF		
M_00073	C00036_Oxaloacetate_C4H4O5	C_00003	UNDEF	UNDEF	C00036	
M_00074	C00036_Oxaloacetate_C4H4O5	C_00002	UNDEF	UNDEF	C00036	
M_00075	C00966_2-Dehydropantoate_C6H10O4	C_00002	UNDEF	UNDEF	C00966	
M_00076	C00966_2-Dehydropantoate_C6H10O4	C_00003	UNDEF	UNDEF	C00966	
M_00077	C00135_L-Histidine_C6H9N3O2	C_00001	UNDEF	UNDEF	C00135	
M_00078	C00135_L-Histidine_C6H9N3O2	C_00003	UNDEF	UNDEF	C00135	
M_00079	C00042_Succinate_C4H6O4	C_00001	UNDEF	UNDEF	C00042	
M_00080	C00042_Succinate_C4H6O4	C_00003	UNDEF	UNDEF	C00042	
E_00023	4.2.1.17	C_00003	UNDEF	UNDEF		
E_00024	4.2.1.55	C_00003	UNDEF	UNDEF		
M_00081	C01144_(S)-3-Hydroxybutanoyl-CoA_C25H42N7O18P3S	C_00003	UNDEF	UNDEF	C01144	
M_00082	C00877_Crotonoyl-CoA_C25H40N7O17P3S	C_00003	UNDEF	UNDEF	C00877	
M_00083	C00288_HCO3-_HCO3	C_00002	UNDEF	UNDEF	C00288	
M_00084	C00288_HCO3-_HCO3	C_00003	UNDEF	UNDEF	C00288	
M_00085	C00062_L-Arginine_C6H14N4O2	C_00001	UNDEF	UNDEF	C00062	
M_00086	C00062_L-Arginine_C6H14N4O2	C_00003	UNDEF	UNDEF	C00062	
M_00087	C00183_L-Valine_C5H11NO2	C_00001	UNDEF	UNDEF	C00183	
M_00088	C00183_L-Valine_C5H11NO2	C_00003	UNDEF	UNDEF	C00183	
M_00089	C05802_2-Hexaprenyl-6-methoxyphenol_C37H56O2	C_00002	UNDEF	UNDEF	C05802	
M_00090	C05313_3-Hexaprenyl-4-hydroxy-5-methoxybenzoate_C38H56O4	C_00002	UNDEF	UNDEF	C05313	
M_00091	C00011_CO2_CO2	C_00002	UNDEF	UNDEF	C00011	
E_00025	1.1.1.157	C_00003	UNDEF	UNDEF		
M_00092	C02232_3-Oxoadipyl-CoA_C27H42N7O20P3S	C_00003	UNDEF	UNDEF	C02232	
M_00093	C14145_(3S)-3-Hydroxyadipyl-CoA_C27H44N7O20P3S	C_00003	UNDEF	UNDEF	C14145	
M_00094	C00141_3-Methyl-2-oxobutanoic acid_C5H8O3	C_00002	UNDEF	UNDEF	C00141	
M_00095	C00141_3-Methyl-2-oxobutanoic acid_C5H8O3	C_00003	UNDEF	UNDEF	C00141	
E_00026	3.5.2.3	C_00003	UNDEF	UNDEF		
M_00096	C00438_N-Carbamoyl-L-aspartate_C5H8N2O5	C_00003	UNDEF	UNDEF	C00438	
M_00097	C00337_(S)-Dihydroorotate_C5H6N2O4	C_00003	UNDEF	UNDEF	C00337	
E_00027	2.A.18.4.#	C_00004	UNDEF	UNDEF		
E_00028	2.A.18.6.#	C_00004	UNDEF	UNDEF		
E_00029	2.A.18.7.#	C_00004	UNDEF	UNDEF		
E_00030	2.A.3.10.#	C_00004	UNDEF	UNDEF		
E_00031	2.A.3.4.#	C_00004	UNDEF	UNDEF		
E_00032	2.A.3.8.#	C_00004	UNDEF	UNDEF		
M_00098	C00080_H+_H	C_00001	UNDEF	UNDEF	C00080	
E_00033	1.5.1.20	C_00003	UNDEF	UNDEF		
M_00099	C00143_5,10-Methylenetetrahydrofolate_C20H23N7O6	C_00003	UNDEF	UNDEF	C00143	
M_00100	C00440_5-Methyltetrahydrofolate_C20H25N7O6	C_00003	UNDEF	UNDEF	C00440	
E_00034	2.4.1.261	C_00003	UNDEF	UNDEF		
M_00101	G00007	C_00003	UNDEF	UNDEF	G00007	
M_00102	G10617_Dolichyl phosphate D-mannose	C_00003	UNDEF	UNDEF	G10617	
M_00103	G10597	C_00003	UNDEF	UNDEF	G10597	
E_00035	3.5.1.23	C_00003	UNDEF	UNDEF		
M_00104	C00162_Fatty acid_CHO2R	C_00003	UNDEF	UNDEF	C00162	
M_00105	C00195_N-Acylsphingosine_C19H36NO3R	C_00003	UNDEF	UNDEF	C00195	
M_00106	C00319_Sphingosine_C18H37NO2	C_00003	UNDEF	UNDEF	C00319	
E_00036	2.5.1.61	C_00002	UNDEF	UNDEF		
M_00107	C00001_H2O_H2O	C_00002	UNDEF	UNDEF	C00001	
M_00108	C01024_Hydroxymethylbilane_C40H46N4O17	C_00002	UNDEF	UNDEF	C01024	
M_00109	C00931_Porphobilinogen_C10H14N2O4	C_00002	UNDEF	UNDEF	C00931	
M_00110	C00014_NH3_NH3	C_00002	UNDEF	UNDEF	C00014	
E_00037	3.5.1.1	C_00003	UNDEF	UNDEF		
E_00038	3.5.1.38	C_00003	UNDEF	UNDEF		
E_00039	3.5.5.4	C_00003	UNDEF	UNDEF		
M_00111	C00152_L-Asparagine_C4H8N2O3	C_00003	UNDEF	UNDEF	C00152	
M_00112	C00049_L-Aspartate_C4H7NO4	C_00003	UNDEF	UNDEF	C00049	
E_00040	2.A.18.5.#	C_00004	UNDEF	UNDEF		
M_00113	C00064_L-Glutamine_C5H10N2O3	C_00001	UNDEF	UNDEF	C00064	
M_00114	C00064_L-Glutamine_C5H10N2O3	C_00003	UNDEF	UNDEF	C00064	
M_00115	C00152_L-Asparagine_C4H8N2O3	C_00001	UNDEF	UNDEF	C00152	
M_00116	C00322_2-Oxoadipate_C6H8O5	C_00003	UNDEF	UNDEF	C00322	
M_00117	C00322_2-Oxoadipate_C6H8O5	C_00002	UNDEF	UNDEF	C00322	
E_00041	4.2.1.59	C_00003	UNDEF	UNDEF		
M_00118	C20378_Enoylpimeloyl-[acp] methyl ester_C8H11O3SR	C_00003	UNDEF	UNDEF	C20378	
M_00119	C20377_3-Hydroxypimeloyl-[acp] methyl ester_C8H13O4SR	C_00003	UNDEF	UNDEF	C20377	
M_00120	C00407_L-Isoleucine_C6H13NO2	C_00001	UNDEF	UNDEF	C00407	
M_00121	C00407_L-Isoleucine_C6H13NO2	C_00003	UNDEF	UNDEF	C00407	
M_00122	C00123_L-Leucine_C6H13NO2	C_00001	UNDEF	UNDEF	C00123	
M_00123	C00123_L-Leucine_C6H13NO2	C_00003	UNDEF	UNDEF	C00123	
M_00124	C04618_(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]_C4H7O2SR	C_00003	UNDEF	UNDEF	C04618	
M_00125	C04246_But-2-enoyl-[acyl-carrier protein]_C4H5OSR	C_00003	UNDEF	UNDEF	C04246	
E_00042	3.5.1.4	C_00003	UNDEF	UNDEF		
M_00126	C03078_4-Guanidinobutanamide_C5H12N4O	C_00003	UNDEF	UNDEF	C03078	
M_00127	C01035_4-Guanidinobutanoate_C5H11N3O2	C_00003	UNDEF	UNDEF	C01035	
M_00128	C00148_L-Proline_C5H9NO2	C_00001	UNDEF	UNDEF	C00148	
M_00129	C00148_L-Proline_C5H9NO2	C_00003	UNDEF	UNDEF	C00148	
M_00130	C20374_Enoylglutaryl-[acp] methyl ester_C6H7O3SR	C_00003	UNDEF	UNDEF	C20374	
M_00131	C20373_3-Hydroxyglutaryl-[acp] methyl ester_C6H9O4SR	C_00003	UNDEF	UNDEF	C20373	
M_00132	C15777_Episterol_C28H46O	C_00005	UNDEF	UNDEF	C15777	
M_00133	C04525_Fecosterol_C28H46O	C_00005	UNDEF	UNDEF	C04525	
M_00134	C00041_L-Alanine_C3H7NO2	C_00001	UNDEF	UNDEF	C00041	
M_00135	C00041_L-Alanine_C3H7NO2	C_00003	UNDEF	UNDEF	C00041	
E_00043	1.1.1.8	C_00003	UNDEF	UNDEF		
E_00044	1.1.1.94	C_00003	UNDEF	UNDEF		
E_00045	3.5.2.5	C_00003	UNDEF	UNDEF		
M_00136	C00499_Allantoate_C4H8N4O4	C_00003	UNDEF	UNDEF	C00499	
M_00137	C02350_(S)(+)-Allantoin_C4H6N4O3	C_00003	UNDEF	UNDEF	C02350	
M_00138	C12126_Dihydroceramide_C19H38NO3R	C_00003	UNDEF	UNDEF	C12126	
M_00139	C00836_Sphinganine_C18H39NO2	C_00003	UNDEF	UNDEF	C00836	
M_00140	C12144_Phytosphingosine_C18H39NO3	C_00003	UNDEF	UNDEF	C12144	
M_00141	C12145_Phytoceramide_C19H38NO4R	C_00003	UNDEF	UNDEF	C12145	
E_00046	2.4.1.260	C_00003	UNDEF	UNDEF		
M_00142	G10596	C_00003	UNDEF	UNDEF	G10596	
E_00047	9.A.27.1.#	C_00002	UNDEF	UNDEF		
M_00143	C16520_Hexadecenoyl-[acyl-carrier protein]_C16H29OSR	C_00002	UNDEF	UNDEF	C16520	
M_00144	C16520_Hexadecenoyl-[acyl-carrier protein]_C16H29OSR	C_00003	UNDEF	UNDEF	C16520	
M_00145	C04088_Octadecanoyl-[acyl-carrier protein]_C18H35OSR	C_00002	UNDEF	UNDEF	C04088	
M_00146	C04088_Octadecanoyl-[acyl-carrier protein]_C18H35OSR	C_00003	UNDEF	UNDEF	C04088	
M_00147	C01203_Oleoyl-[acyl-carrier protein]_C18H33OSR	C_00002	UNDEF	UNDEF	C01203	
M_00148	C01203_Oleoyl-[acyl-carrier protein]_C18H33OSR	C_00003	UNDEF	UNDEF	C01203	
E_00048	2.3.1.85	C_00002	UNDEF	UNDEF		
E_00049	2.3.1.86	C_00002	UNDEF	UNDEF		
E_00050	4.2.1.59	C_00002	UNDEF	UNDEF		
M_00149	C04619_(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]_C10H19O2SR	C_00002	UNDEF	UNDEF	C04619	
M_00150	C05754_trans-Dec-2-enoyl-[acp]_C10H17OSR	C_00002	UNDEF	UNDEF	C05754	
E_00051	3.2.2.5	C_00003	UNDEF	UNDEF		
E_00052	3.2.2.6	C_00003	UNDEF	UNDEF		
M_00151	C00153_Nicotinamide_C6H6N2O	C_00003	UNDEF	UNDEF	C00153	
M_00152	C00301_ADP-ribose_C15H23N5O14P2	C_00003	UNDEF	UNDEF	C00301	
E_00053	1.3.1.9	C_00002	UNDEF	UNDEF		
M_00153	C05755_Decanoyl-[acp]_C10H19OSR	C_00002	UNDEF	UNDEF	C05755	
E_00054	1.3.1.10	C_00003	UNDEF	UNDEF		
M_00154	C00006_NADP+_C21H29N7O17P3	C_00003	UNDEF	UNDEF	C00006	
M_00155	C05745_Butyryl-[acp]_C4H7OSR	C_00003	UNDEF	UNDEF	C05745	
M_00156	C00005_NADPH_C21H30N7O17P3	C_00003	UNDEF	UNDEF	C00005	
M_00157	C00007_Oxygen_O2	C_00002	UNDEF	UNDEF	C00007	
M_00158	C16160_Linoleoyl-[acyl-carrier protein]_C18H31OSR	C_00002	UNDEF	UNDEF	C16160	
E_00055	2.3.1.30	C_00003	UNDEF	UNDEF		
M_00159	C00065_L-Serine_C3H7NO3	C_00003	UNDEF	UNDEF	C00065	
M_00160	C00024_Acetyl-CoA_C23H38N7O17P3S	C_00003	UNDEF	UNDEF	C00024	
M_00161	C00979_O-Acetyl-L-serine_C5H9NO4	C_00003	UNDEF	UNDEF	C00979	
E_00056	1.1.1.3	C_00002	UNDEF	UNDEF		
M_00162	C00263_L-Homoserine_C4H9NO3	C_00002	UNDEF	UNDEF	C00263	
E_00057	1.1.1.3	C_00003	UNDEF	UNDEF		
M_00163	C00263_L-Homoserine_C4H9NO3	C_00003	UNDEF	UNDEF	C00263	
E_00058	2.4.1.257	C_00003	UNDEF	UNDEF		
M_00164	G10614_GDP-D-mannose	C_00003	UNDEF	UNDEF	G10614	
M_00165	G00004	C_00003	UNDEF	UNDEF	G00004	
M_00166	G10620_GDP	C_00003	UNDEF	UNDEF	G10620	
M_00167	G00005	C_00003	UNDEF	UNDEF	G00005	
E_00059	3.5.1.54	C_00003	UNDEF	UNDEF		
M_00168	C00011_CO2_CO2	C_00003	UNDEF	UNDEF	C00011	
M_00169	C01010_Urea-1-carboxylate_C2H4N2O3	C_00003	UNDEF	UNDEF	C01010	
E_00060	2.5.1.48	C_00003	UNDEF	UNDEF		
M_00170	C00097_L-Cysteine_C3H7NO2S	C_00003	UNDEF	UNDEF	C00097	
M_00171	C02291_L-Cystathionine_C7H14N2O4S	C_00003	UNDEF	UNDEF	C02291	
M_00172	C01118_O-Succinyl-L-homoserine_C8H13NO6	C_00003	UNDEF	UNDEF	C01118	
E_00061	4.1.1.49	C_00003	UNDEF	UNDEF		
E_00062	1.4.1.18	C_00003	UNDEF	UNDEF		
M_00173	C00450_(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate_C6H9NO2	C_00003	UNDEF	UNDEF	C00450	
M_00174	C04076_L-2-Aminoadipate 6-semialdehyde_C6H11NO3	C_00003	UNDEF	UNDEF	C04076	
E_00063	2.3.1.41	C_00002	UNDEF	UNDEF		
M_00175	C03939_Acetyl-[acyl-carrier protein]_C2H3OSR	C_00002	UNDEF	UNDEF	C03939	
M_00176	C00229_Acyl-carrier protein_HSR	C_00002	UNDEF	UNDEF	C00229	
M_00177	C01209_Malonyl-[acyl-carrier protein]_C3H3O3SR	C_00002	UNDEF	UNDEF	C01209	
M_00178	C05744_Acetoacetyl-[acp]_C4H5O2SR	C_00002	UNDEF	UNDEF	C05744	
M_00179	C00487_Carnitine_C7H16NO3	C_00001	UNDEF	UNDEF	C00487	
M_00180	C00487_Carnitine_C7H16NO3	C_00003	UNDEF	UNDEF	C00487	
M_00181	C00005_NADPH_C21H30N7O17P3	C_00002	UNDEF	UNDEF	C00005	
M_00182	C00006_NADP+_C21H29N7O17P3	C_00002	UNDEF	UNDEF	C00006	
M_00183	C00189_Ethanolamine_C2H7NO	C_00001	UNDEF	UNDEF	C00189	
M_00184	C00189_Ethanolamine_C2H7NO	C_00003	UNDEF	UNDEF	C00189	
E_00064	3.1.2.14	C_00003	UNDEF	UNDEF		
M_00185	C08362_(9Z)-Hexadecenoic acid_C16H30O2	C_00002	UNDEF	UNDEF	C08362	
E_00065	1.14.19.2	C_00002	UNDEF	UNDEF		
E_00066	3.1.2.14	C_00002	UNDEF	UNDEF		
M_00186	C01530_Octadecanoic acid_C18H36O2	C_00002	UNDEF	UNDEF	C01530	
E_00067	4.1.1.48	C_00003	UNDEF	UNDEF		
M_00187	C01302_1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate_C12H16NO9P	C_00003	UNDEF	UNDEF	C01302	
M_00188	C03506_Indoleglycerol phosphate_C11H14NO6P	C_00003	UNDEF	UNDEF	C03506	
M_00189	C00162_Fatty acid_CHO2R	C_00002	UNDEF	UNDEF	C00162	
M_00190	C05980_Cardiolipin_C13H18O17P2R4	C_00002	UNDEF	UNDEF	C05980	
M_00191	C18129_Monolysocardiolipin_C12H19O16P2R3	C_00002	UNDEF	UNDEF	C18129	
E_00068	1.1.1.21	C_00003	UNDEF	UNDEF		
E_00069	1.1.1.307	C_00003	UNDEF	UNDEF		
M_00192	C00181_D-Xylose_C5H10O5	C_00003	UNDEF	UNDEF	C00181	
M_00193	C00379_Xylitol_C5H12O5	C_00003	UNDEF	UNDEF	C00379	
M_00194	C00157_Phosphatidylcholine_C10H18NO8PR2	C_00001	UNDEF	UNDEF	C00157	
M_00195	C00157_Phosphatidylcholine_C10H18NO8PR2	C_00003	UNDEF	UNDEF	C00157	
M_00196	C05755_Decanoyl-[acp]_C10H19OSR	C_00003	UNDEF	UNDEF	C05755	
M_00197	C00229_Acyl-carrier protein_HSR	C_00003	UNDEF	UNDEF	C00229	
M_00198	C01571_Decanoic acid_C10H20O2	C_00003	UNDEF	UNDEF	C01571	
E_00070	6.3.4.14	C_00002	UNDEF	UNDEF		
M_00199	C06250_Holo-[carboxylase]_C17H27N5O4SR2	C_00002	UNDEF	UNDEF	C06250	
M_00200	C00002_ATP_C10H16N5O13P3	C_00002	UNDEF	UNDEF	C00002	
M_00201	C00009_Orthophosphate_H3PO4	C_00002	UNDEF	UNDEF	C00009	
M_00202	C04419_Carboxybiotin-carboxyl-carrier protein_C18H26N5O6SR2	C_00002	UNDEF	UNDEF	C04419	
M_00203	C00008_ADP_C10H15N5O10P2	C_00002	UNDEF	UNDEF	C00008	
E_00071	2.3.1.180	C_00002	UNDEF	UNDEF		
M_00204	C00024_Acetyl-CoA_C23H38N7O17P3S	C_00002	UNDEF	UNDEF	C00024	
M_00205	C00010_CoA_C21H36N7O16P3S	C_00002	UNDEF	UNDEF	C00010	
M_00206	C00794_D-Sorbitol_C6H14O6	C_00003	UNDEF	UNDEF	C00794	
M_00207	C00794_D-Sorbitol_C6H14O6	C_00001	UNDEF	UNDEF	C00794	
E_00072	1.14.19.2	C_00003	UNDEF	UNDEF		
M_00208	C00007_Oxygen_O2	C_00003	UNDEF	UNDEF	C00007	
E_00073	6.4.1.2	C_00002	UNDEF	UNDEF		
M_00209	C00083_Malonyl-CoA_C24H38N7O19P3S	C_00002	UNDEF	UNDEF	C00083	
E_00074	2.6.1.1	C_00003	UNDEF	UNDEF		
E_00075	2.6.1.5	C_00003	UNDEF	UNDEF		
E_00076	2.6.1.57	C_00003	UNDEF	UNDEF		
E_00077	2.6.1.9	C_00003	UNDEF	UNDEF		
M_00210	C00026_2-Oxoglutarate_C5H6O5	C_00003	UNDEF	UNDEF	C00026	
M_00211	C00166_Phenylpyruvate_C9H8O3	C_00003	UNDEF	UNDEF	C00166	
M_00212	C00079_L-Phenylalanine_C9H11NO2	C_00003	UNDEF	UNDEF	C00079	
M_00213	C01267_3-(Imidazol-4-yl)-2-oxopropyl phosphate_C6H9N2O5P	C_00003	UNDEF	UNDEF	C01267	
M_00214	C01100_L-Histidinol phosphate_C6H12N3O4P	C_00003	UNDEF	UNDEF	C01100	
E_00078	2.4.1.256	C_00003	UNDEF	UNDEF		
M_00215	G00008	C_00003	UNDEF	UNDEF	G00008	
E_00079	2.5.1.3	C_00003	UNDEF	UNDEF		
M_00216	C04327_4-Methyl-5-(2-phosphoethyl)-thiazole_C6H10NO4PS	C_00003	UNDEF	UNDEF	C04327	
M_00217	C00013_Diphosphate_H4P2O7	C_00003	UNDEF	UNDEF	C00013	
M_00218	C01081_Thiamin monophosphate_C12H18N4O4PS	C_00003	UNDEF	UNDEF	C01081	
M_00219	C04752_2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate_C6H11N3O7P2	C_00003	UNDEF	UNDEF	C04752	
E_00080	2.5.1.6	C_00003	UNDEF	UNDEF		
M_00220	C00019_S-Adenosyl-L-methionine_C15H22N6O5S	C_00003	UNDEF	UNDEF	C00019	
M_00221	C01595_Linoleate_C18H32O2	C_00002	UNDEF	UNDEF	C01595	
M_00222	C01595_Linoleate_C18H32O2	C_00003	UNDEF	UNDEF	C01595	
M_00223	C07108_Tamoxifen_C26H29NO	C_00003	UNDEF	UNDEF	C07108	
M_00224	C07108_Tamoxifen_C26H29NO	C_00001	UNDEF	UNDEF	C07108	
M_00225	C02504_alpha-Isopropylmalate_C7H12O5	C_00002	UNDEF	UNDEF	C02504	
M_00226	C02504_alpha-Isopropylmalate_C7H12O5	C_00003	UNDEF	UNDEF	C02504	
M_00227	C00042_Succinate_C4H6O4	C_00002	UNDEF	UNDEF	C00042	
