id	name	description	reactions	parent
M00087	beta-Oxidation		R01279|R04738|R04737|R03991||R03990|R04740|R04739|R03858||R03857|R04170|R04741|R04742||R04754|R04744|R04743|R03778||R03777|R04746|R04745|R04747||R04751|R04749|R04748|R01177||R01175|R03026|R01975|R00238	rn00071|rn01212|Fatty acid metabolism
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone		R00238|R01978|R01360|R01361|R01366	rn00650|Lipid metabolism
M00089	Triacylglycerol biosynthesis		R00851|R02241|R02239|R02251	rn00561|Lipid metabolism
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC		R01021|R01890|R01321	rn00564|Lipid metabolism
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC		R02056|R03424|R01320	rn00564|Lipid metabolism
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE		R01468|R02038|R02057	rn00564|Lipid metabolism
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE		R01799|R01800|R02055	rn00564|Lipid metabolism
M00094	Ceramide biosynthesis		R01281|R02978|R06517|R06519	rn00600|Lipid metabolism
M00095	C5 isoprenoid biosynthesis, mevalonate pathway		R00238|R01978|R02082|R02245|R03245|R01121|R01123	rn00900|rn01110|Terpenoid backbone biosynthesis
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway		R05636|R05688|R05633|R05634|R05637|R08689|R10859|R05884|R01123	rn00900|rn01110|Terpenoid backbone biosynthesis
M00097	beta-Carotene biosynthesis, GGAP => beta-carotene		R02065|R04218|R09653|R09654|R09655|R09656|R09658|R07512|R05341|R03824	rn00906|rn01110|Plant terpenoid biosynthesis
M00098	Acylglycerol degradation		R02250|R02687|R01351	rn00561|Lipid metabolism
M00099	Sphingosine biosynthesis		R01281|R02978|R06517|R06519|R01494	rn00600|Lipid metabolism
M00100	Sphingosine degradation		R01926|R06516	rn00600|Lipid metabolism
M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol		R03199|R05640|R05639|R07509|R07494|R07495|R12403|R12404|R12405|R07498|R03353|R07215|R01451|R01456	rn00100|Sterol biosynthesis
M00102	Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol		R03199|R05640|R05639|R07509|R07494|R07495|R12403|R12404|R12405|R04427|R07497|R07491|R07506|R05641|R03677	rn00100|rn01110|Sterol biosynthesis
M00103	Cholecalciferol biosynthesis		R03311|R03611|R03610	rn00100|Sterol biosynthesis
M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate		R01463|R04263|R04826|R04823|R04824|R04825|R04807|R08759|R08761|R08733|R08734|R08735|R04813|R04812|R03719|R07296|R04817|R04818|R04819|R04806|R08758|R08760|R08738|R08739|R08740|R04809|R04810|R04811|R03974	rn00120|Sterol biosynthesis
M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate		R02794|R03720|R03718	rn00120|Sterol biosynthesis
M00107	Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone		R01454|R04854|R02723|R04855|R03933|R02216	rn00140|Sterol biosynthesis
M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone		R02213|R03851|R03262|R03263	rn00140|Sterol biosynthesis
M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone		R02211|R03326|R02843|R02834|R02836	rn00140|Sterol biosynthesis
M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone		R03783|R08517|R01837|R01840|R04759|R02351	rn00140|Sterol biosynthesis
M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol		R07500|R07501|R07502|R07236|R07503|R07504||R10708|R10710|R10624|R10491|R10623|R10492	rn00130|rn01240|rn01110|Cofactor and vitamin metabolism
M00113	Jasmonic acid biosynthesis		R07869|R07863|R03402|R03401|R07887|R07888|R07889|R07890|R07891|R07892|R07893|R07894|R07895|R07896|R07897|R07898|R07899|R07902	rn00592|rn01110|Lipid metabolism
M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate		R01819|R01818|R00885|R00889|R07678|R07674|R07675|R00640	rn00051|rn00053|rn01240|rn01110|Other carbohydrate metabolism
M00115	NAD biosynthesis, aspartate => quinolinate => NAD		R00481|R07410|R07407|R04292|R03348|R03005|R00189|R00257	rn00760|rn01240|Cofactor and vitamin metabolism
M00116	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol		R01717|R08165|R08166|R04031|R04030|R07263|R07262|R10757|R09736	rn00130|rn01240|rn01110|Cofactor and vitamin metabolism
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol		R01302|R05000|R04985|R08768|R08769|R12658|R09737|R12067|R12657	rn00130|rn01240|rn01110|Cofactor and vitamin metabolism
M00118	Glutathione biosynthesis, glutamate => glutathione		R00894|R00497	rn00480|rn01240|Other amino acid metabolism
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate		R01214|R01226|R02472|R00489|R02473	rn00770|rn01240|rn01110|Cofactor and vitamin metabolism
M00120	Coenzyme A biosynthesis, pantothenate => CoA		R03018|R04230|R04231|R03269|R03035|R00130	rn00770|rn01240|Cofactor and vitamin metabolism
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme		R05578|R04109|R02272|R00036|R00084|R03165|R03197|R03220|R06895|R03222|R09489|R12605|R00310	rn00860|rn01240|rn01110|Cofactor and vitamin metabolism
M00122	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin		R12184|R05225|R07302|R05221|R06558|R06529|R05222|R04148|R04594|R05223	rn00860|rn01240|Cofactor and vitamin metabolism
M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin		R10124|R03210|R03231|R10699|R03182|R01078	rn00780|rn01240|Cofactor and vitamin metabolism
M00124	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P		R01825|R04210|R05085|R05681|R07406|R05838|R00278	rn00750|rn01240|Cofactor and vitamin metabolism
M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD		R00425|R03459|R03458|R07280|R07281|R04457|R00066|R00549|R00161	rn00740|rn01240|rn01110|Cofactor and vitamin metabolism
M00126	Tetrahydrofolate biosynthesis, GTP => THF		R00428|R05046|R05048|R04639|R04620|R04638|R04621|R03504|R03503|R03066|R03067|R02237|R00936|R00939	rn00790|rn00670|rn01240|Cofactor and vitamin metabolism
M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP		R07459|R07461|R10246|R10247|R09977|R03472|R04509|R10712|R00617	rn00730|rn01240|Cofactor and vitamin metabolism
M00128	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol		R05000|R08770|R08771|R08772|R12658|R09737|R12067|R12657	rn00130|rn01240|Cofactor and vitamin metabolism
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate		R00289|R00286|R01383|R01478|R01481|R02933|R03184+R00647|R10053	rn00040|rn00053|rn01240|Other carbohydrate metabolism
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4		R03361|R03469|R03435|R03433	rn00562|Other carbohydrate metabolism
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol		R03430|R03427|R04372|R01187	rn00562|Other carbohydrate metabolism
M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate		R03429|R03478|R05202	rn00562|Other carbohydrate metabolism
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine		R00566|R01157|R00178|R01920	rn00330|Polyamine biosynthesis
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine		R00551|R00670	rn00330|Polyamine biosynthesis
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA		R01154|R01156|R04025|R05050|R01987	rn00330|Polyamine biosynthesis
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA		R07414|R07415|R07417|R07418|R07419	rn00330|Polyamine biosynthesis
M00137	Flavanone biosynthesis, phenylalanine => naringenin		R00697|R02253|R01616|R01613|R02446	rn00940|rn00941|rn01110|Biosynthesis of phytochemical compounds
M00138	Flavonoid biosynthesis, naringenin => pelargonidin		R02444|R03123|R04276	rn00941|rn01110|Biosynthesis of phytochemical compounds
M00140	C1-unit interconversion, prokaryotes		R00945|R01220|R01655|R00943	rn00670|rn01240|Cofactor and vitamin metabolism
M00141	C1-unit interconversion, eukaryotes		R00945|R01220|R01218|R01655|R00943	rn00670|rn01240|Cofactor and vitamin metabolism
M00142	NADH:ubiquinone oxidoreductase, mitochondria		R11945	rn00190|ATP synthesis
M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria			rn00190
M00144	NADH:quinone oxidoreductase, prokaryotes		R11945	rn00190|ATP synthesis
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria		R11945	rn00190|ATP synthesis
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex			rn00190
M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex			rn00190
M00148	Succinate dehydrogenase (ubiquinone)		R02164	rn00190|ATP synthesis
M00149	Succinate dehydrogenase, prokaryotes		R02164	rn00190|ATP synthesis
M00150	Fumarate reductase, prokaryotes		R02164	rn00190|ATP synthesis
M00151	Cytochrome bc1 complex respiratory unit			rn00190
M00152	Cytochrome bc1 complex			rn00190
M00153	Cytochrome bd ubiquinol oxidase			rn00190
M00154	Cytochrome c oxidase			rn00190
M00155	Cytochrome c oxidase, prokaryotes			rn00190
M00156	Cytochrome c oxidase, cbb3-type			rn00190
M00157	F-type ATPase, prokaryotes and chloroplasts			rn00190|rn00195
M00158	F-type ATPase, eukaryotes			rn00190
M00159	V/A-type ATPase, prokaryotes			rn00190
M00160	V-type ATPase, eukaryotes			rn00190
M00161	Photosystem II			rn00195
M00162	Cytochrome b6f complex			rn00195
M00163	Photosystem I			rn00195
M00165	Reductive pentose phosphate cycle (Calvin cycle)		R01523|R00024|R01512|R01061|R01063|R01068|R00762|R01067|R01829|R01845|R01641|R01056	rn00710|rn01200|rn01120|Carbon fixation
M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P		R01523|R00024|R01512|R01061|R01063	rn00710|rn01200|rn01120|Carbon fixation
M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P		R01068|R00762|R01067|R01829|R01845|R01641|R01056	rn00710|rn01200|rn01120|Carbon fixation
M00168	CAM (Crassulacean acid metabolism), dark		R00345|R00342	rn00620|rn00710|rn01200|rn01120|Carbon fixation
M00169	CAM (Crassulacean acid metabolism), light		R00216|R00206	rn00620|rn00710|rn01200|rn01120|Carbon fixation
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type		R00345|R00355|R00355|R00341	rn00710|rn01200|rn01120|Carbon fixation
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type		R00345|R00355|R00355|R00342|R00214|R00258|R00258|R00206	rn00710|rn01200|rn01120|Carbon fixation
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type		R00345|R00343|R00216|R00206	rn00620|rn00710|rn01200|rn01120|Carbon fixation
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)		R01196|R10866|R00199|R00206|R00345|R00344|R00342|R01082|R02164|R00402|R00405|R01197|R00267|R01900|R01325|R00352|R01322|R00354	rn00720|rn01200|rn01120|Carbon fixation
M00174	Methane oxidation, methanotroph, methane => formaldehyde		R01142|R09518|R01146	rn00680|rn01200|rn01220|rn01120|Methane metabolism
M00175	Nitrogen fixation, nitrogen => ammonia		R05185|R12084	rn00910|rn01120|Nitrogen metabolism
M00176	Assimilatory sulfate reduction, sulfate => H2S		R00529|R00509|R02021|R05717|R00858|R00859	rn00920|rn01120|Sulfur metabolism
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA		R00209|R01196||R00014|R03270|R02569|R07618	rn00010|rn00020|rn00620|rn00785|rn01200|rn01210|Central carbohydrate metabolism
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P		R01538|R01541|R05605|R01061|R01512|R01058|R10860	rn00030|rn01200|rn01120|Central carbohydrate metabolism
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate		R01538|R08570|R03033|R10616|R10324|R10615|R08571	rn00030|rn00052|rn01200|rn01120|Central carbohydrate metabolism
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine		R01290|R01001	rn00260|rn00270|rn01230|Cysteine and methionine metabolism
M00344	Formaldehyde assimilation, xylulose monophosphate pathway		R01440|R01011|R01068|R00762	rn00680|rn01200|rn01120|Methane metabolism
M00345	Formaldehyde assimilation, ribulose monophosphate pathway		R05338|R05339|R00756|R01068||R05338|R09780|R04779|R01070	rn00030|rn00680|rn01200|rn01230|rn01120|Methane metabolism
M00346	Formaldehyde assimilation, serine pathway		R00945|R00588|R01388|R08572|R00658|R00345|R00342|R01256|R00473|R00588	rn00680|rn01200|rn01120|Methane metabolism
M00356	Methanogenesis, methanol => methane		R09098|R04541|R11931|R04540|R11928|R11943|R11944	rn00680|rn01200|rn01120|Methane metabolism
M00357	Methanogenesis, acetate => methane		R00315|R00230|R00235|R09096|R04347|R04541|R11931|R04540|R11928|R11943|R11944	rn00680|rn01200|rn01120|Methane metabolism
M00358	Coenzyme M biosynthesis		R07476|R05789|R07136|R05774|R09153	rn00680|rn01240|rn01120|Methane metabolism
M00364	C10-C20 isoprenoid biosynthesis, bacteria		R01123|R01658|R02003|R02061	rn00900|rn01110|Terpenoid backbone biosynthesis
M00365	C10-C20 isoprenoid biosynthesis, archaea		R01123|R01658|R02003|R02061	rn00900|rn01110|Terpenoid backbone biosynthesis
M00366	C10-C20 isoprenoid biosynthesis, plants		R01123|R01658|R02003|R02061	rn00900|rn01110|Terpenoid backbone biosynthesis
M00367	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes		R01123|R01658|R02003|R02061	rn00900|rn01110|Terpenoid backbone biosynthesis
M00368	Ethylene biosynthesis, methionine => ethylene		R00177|R00179|R07214	rn00270|rn01110|Cysteine and methionine metabolism
M00369	Cyanogenic glycoside biosynthesis, tyrosine => dhurrin		R00730|R04460|R07190|R05728|R04296	rn00460|rn01110|Other amino acid metabolism
M00370	Glucosinolate biosynthesis, tryptophan => glucobrassicin		R08160|R08168|R08170|R08164|R08167	rn00380|rn00966|rn01210|rn01110|Biosynthesis of phytochemical compounds
