ID	NAMES	KEGG	EQUATION	ECs
R00027	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	R00027	C01408[0] <=> (2) C00261[0]	4.1.2.38
R00028	maltose glucohydrolase	R00028	C00208[0] + C00001[0] <=> (2) C00267[0]	3.2.1.20
R00029	thiosulfate:ferricytochrome-c oxidoreductase	R00029	(2) C00320[0] + (2) C00125[0] <=> C02084[0] + (2) C00126[0]	1.8.2.2
R00031	1,2-benzenediol:oxygen oxidoreductase	R00031	C00007[0] + (2) C00082[0] <=> (2) C00355[0]	1.10.3.1|1.14.18.1
R00032	beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	R00032	C02094[0] + C00007[0] <=> (2) C00376[0]	1.13.11.63|1.14.99.36
R00033	thiamine:oxygen 5-oxidoreductase	R00033	C00378[0] + C00007[0] <=> C00027[0] + C05856[0]	1.1.3.23
R00034	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase	R00034	C03103[0] <=> (2) C08249[0]	4.1.99.3
R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	R00036	(2) C00430[0] <=> C00931[0] + (2) C00001[0]	4.2.1.24
R00038	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	R00038	(2) C00479[0] <=> C02948[0]	4.1.2.35
R00039	raffinose:raffinose 1F-alpha-D-galactosyltransferase	R00039	(2) C00492[0] <=> C08242[0] + C00089[0]	2.4.1.166
R00041	long-chain-alcohol:oxygen oxidoreductase	R00041	(2) C00339[0] + C00007[0] <=> (2) C00609[0] + (2) C00001[0]	1.1.3.20
R00042	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	R00042	(2) C01179[0] + C00007[0] <=> (2) C00642[0] + (2) C00011[0]	1.2.3.13
R00043	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	R00043	C04547[0] + C00007[0] <=> (2) C00755[0]	1.13.11.43
R00044	columbamine:oxygen oxidoreductase (cyclizing)	R00044	(2) C01795[0] + C00007[0] <=> (2) C00757[0] + (2) C00001[0]	1.21.3.2
R00045	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	R00045	C00007[0] + (2) C00355[0] <=> (2) C00822[0] + (2) C00001[0]	1.10.3.1|1.14.18.1
R00047	6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)	R00047	C00007[0] + C01020[0] + C00030[0] <=> C01059[0] + C00011[0] + C00028[0] + C00001[0]	1.14.99.-
R00048	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	R00048	C04546[0] + C00001[0] <=> (2) C01089[0]	3.1.1.22
R00049	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	R00049	(2) C01158[0] <=> C00031[0] + C04101[0]	2.3.1.90
R00052	chloride:hydrogen-peroxide oxidoreductase	R00052	C00027[0] + C01371[0] + C01327[0] <=> C01334[0] + (2) C00001[0]	1.11.1.10
R00053	digallate acylhydrolase|tannin acylhydrolase	R00053	C01572[0] + C00001[0] <=> (2) C01424[0]	3.1.1.20
R00054	orsellinate-depside hydrolase	R00054	C02868[0] + C00001[0] <=> (2) C01839[0]	3.1.1.40
R00055	inosine:oxygen 5'-oxidoreductase	R00055	(2) C00294[0] + C00007[0] <=> (2) C01993[0] + (2) C00001[0]	1.1.3.28
R00056	dinucleotide nucleotidohydrolase	R00056	C01910[0] + C00001[0] <=> (2) C02171[0]	3.6.1.9
R00057	thiol:oxygen oxidoreductase	R00057	C00007[0] + (2) C01525[0] <=> C02318[0] + C00027[0]	1.8.3.2
R00058	catechol:oxygen oxidoreductase|1,2-benzenediol:oxygen oxidoreductase	R00058	C00007[0] + (2) C00090[0] <=> (2) C02351[0] + (2) C00001[0]	1.10.3.1|1.14.18.1
R00059	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	R00059	C01255[0] + C00001[0] <=> (2) C02378[0]	3.5.1.46
R00060	Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)	R00060	C00007[0] + (2) C00495[0] <=> (2) C03036[0] + (2) C00001[0]	1.21.3.4
R00061	Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)	R00061	C00007[0] + (2) C00495[0] <=> (2) C03040[0] + (2) C00001[0]	1.21.3.5
R00062	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase	R00062	(2) C03374[0] <=> C00486[0] + C05787[0]	2.4.1.95
R00063	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase|1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase	R00063	(2) C01175[0] <=> C04275[0] + C00031[0]	2.3.1.103
R00066	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	R00066	(2) C04332[0] <=> C00255[0] + C04732[0]	2.5.1.9
R00067	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	R00067	(2) C05359[0] + (2) C00080[0] <=> C00282[0]	1.18.6.1
R00068	L-ascorbate:oxygen oxidoreductase	R00068	C00007[0] + (2) C00072[0] <=> (2) C05422[0] + (2) C00001[0]	1.10.3.3
R00069	4-imidazolone-5-propanoate:oxygen oxidoreductase	R00069	C05565[0] + C00027[0] <=> C03680[0] + C00007[0] + C00001[0]	1.14.13.-|1.17.3.2
R00070	D-urobilinogen:oxygen oxidoreductase	R00070	(2) C05791[0] + C00007[0] <=> (2) C05795[0] + (2) C00001[0]	null
R00072	thiamine-aldehyde:oxygen 5-oxidoreductase	R00072	C05856[0] + C00007[0] + C00001[0] <=> C00027[0] + C02892[0]	1.1.3.23
R00073	reduced acceptor:prostaglandin G2 oxidoreductase	R00073	C00427[0] + C00028[0] + C00001[0] <=> C05956[0] + C00030[0]	1.14.99.1
R00074	2-aminophenol:oxygen oxidoreductase (dimerizing)	R00074	(4) C01987[0] + (3) C00007[0] <=> (2) C02161[0] + (6) C00001[0]	1.10.3.4
R00075	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	R00075	(3) C00019[0] <=> (3) C00170[0] + C05324[0]	2.5.1.43
R00076	ATP:phosphorylase-b phosphotransferase|ATP:[glycogen phosphorylase] phosphotransferase	R00076	(4) C00002[0] + (2) C02308[0] <=> (4) C00008[0] + C02307[0]	2.7.11.19
R00077	[Phosphorylase a] phosphohydrolase|[glycogen phosphorylase] phosphohydrolase	R00077	C02307[0] + (4) C00001[0] <=> (2) C02308[0] + (4) C00009[0]	3.1.3.17
R00078	Fe(II):oxygen oxidoreductase|Fe2+:oxygen oxidoreductase	R00078	C00007[0] + (4) C14818[0] + (4) C00080[0] <=> (4) C14819[0] + (2) C00001[0]	1.16.3.1
R00080	Catechol:oxygen oxidoreductase (dimerizing)	R00080	(4) C00090[0] + (3) C00007[0] <=> (6) C00001[0] + (2) C03861[0]	1.1.3.14|1.10.3.1
R00081	Ferrocytochrome-c:oxygen oxidoreductase	R00081	C00007[0] + (4) C00126[0] + (4) C00080[0] <=> (4) C00125[0] + (2) C00001[0]	1.7.2.1|1.9.3.1
R00082	Ferrocytochrome c2:oxygen oxidoreductase	R00082	C00007[0] + (4) C01000[0] <=> (4) C00997[0] + (2) C00001[0]	1.7.2.1|1.9.3.1
R00083	Benzenediol:oxygen oxidoreductase	R00083	C00007[0] + (4) C01785[0] <=> (4) C05309[0] + (2) C00001[0]	1.10.3.2
R00084	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)|porphobilinogen ammonia-lyase (polymerizing)	R00084	(4) C00931[0] + C00001[0] <=> C01024[0] + (4) C00014[0]	2.5.1.61
R00085	ATP diphosphohydrolase (phosphate-forming)	R00085	C00002[0] + (2) C00001[0] <=> C00020[0] + (2) C00009[0]	3.6.1.5
R00086	ATP phosphohydrolase	R00086	C00002[0] + C00001[0] <=> C00008[0] + C00009[0]	3.6.1.3|3.6.1.5|3.6.1.8|3.6.1.15|3.6.3.1|3.6.3.2|3.6.3.3|3.6.3.4|3.6.3.5|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.4.1|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13
R00087	ATP diphosphohydrolase (diphosphate-forming)|ATP pyrophosphohydrolase	R00087	C00002[0] + C00001[0] <=> C00020[0] + C00013[0]	3.6.1.8
R00088	ATP aminohydrolase	R00088	C00002[0] + C00001[0] <=> C00081[0] + C00014[0]	3.5.4.18
R00089	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	R00089	C00002[0] <=> C00575[0] + C00013[0]	4.6.1.1
R00090	NADH:hydrogen-peroxide oxidoreductase	R00090	C00027[0] + C00004[0] + C00080[0] <=> C00003[0] + (2) C00001[0]	1.11.1.1
R00091	CoA:NAD+ oxidoreductase	R00091	C00003[0] + (2) C00010[0] <=> C02015[0] + C00004[0] + C00080[0]	null
R00092	Fe2+:NAD+ oxidoreductase|NADH:Fe3+ oxidoreductase	R00092	C00003[0] + (2) C14818[0] <=> C00004[0] + C00080[0] + (2) C14819[0]	1.16.1.7
R00093	L-glutamate:NAD+ oxidoreductase (transaminating)	R00093	(2) C00025[0] + C00003[0] <=> C00064[0] + C00026[0] + C00004[0] + C00080[0]	1.4.1.14
R00094	glutathione:NAD+ oxidoreductase	R00094	(2) C00051[0] + C00003[0] <=> C00127[0] + C00004[0] + C00080[0]	1.8.1.7
R00095	NADH:monodehydroascorbate oxidoreductase	R00095	C00003[0] + (2) C00072[0] <=> C00004[0] + (2) C01041[0] + C00080[0]	1.6.5.4
R00097	NADH:cob(III)alamine oxidoreductase	R00097	C00003[0] + (2) C00541[0] + (2) C00001[0] + C00080[0] <=> C00004[0] + (2) C00992[0]	1.16.1.3
R00099	cob(I)alamin:NAD+ oxidoreductase|NADH:cob(II)alamin oxidoreductase	R00099	C00003[0] + (2) C00853[0] <=> C00004[0] + C00080[0] + (2) C00541[0]	1.16.1.4
R00100	NADH:ferricytochrome-b5 oxidoreductase	R00100	C00004[0] + (2) C00996[0] <=> C00003[0] + (2) C00999[0] + C00080[0]	1.6.2.2
R00101	NADH:ferrileghemoglobin oxidoreductase	R00101	C00004[0] + (2) C02683[0] <=> C00003[0] + (2) C02685[0] + C00080[0]	1.6.2.6
R00102	NAD+ glycohydrolase	R00102	C00003[0] + C00001[0] <=> C00153[0] + C00301[0]	3.2.2.5|3.2.2.6|3.5.1.-
R00103	NAD+ phosphohydrolase	R00103	C00003[0] + C00001[0] <=> C00020[0] + C00455[0]	3.6.1.9|3.6.1.22
R00104	ATP:NAD+ 2'-phosphotransferase	R00104	C00002[0] + C00003[0] <=> C00008[0] + C00006[0]	2.7.1.23
R00105	ATP:NADH 2'-phosphotransferase	R00105	C00002[0] + C00004[0] <=> C00008[0] + C00005[0]	2.7.1.86
R00106	NADPH:ferricytochrome oxidoreductase	R00106	C00005[0] + (2) C00923[0] <=> C00006[0] + (2) C00924[0] + C00080[0]	1.6.2.4
R00107	cob(II)alamin:NADP+ oxidoreductase|NADPH:aquacob(III)alamin oxidoreductase	R00107	C00005[0] + (2) C00992[0] <=> C00006[0] + (2) C00541[0] + (2) C00001[0] + C00080[0]	1.16.1.5
R00108	NADPH:ferricytochrome-c2 oxidoreductase	R00108	C00005[0] + (2) C00997[0] <=> C00006[0] + (2) C01000[0] + C00080[0]	1.6.2.5
R00109	NADPH:ferrileghemoglobin oxidoreductase	R00109	C00005[0] + (2) C02683[0] <=> C00006[0] + (2) C02685[0] + C00080[0]	1.6.2.6
R00111	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)	R00111	C00005[0] + (2) C05933[0] + (2) C00007[0] + C00080[0] <=> C00006[0] + (2) C00533[0] + (2) C00327[0] + (2) C00001[0]	1.14.13.39|1.14.13.165
R00112	NADPH:NAD+ oxidoreductase	R00112	C00005[0] + C00003[0] <=> C00006[0] + C00004[0]	1.6.1.1|1.6.1.2|1.6.1.3
R00113	NADPH:hydrogen-peroxide oxidoreductase	R00113	C00027[0] + C00005[0] + C00080[0] <=> C00006[0] + (2) C00001[0]	1.11.1.2
R00114	L-Glutamate:NADP+ oxidoreductase (transaminating)	R00114	(2) C00025[0] + C00006[0] <=> C00064[0] + C00026[0] + C00005[0] + C00080[0]	1.4.1.13
R00115	glutathione:NADP+ oxidoreductase	R00115	(2) C00051[0] + C00006[0] <=> C00127[0] + C00005[0] + C00080[0]	1.8.1.7
R00118	NADP+ 2'-phosphohydrolase	R00118	C00006[0] + C00001[0] <=> C00009[0] + C00003[0]	3.1.3.-
R00119	NADP+:nicotinate ADP-ribosyltransferase	R00119	C00006[0] + C00253[0] <=> C00153[0] + C13051[0]	2.4.99.20
R00120	glutathione:oxygen oxidoreductase	R00120	C00007[0] + (2) C00051[0] <=> C00127[0] + C00027[0]	1.8.3.3
R00122	ADP phosphohydrolase	R00122	C00008[0] + C00001[0] <=> C00020[0] + C00009[0]	3.6.1.5
R00123	ADP aminohydrolase	R00123	C00008[0] + C00001[0] <=> C00104[0] + C00014[0]	3.5.4.7
R00124	ATP:ADP phosphatransferase	R00124	C00002[0] + C00008[0] <=> C00008[0] + C00002[0]	2.7.4.6
R00125	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	R00125	C01260[0] + C00001[0] <=> (2) C00008[0]	3.6.1.41
R00126	ADP:ATP adenylyltransferase	R00126	C00008[0] + C00002[0] <=> C00009[0] + C01260[0]	2.7.7.53
R00127	ATP:AMP phosphotransferase	R00127	C00002[0] + C00020[0] <=> (2) C00008[0]	2.7.4.3
R00128	Adenosine-tetraphosphate phosphohydrolase	R00128	C03483[0] + C00001[0] <=> C00002[0] + C00009[0]	3.6.1.14
R00129	(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)	R00129	C00002[0] + C04856[0] <=> C00008[0] + C00009[0] + C00004[0]	4.2.1.93
R00130	ATP:dephospho-CoA 3'-phosphotransferase	R00130	C00002[0] + C00882[0] <=> C00008[0] + C00010[0]	2.7.1.24
R00131	Urea amidohydrolase	R00131	C00086[0] + C00001[0] <=> C00011[0] + (2) C00014[0]	3.5.1.5
R00132	carbonate hydro-lyase (carbon-dioxide-forming)|carbonic acid hydro-lyase	R00132	C01353[0] <=> C00011[0] + C00001[0]	4.2.1.1
R00134	formate:NADP+ oxidoreductase	R00134	C00058[0] + C00006[0] <=> C00011[0] + C00005[0] + C00080[0]	1.2.1.43
R00135		R00135	C00012[0] + C00001[0] <=> C00148[0] + C00012[0]	3.4.11.5
R00137	ATP:nicotinamide-nucleotide adenylyltransferase	R00137	C00002[0] + C00455[0] <=> C00013[0] + C00003[0]	2.7.7.1|2.7.7.18
R00138	Triphosphate phosphohydrolase	R00138	C00536[0] + C00001[0] <=> C00013[0] + C00009[0]	3.6.1.25
R00139	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	R00139	C11038[0] + C00002[0] <=> C11039[0] + C00008[0]	2.7.4.6
R00140	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase	R00140	C11038[0] + C00008[0] <=> C03997[0] + C00002[0]	2.7.4.12
R00141	ATP:ammonia phosphotransferase	R00141	C00002[0] + C00014[0] <=> C00008[0] + C02306[0]	2.7.3.8
R00143	ammonia:NAD+ oxidoreductase|NADH:hydroxylamine oxidoreductase	R00143	C00014[0] + C00003[0] + C00001[0] <=> C00192[0] + C00004[0] + C00080[0]	1.7.1.10|1.7.99.1
R00145	alpha-amino acid:NAD+ oxidoreductase (deaminating)	R00145	C05167[0] + C00001[0] + C00003[0] <=> C00161[0] + C00014[0] + C00004[0] + C00080[0]	1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.20
R00146	alpha-amino acid:NADP+ oxidoreductase (deaminating)	R00146	C05167[0] + C00001[0] + C00006[0] <=> C00161[0] + C00014[0] + C00005[0] + C00080[0]	1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.20
R00148	ammonia,ubiquinol:oxygen oxidoreductase|ammonia monooxygenase	R00148	C00014[0] + C00007[0] + C00390[0] <=> C00192[0] + C00001[0] + C00399[0]	1.14.99.39
R00149	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	R00149	(2) C00002[0] + C00014[0] + C00011[0] + C00001[0] <=> (2) C00008[0] + C00009[0] + C00169[0]	6.3.4.16
R00150	ATP:carbamate phosphotransferase	R00150	C00002[0] + C00014[0] + C00011[0] <=> C00008[0] + C00169[0]	2.7.2.2
R00152	hydrogen cyanide aminohydrolase	R00152	C01326[0] + (2) C00001[0] <=> C00014[0] + C00058[0]	3.5.5.-
R00153	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	R00153	C05361[0] + (2) C05359[0] + (2) C00080[0] <=> (2) C00014[0]	1.18.6.1
R00155	UDP phosphohydrolase	R00155	C00015[0] + C00001[0] <=> C00105[0] + C00009[0]	3.6.1.5|3.6.1.6
R00156	ATP:UDP phosphotransferase	R00156	C00002[0] + C00015[0] <=> C00008[0] + C00075[0]	2.7.4.6
R00157	Uridine triphosphate:AMP phosphotransferase|UTP:AMP phosphotransferase	R00157	C00075[0] + C00020[0] <=> C00015[0] + C00008[0]	2.7.4.10
R00158	ATP:UMP phosphotransferase	R00158	C00002[0] + C00105[0] <=> C00008[0] + C00015[0]	2.7.4.4|2.7.4.14|2.7.4.22
R00159	UTP phosphohydrolase	R00159	C00075[0] + C00001[0] <=> C00015[0] + C00009[0]	3.6.1.5|3.6.1.39
R00160	FAD nucleotidohydrolase	R00160	C00016[0] + C00001[0] <=> C00020[0] + C00061[0]	3.6.1.9|3.6.1.18
R00161	ATP:FMN adenylyltransferase	R00161	C00002[0] + C00061[0] <=> C00013[0] + C00016[0]	2.7.7.2
R00162	ATP:protein phosphotransferase|ATP:protein phosphotransferase (Ca2+/calmodulin-dependent)	R00162	C00002[0] + C00017[0] <=> C00008[0] + C00562[0]	2.7.11.1|2.7.11.8|2.7.11.9|2.7.11.10|2.7.11.11|2.7.11.12|2.7.11.13|2.7.11.17|2.7.11.21|2.7.11.22|2.7.11.24|2.7.11.25|2.7.11.30|2.7.12.1|2.7.12.2
R00164	Phosphoprotein phosphohydrolase	R00164	C00562[0] + C00001[0] <=> C00017[0] + C00009[0]	3.1.3.16
R00165		R00165	C00017[0] <=> C00886[0]	null
R00166		R00166	C00017[0] <=> C02047[0]	null
R00167		R00167	C02163[0] <=> C00613[0]	null
R00168		R00168	C00017[0] <=> C02554[0]	null
R00169		R00169	C00017[0] <=> C02987[0]	null
R00170		R00170	C00017[0] <=> C03127[0]	null
R00172		R00172	C00017[0] <=> C05336[0]	null
R00173	pyridoxal-5'-phosphate phosphohydrolase	R00173	C00018[0] + C00001[0] <=> C00250[0] + C00009[0]	3.1.3.74
R00174	ATP:pyridoxal 5'-phosphotransferase	R00174	C00002[0] + C00250[0] <=> C00008[0] + C00018[0]	2.7.1.35
R00175	S-Adenosyl-L-methionine hydrolase	R00175	C00019[0] + C00001[0] <=> C00170[0] + C00263[0]	3.3.1.2
R00177	ATP:L-methionine S-adenosyltransferase	R00177	C00009[0] + C00013[0] + C00019[0] <=> C00002[0] + C00073[0] + C00001[0]	2.5.1.6
R00178	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]	R00178	C00019[0] + C00080[0] <=> C01137[0] + C00011[0]	4.1.1.50
R00179	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)	R00179	C00019[0] <=> C01234[0] + C00170[0]	4.4.1.14
R00180	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	R00180	C00019[0] <=> C00170[0] + C02926[0]	2.5.1.4
R00181	AMP aminohydrolase	R00181	C00020[0] + C00001[0] <=> C00130[0] + C00014[0]	3.5.4.6|3.5.4.17
R00182	AMP phosphoribohydrolase	R00182	C00020[0] + C00001[0] <=> C00147[0] + C00117[0]	3.2.2.4
R00183	Adenosine 5'-monophosphate phosphohydrolase	R00183	C00020[0] + C00001[0] <=> C00212[0] + C00009[0]	3.1.3.5
R00184	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase	R00184	C01260[0] + C00001[0] <=> C00002[0] + C00020[0]	3.6.1.17|3.6.1.61
R00185	ATP:adenosine 5'-phosphotransferase	R00185	C00002[0] + C00212[0] <=> C00008[0] + C00020[0]	2.7.1.20|2.7.1.74
R00187	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase	R00187	C06197[0] + C00001[0] <=> C00008[0] + C00020[0]	3.6.1.29
R00188	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase	R00188	C00054[0] + C00001[0] <=> C00020[0] + C00009[0]	3.1.3.7
R00189	deamido-NAD+:ammonia ligase (AMP-forming)	R00189	C00002[0] + C00857[0] + C00014[0] <=> C00020[0] + C00013[0] + C00003[0]	6.3.1.5|6.3.5.1
R00190	AMP:diphosphate phospho-D-ribosyltransferase	R00190	C00020[0] + C00013[0] <=> C00147[0] + C00119[0]	2.4.2.7|2.4.2.8
R00191	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	R00191	C00575[0] + C00001[0] <=> C00020[0]	3.1.4.17|3.1.4.53
R00192	S-Adenosyl-L-homocysteine hydrolase	R00192	C00021[0] + C00001[0] <=> C00212[0] + C00155[0]	3.3.1.1
R00193	S-Adenosyl-L-homocysteine aminohydrolase	R00193	C00021[0] + C00001[0] <=> C03431[0] + C00014[0]	3.5.4.28
R00194	S-Adenosyl-L-homocysteine homocysteinylribohydrolase	R00194	C00021[0] + C00001[0] <=> C03539[0] + C00147[0]	3.2.2.9
R00195	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)	R00195	C06393[0] + C00001[0] <=> C00022[0] + (2) C00014[0]	4.3.1.15
R00196	(S)-Lactate:ferricytochrome-c 2-oxidoreductase	R00196	C00186[0] + (2) C00125[0] <=> C00022[0] + (2) C00126[0] + (2) C00080[0]	1.1.2.3
R00197	(R)-Lactate:ferricytochrome-c 2-oxidoreductase	R00197	C00256[0] + (2) C00125[0] <=> C00022[0] + (2) C00126[0] + (2) C00080[0]	1.1.2.4
R00198	(R)-Lactate:ferricytochrome-c-553 2-oxidoreductase	R00198	C00256[0] + (2) C01070[0] <=> C00022[0] + (2) C01071[0] + (2) C00080[0]	1.1.2.5
R00199	ATP:pyruvate,water phosphotransferase	R00199	C00002[0] + C00022[0] + C00001[0] <=> C00020[0] + C00074[0] + C00009[0]	2.7.9.2
