ModelSEED ID	External ID	External Name
1.1.1.269-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.269-RXN	PWY-5534	propene degradation
1.1.1.273-RXN	ALKALOIDS-SYN	Alkaloid Biosynthesis
1.1.1.273-RXN	INDOLE-ALKALOIDS	Indole Alkaloid Biosynthesis
1.1.1.273-RXN	N-CONTAINING-SECONDARY-CMPD-SYN	Nitrogen-Containing Secondary Compound Biosynthesis
1.1.1.273-RXN	PWY-5301	ajmaline and sarpagine biosynthesis
1.1.1.273-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1.1.1.273-RXN	TERPENOID-ALKALOIDS	Terpenoid Alkaloid Biosynthesis
1.1.1.273-RXN	Terpenoid-Biosynthesis	Terpenoid Biosynthesis
1.1.1.274-RXN	Ascorbate-Biosynthesis	Ascorbate Biosynthesis
1.1.1.274-RXN	CARBOXYLATES-DEG	Carboxylate Degradation
1.1.1.274-RXN	Cofactor-Biosynthesis	Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
1.1.1.274-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.274-RXN	KETOGLUCONMET-PWY	ketogluconate metabolism
1.1.1.274-RXN	PWY-7165	L-ascorbate biosynthesis VI (engineered pathway)
1.1.1.274-RXN	SECONDARY-METABOLITE-DEGRADATION	Secondary Metabolite Degradation
1.1.1.274-RXN	SUGAR-ACIDS-DEG	Sugar Acid Degradation
1.1.1.274-RXN	Sugar-Derivatives	Sugar Derivative Degradation
1.1.1.274-RXN	Vitamin-Biosynthesis	Vitamin Biosynthesis
1.1.1.278-RXN	Lipid-Biosynthesis	Fatty Acid and Lipid Biosynthesis
1.1.1.278-RXN	PWY-6032	cardenolide biosynthesis
1.1.1.278-RXN	Sterol-Biosynthesis	Sterol Biosynthesis
1.1.1.283-RXN	Aldehyde-Degradation	Aldehyde Degradation
1.1.1.283-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.283-RXN	Detoxification	Detoxification
1.1.1.283-RXN	METHGLYUT-PWY	superpathway of methylglyoxal degradation
1.1.1.283-RXN	Methylglyoxal-Detoxification	Methylglyoxal Detoxification
1.1.1.283-RXN	PWY-5458	methylglyoxal degradation V
1.1.1.283-RXN	PWY-5459	methylglyoxal degradation IV
1.1.1.285-RXN	PWY-5912	2'-deoxymugineic acid phytosiderophore biosynthesis
1.1.1.285-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1.1.1.285-RXN	Siderophores-Biosynthesis	Siderophore Biosynthesis
1.1.1.288-RXN	Abscisic-Acid-Biosynthesis	Abscisic Acid Biosynthesis
1.1.1.288-RXN	HORMONE-SYN	Hormone Biosynthesis
1.1.1.288-RXN	PWY-695	abscisic acid biosynthesis
1.1.1.288-RXN	Plant-Hormone-Biosynthesis	Plant Hormone Biosynthesis
1.1.1.288-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1.1.1.288-RXN	SESQUITERPENOID-SYN	Sesquiterpenoid Biosynthesis
1.1.1.288-RXN	Terpenoid-Biosynthesis	Terpenoid Biosynthesis
1.1.1.291-RXN	AROMATIC-COMPOUNDS-DEGRADATION	Aromatic Compound Degradation
1.1.1.291-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.291-RXN	Nicotinate-Degradation	Nicotinate Degradation
1.1.1.291-RXN	PWY-5055	nicotinate degradation III
1.1.1.291-RXN	PWY-5062	superpathway of nicotinate degradation
1.1.1.292-RXN	Energy-Metabolism	Generation of Precursor Metabolite and Energy
1.1.1.292-RXN	PWY-6992	1,5-anhydrofructose degradation
1.1.1.34-RXN	Cofactor-Biosynthesis	Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
1.1.1.34-RXN	DITERPENOID-SYN	Diterpenoid Biosynthesis
1.1.1.34-RXN	ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I
1.1.1.34-RXN	Ergosterol-Biosynthesis	Ergosterol Biosynthesis
1.1.1.34-RXN	GGPP-Biosynthesis	Geranylgeranyl Diphosphate Biosynthesis
1.1.1.34-RXN	ISOPRENOIDS	Hemiterpene Biosynthesis
1.1.1.34-RXN	Isopentenyl-Diphosphate-Biosynthesis	Isopentenyl Diphosphate Biosynthesis
1.1.1.34-RXN	Lipid-Biosynthesis	Fatty Acid and Lipid Biosynthesis
1.1.1.34-RXN	Mevalonate-Pathways	Mevalonate Pathways
1.1.1.34-RXN	PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
1.1.1.34-RXN	PWY-6146	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism
1.1.1.34-RXN	PWY-6174	mevalonate pathway II (archaea)
1.1.1.34-RXN	PWY-7391	isoprene biosynthesis II (engineered)
1.1.1.34-RXN	PWY-7524	mevalonate pathway III (archaea)
1.1.1.34-RXN	PWY-922	mevalonate pathway I
1.1.1.34-RXN	PWY66-5	superpathway of cholesterol biosynthesis
1.1.1.34-RXN	Polyprenyl-Biosynthesis	Polyprenyl Biosynthesis
1.1.1.34-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1.1.1.34-RXN	Sterol-Biosynthesis	Sterol Biosynthesis
1.1.1.34-RXN	Terpenoid-Biosynthesis	Terpenoid Biosynthesis
1.1.1.39-RXN	AMINE-DEG	Amine and Polyamine Degradation
1.1.1.39-RXN	CARBO-BIOSYNTHESIS	Sugar Biosynthesis
1.1.1.39-RXN	CARBOXYLATES-DEG	Carboxylate Degradation
1.1.1.39-RXN	CARN-DEG	Carnitine Degradation
1.1.1.39-RXN	Carbohydrates-Biosynthesis	Carbohydrate Biosynthesis
1.1.1.39-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.39-RXN	Energy-Metabolism	Generation of Precursor Metabolite and Energy
1.1.1.39-RXN	Fermentation	
1.1.1.39-RXN	Fermentation-to-Acids	Fermentation to Short-Chain Fatty Acids
1.1.1.39-RXN	GLUCONEO-PWY	gluconeogenesis I
1.1.1.39-RXN	Gluconeogenesis	Gluconeogenesis
1.1.1.39-RXN	L-Malate-Degradation	(<i>S</i>)-Malate Degradation
1.1.1.39-RXN	PWY-3641	L-carnitine degradation III
1.1.1.39-RXN	PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type
1.1.1.39-RXN	PWY-7118	chitin degradation to ethanol
1.1.1.39-RXN	PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)
1.1.1.39-RXN	PWY-7389	superpathway of anaerobic energy metabolism (invertebrates)
1.1.1.39-RXN	PWY-7686	L-malate degradation II
1.1.1.39-RXN	Photosynthesis	
1.1.1.43-RXN	CARBOXYLATES-DEG	Carboxylate Degradation
1.1.1.43-RXN	Carbohydrates-Degradation	Carbohydrate Degradation
1.1.1.43-RXN	DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)
1.1.1.43-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.43-RXN	SECONDARY-METABOLITE-DEGRADATION	Secondary Metabolite Degradation
1.1.1.43-RXN	SUGAR-ACIDS-DEG	Sugar Acid Degradation
1.1.1.43-RXN	Sugar-Derivatives	Sugar Derivative Degradation
1.1.1.43-RXN	Sugars-And-Polysaccharides-Degradation	Sugar Degradation
1.1.1.51-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.51-RXN	Fatty-Acid-and-Lipid-Degradation	Fatty Acid and Lipid Degradation
1.1.1.51-RXN	PWY-6937	superpathway of testosterone and androsterone degradation
1.1.1.51-RXN	PWY-6943	testosterone and androsterone degradation to androstendione
1.1.1.51-RXN	Steroids-Degradation	Steroid Degradation
1.1.1.52-RXN	Iso-bile-Acids-Biosynthesis	Iso-bile Acid Biosynthesis
1.1.1.52-RXN	Lipid-Biosynthesis	Fatty Acid and Lipid Biosynthesis
1.1.1.52-RXN	PWY-7755	iso-bile acids biosynthesis I
1.1.1.52-RXN	Sterol-Biosynthesis	Sterol Biosynthesis
1.1.1.64-RXN	HORMONE-SYN	Hormone Biosynthesis
1.1.1.64-RXN	PWY-7305	superpathway of steroid hormone biosynthesis
1.1.1.64-RXN	PWY66-378	androgen biosynthesis
1.1.1.8-RXN	Alcohol-Biosynthesis	Fermentation to Alcohols
1.1.1.8-RXN	Energy-Metabolism	Generation of Precursor Metabolite and Energy
1.1.1.8-RXN	Fermentation	
1.1.1.8-RXN	Lipid-Biosynthesis	Fatty Acid and Lipid Biosynthesis
1.1.1.8-RXN	OTHER-ENERGY	Other
1.1.1.8-RXN	PWY-6118	glycerol-3-phosphate shuttle
1.1.1.8-RXN	PWY-7385	1,3-propanediol biosynthesis (engineered)
1.1.1.8-RXN	PWY-7411	phosphatidate biosynthesis (yeast)
1.1.1.8-RXN	Phospholipid-Biosynthesis	Phospholipid Biosynthesis
1.1.1.83-RXN	CARBOXYLATES-DEG	Carboxylate Degradation
1.1.1.83-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.83-RXN	PWY0-1465	D-malate degradation
1.1.1.97-RXN	PWY-7490	patulin biosynthesis
1.1.1.97-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1.1.3.32-RXN	ALKALOIDS-SYN	Alkaloid Biosynthesis
1.1.3.32-RXN	ISOQUINOLINE-ALKALOIDS	Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis
1.1.3.32-RXN	N-CONTAINING-SECONDARY-CMPD-SYN	Nitrogen-Containing Secondary Compound Biosynthesis
1.1.3.32-RXN	PWY-5287	sanguinarine and macarpine biosynthesis
1.1.3.32-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1.1.3.34-RXN	ALKALOIDS-SYN	Alkaloid Biosynthesis
1.1.3.34-RXN	ISOQUINOLINE-ALKALOIDS	Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis
1.1.3.34-RXN	N-CONTAINING-SECONDARY-CMPD-SYN	Nitrogen-Containing Secondary Compound Biosynthesis
1.1.3.34-RXN	PWY-5472	bisbenzylisoquinoline alkaloid biosynthesis
1.1.3.34-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1.1.3.35-RXN	ALKALOIDS-SYN	Alkaloid Biosynthesis
1.1.3.35-RXN	ISOQUINOLINE-ALKALOIDS	Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis
1.1.3.35-RXN	N-CONTAINING-SECONDARY-CMPD-SYN	Nitrogen-Containing Secondary Compound Biosynthesis
1.1.3.35-RXN	PWY-5270	morphine biosynthesis
