ID	NAMES	METACYC	EQUATION	ECs
TRANS-RXN-108D	deoxycytidine:proton symport	TRANS-RXN-108D	PROTON[1] + DEOXYCYTIDINE[1] => PROTON[0] + DEOXYCYTIDINE[0]	-
RXN-16233		RXN-16233	CPD-17478[0] + Donor-H2[0] <=> CPD-17480[0] + WATER[0] + Acceptor[0]	EC-1.11.2
RXN-16454		RXN-16454	Protein-Tyrosines[0] + (2) OXYGEN-MOLECULE[0] + Donor-H2[0] <=> TOPAQUINONE[0] + (2) WATER[0] + Acceptor[0] + PROTON[0]	-
2.3.1.118-RXN		2.3.1.118-RXN	N-Hydroxy-Arylamines[0] + ACETYL-COA[0] => N-Acetoxy-Arylamines[0] + CO-A[0]	EC-2.3.1.118
RXN-17943		RXN-17943	HypE-S-carboxamide[0] + ATP[0] => HypE-S-cyanate[0] + ADP[0] + Pi[0] + PROTON[0]	EC-4.2.1.M8
1.2.7.4-RXN		1.2.7.4-RXN	CARBON-MONOXIDE[0] + WATER[0] + (2) Oxidized-ferredoxins[0] <=> CARBON-DIOXIDE[0] + (2) Reduced-ferredoxins[0] + (2) PROTON[0]	EC-1.2.7.4
RXN-17541		RXN-17541	CPD-18941[0] + WATER[0] => CPD-18945[0] + CPD-18952[0]	EC-3.5.99.M2
RXN-9006		RXN-9006	CPD-12575[0] + CPD-9469[0] <=> CPD-9467[0] + UDP[0]	EC-2.4.1
RXN-9758		RXN-9758	CPD-10472[0] + WATER[0] + NAD[0] <=> SS-DIMETHYL-BETA-PROPIOTHETIN[0] + NADH[0] + (2) PROTON[0]	EC-1.2.1.3
RXN-10767		RXN-10767	CPD1F-2[0] + WATER[0] => CPD-734[0] + METOH[0] + PROTON[0]	EC-3.1.1.1
RXN-17583		RXN-17583	CPD-19006[0] <= CoM[0] + CPD-19004[0]	EC-4.4.1.23
RXN-18908		RXN-18908	GlcMan9GlcNAc2-proteins[0] + WATER[0] => Man9GlcNAc2-proteins[0] + ALPHA-GLUCOSE[0]	EC-3.2.1.207
RXN-15967	20,21-diprenylterpendole C oxidase	RXN-15967	CPD-17201[0] + (3) Red-NADPH-Hemoprotein-Reductases[0] + (3) OXYGEN-MOLECULE[0] <=> CPD-17202[0] + (3) Ox-NADPH-Hemoprotein-Reductases[0] + (4) WATER[0]	EC-1.14.14
RXN0-2382		RXN0-2382	SER[0] + INDOLE[0] => TRP[0] + WATER[0]	EC-4.2.1.122
RXN-8693		RXN-8693	CPD-8917[0] <=> 13-HYDROXYLUPININE[0]	-
RXN0-7251		RXN0-7251	L-GLYCERALDEHYDE-3-PHOSPHATE[0] + WATER[0] => L-GLYCERALDEHYDE[0] + Pi[0]	EC-3.1.3
RXN-13357		RXN-13357	Retinoid-binding-proteins[0] + CPD-14334[0] <=> 3R-All-trans-3-hydroxyretinal-RBPs[0]	-
RXN0-6984		RXN0-6984	CPD-3569[0] + WATER[0] => GLY[0] + GLT[0]	EC-3.4.13.18
RXN-17053	3,4,15-triacetylnivalenol 3-esterase	RXN-17053	CPD-18423[0] + WATER[0] <=> CPD-18425[0] + ACET[0] + PROTON[0]	EC-3.1.1
RXN-18973		RXN-18973	CPD-20430[0] + WATER[0] => CPD-20431[0] + PPI[0]	EC-3.1.7.12
AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN		AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	PROTON[0] + TRP[0] => CARBON-DIOXIDE[0] + TRYPTAMINE[0]	EC-4.1.1.105
RXN-15418		RXN-15418	Charged-PHE-tRNAs[0] + Charged-TYR-tRNAs[0] <=> CPD-17416[0] + TYR-tRNAs[0] + PHE-tRNAs[0] + (2) PROTON[0]	EC-2.3.2.21
RXN-17863		RXN-17863	ACETYL-COA[0] + N-terminal-L-Serine[0] => N-terminal-N-Ac-L-Serine[0] + CO-A[0] + PROTON[0]	EC-2.3.1.255
RXN-13711		RXN-13711	CPD-8610[0] + (3) OXYGEN-MOLECULE[0] + (6) FERROCYTOCHROME-B5[0] + (5) PROTON[0] => CPD-8613[0] + (6) FERRICYTOCHROME-B5[0] + (4) WATER[0]	EC-1.14.18.9
RXN-9297		RXN-9297	ATP[0] + N-acetyl-D-hexosamines[0] <=> ADP[0] + N-acetyl-a-D-hexosamine-1-phosphates[0] + PROTON[0]	EC-2.7.1.162
RXN-9878		RXN-9878	O-DICHLOROBENZENE[0] + OXYGEN-MOLECULE[0] + NADH[0] + PROTON[0] <=> CPD-10624[0] + NAD[0]	EC-1.14.12.f
RXN0-7046		RXN0-7046	CPD-264[0] + WATER[0] => 3-HYDROXYBENZOATE[0] + CO-A[0] + PROTON[0]	EC-3.1.2
RXN-9408		RXN-9408	Limonenes[0] + NADPH[0] + PROTON[0] + OXYGEN-MOLECULE[0] => Limonene-1-2-epoxides[0] + NADP[0] + WATER[0]	EC-1.14.13.107
RXN-15774		RXN-15774	PYRUVATE[0] + CHALCONE-CMPD[0] + PROTON[0] <=> CPD-17002[0] + CARBON-DIOXIDE[0]	EC-2.2.1.12
RXN-18544		RXN-18544	CPD-18625[0] + PpsAE-PKS-Protein[0] <=> Behenoyl-PpsAE[0] + AMP[0] + PROTON[0]	-
RXN-16240		RXN-16240	CPD-17488[0] + WATER[0] <=> CPD-17489[0] + AMMONIUM[0]	EC-3.5.99
RXN-16795		RXN-16795	CPD-18107[0] + OXYGEN-MOLECULE[0] + NADH[0] <=> CPD-9152[0] + NITRITE[0] + NAD[0]	EC-1.14.12.23
RXN-18380		RXN-18380	CPD-1111[0] + CPD-19301[0] => CMP[0] + CPD-19303[0] + PROTON[0]	EC-2.7.8.14
RXN-18678		RXN-18678	signal-peptide[0] + WATER[0] => Peptides-holder[0]	-
BENZOATE--COA-LIGASE-RXN		BENZOATE--COA-LIGASE-RXN	BENZOATE[0] + CO-A[0] + ATP[0] => BENZOYLCOA[0] + PPI[0] + AMP[0]	EC-6.2.1.25
RXN-14520		RXN-14520	S-ADENOSYLMETHIONINE[0] + yW-58[0] + CARBON-DIOXIDE[0] <=> tRNAPhe-wybutosine[0] + ADENOSYL-HOMO-CYS[0] + (2) PROTON[0]	EC-2.3.1.231
RXN-12062	tryptophan N-hydroxylase|CYP79B2|CYP79B1|N-hydroxy-L-tryptophan N-monooxygenase|L-tryptophan,NADPH:oxygen oxidoreductase (N-hydroxylating)|CYP79B3	RXN-12062	CPD-13026[0] + OXYGEN-MOLECULE[0] + Red-NADPH-Hemoprotein-Reductases[0] <=> CPD-13027[0] + Ox-NADPH-Hemoprotein-Reductases[0] + WATER[0]	-
RXN-9773		RXN-9773	(2) L-DIHYDROXY-PHENYLALANINE[0] + OXYGEN-MOLECULE[0] => (2) 34-DIHYDROXYPHENYLPYRUVATE[0] + (2) AMMONIUM[0]	EC-1.13.12.15
RXN-10945		RXN-10945	CPD-1107[0] + WATER[0] <=> INOSITOL-1456-TETRAKISPHOSPHATE[0] + Pi[0]	EC-3.1.3
3.4.14.4-RXN		3.4.14.4-RXN	Dipeptidyl-Peptidase-III-Substrates[0] + WATER[0] => Peptides-holder[0] + DIPEPTIDES[0] + (2) PROTON[0]	EC-3.4.14.4
LACTATE-ALDOLASE-RXN		LACTATE-ALDOLASE-RXN	L-LACTATE[0] <=> ACETALD[0] + FORMATE[0]	EC-4.1.2.36
RXN-7585		RXN-7585	6-HYDROXY-NICOTINATE[0] + WATER[0] + OXYGEN-MOLECULE[0] <=> CPD-6962[0] + HYDROGEN-PEROXIDE[0]	EC-1.17.3.3
RXN-14340		RXN-14340	R-Secondary-Alkyl-Sulfate-Esters[0] + WATER[0] => S-Secondary-Alcohols[0] + SULFATE[0] + PROTON[0]	EC-3.1.6.19
RXN-10106		RXN-10106	CPD-10847[0] + WATER[0] <=> CPD-10844[0] + PROTON[0]	EC-3.1.1
RXN-15057		RXN-15057	CPD-13821[0] + OXYGEN-MOLECULE[0] + NADPH[0] + PROTON[0] <=> CPD-15940[0] + WATER[0] + NADP[0]	EC-1.14.13
RXN-17741		RXN-17741	CPD-563[0] + WATER[0] => 1-Alkenyl-phosphoglycerol[0] + CHOLINE[0] + PROTON[0]	EC-3.1.4.39
RXN-12337		RXN-12337	CPD-11533[0] <=> SQUALENE[0] + WATER[0]	EC-4.2.1.123
RXN-17074		RXN-17074	CPD-403[0] + ATP[0] + PROTON[0] <=> CPD-18448[0] + PPI[0]	EC-2.7.7.97
RXN-13569		RXN-13569	GLT[0] <=> CPD-14555[0]	EC-5.4.3.9
RXN-19859		RXN-19859	MmpE-Product[0] + OXYGEN-MOLECULE[0] => MupW-Product[0] + WATER[0]	EC-1.13.12
RXN-13432		RXN-13432	CPD-7554[0] + (3) OXYGEN-MOLECULE[0] + (3) Red-NADPH-Hemoprotein-Reductases[0] => CPD-13248[0] + (3) Ox-NADPH-Hemoprotein-Reductases[0] + (4) WATER[0] + PROTON[0]	EC-1.14.14.114
RXN-9828		RXN-9828	CPD-10570[0] + Heat[0] <=> VITAMIN_D3[0]	-
RFFTRANS-RXN		RFFTRANS-RXN	TDP-D-FUCOSAMINE[0] + 2-KETOGLUTARATE[0] <= DTDP-DEOH-DEOXY-GLUCOSE[0] + GLT[0]	EC-2.6.1.59
ANTHRANILATE-N-METHYLTRANSFERASE-RXN		ANTHRANILATE-N-METHYLTRANSFERASE-RXN	S-ADENOSYLMETHIONINE[0] + ANTHRANILATE[0] <=> PROTON[0] + ADENOSYL-HOMO-CYS[0] + CPD-402[0]	EC-2.1.1.111
RXN-9391		RXN-9391	CPD-10039[0] + NADPH[0] + PROTON[0] + OXYGEN-MOLECULE[0] <=> CPD-10044[0] + NADP[0] + WATER[0]	EC-1.14.13.105
3.4.22.8-RXN		3.4.22.8-RXN	WATER[0] + General-Protein-Substrates[0] => (2) Peptides-holder[0]	EC-3.4.22.8
RXN-13336		RXN-13336	L-PHOSPHATIDATE[0] + ATP[0] <=> DIACYLGLYCEROL-PYROPHOSPHATE[0] + ADP[0]	EC-2.7.4
RXN-16244		RXN-16244	CPD-7847[0] + (2) CPD-353[0] <=> CPD-17491[0] + (2) GDP[0] + (2) PROTON[0]	EC-2.4.1
RXN-14165		RXN-14165	CPD-8186[0] <=> CPD-8097[0]	-
RXN0-5183		RXN0-5183	MALTOTRIOSE[0] + WATER[0] => MALTOSE[0] + Glucopyranose[0]	EC-3.2.1.20
RXN-10746		RXN-10746	CPD-8785[0] + NADPH[0] + PROTON[0] + OXYGEN-MOLECULE[0] <=> CPD-260[0] + NADP[0] + WATER[0]	EC-1.14.14.53
RXN-18785		RXN-18785	GERANYLGERANYL-PP[0] => CPD-20077[0] + PPI[0]	EC-4.2.3.158
RXN-19749		RXN-19749	CPD-9006[0] + (3) OXYGEN-MOLECULE[0] + (3) Red-NADPH-Hemoprotein-Reductases[0] => CPD-9413[0] + (4) WATER[0] + (3) Ox-NADPH-Hemoprotein-Reductases[0] + PROTON[0]	EC-1.14.14.95
RXN-13106	caffeine N3-demethylase (NADPH)	RXN-13106	1-3-7-TRIMETHYLXANTHINE[0] + NADH-P-OR-NOP[0] + OXYGEN-MOLECULE[0] + PROTON[0] <=> 1-7-DIMETHYLXANTHINE[0] + NAD-P-OR-NOP[0] + FORMALDEHYDE[0] + WATER[0]	EC-1.14.13.179
RXN-13477		RXN-13477	CPD-14465[0] <=> CPD-14466[0] + WATER[0]	-
RXN66-101		RXN66-101	NICOTINE[0] + WATER[0] + Acceptor[0] <=> Donor-H2[0] + CPD-2748[0] + FORMALDEHYDE[0]	-
CARDIOLIPSYN-RXN		CARDIOLIPSYN-RXN	(2) L-1-PHOSPHATIDYL-GLYCEROL[0] => CARDIOLIPIN[0] + GLYCEROL[0]	EC-2.7.8
RXN-18373		RXN-18373	LAUROYLCOA-CPD[0] + CARNITINE[0] <=> CPD-19743[0] + CO-A[0]	EC-2.3.1.21
RXN-16588		RXN-16588	CPD-17885[0] <=> CPD-17886[0] + WATER[0]	EC-3.1.1
RXN-18110		RXN-18110	CPD-19404[0] + OXYGEN-MOLECULE[0] => CPD-19405[0] + PROTON[0]	EC-1.13.11.M5
RXN-18268		RXN-18268	CMP-N-ACETYL-NEURAMINATE[0] + Beta-D-Galactosides[0] => ALPHA-N-ACETYLNEURAMINYL-26-BETA-D-GALA[0] + CMP[0] + PROTON[0]	EC-2.4.99.1
RXN-9376		RXN-9376	GLY[0] + ATP[0] <=> CPD-9993[0] + PPI[0]	-
RXN-14737	20-hydroxyecdysone-26-hydroxylase	RXN-14737	CPD-276[0] + Red-NADPH-Hemoprotein-Reductases[0] + OXYGEN-MOLECULE[0] <=> CPD-15601[0] + Ox-NADPH-Hemoprotein-Reductases[0] + WATER[0]	-
RXN-12861	dehydroascorbate hydrolase	RXN-12861	CPD-13907[0] <=> CPD-334[0] + PROTON[0]	-
RXN-16556		RXN-16556	CPD-17811[0] + ACETYL-COA[0] <=> CPD-17812[0] + CO-A[0]	EC-2.3.1
RXN-18330		RXN-18330	CPD-296[0] + NAD[0] <=> LIPOIC-ACID[0] + NADH[0] + PROTON[0]	EC-1.8.1
TRANS-RXN0-452	p-aminobenzoyl glutamate: proton symport	TRANS-RXN0-452	CPD0-889[1] + PROTON[1] => CPD0-889[0] + PROTON[0]	-
RXN-17923		RXN-17923	G-5-prime-PP-5-prime-DNA[0] + 3-Hydroxy-Terminated-DNAs[0] <=> DNA-N[0] + GMP[0] + PROTON[0]	-
RXN-19785		RXN-19785	CPD-8726[0] + (2) Red-NADPH-Hemoprotein-Reductases[0] + (2) OXYGEN-MOLECULE[0] => CPD-8729[0] + (2) Ox-NADPH-Hemoprotein-Reductases[0] + (3) WATER[0] + PROTON[0]	EC-1.14.14.145
DIIODOTYROSINE-AMINOTRANSFERASE-RXN		DIIODOTYROSINE-AMINOTRANSFERASE-RXN	2-KETOGLUTARATE[0] + DIIODO-L-TYROSINE[0] <=> GLT[0] + DIIODO-4-HYDROXYPHENYLPYRUVATE[0]	EC-2.6.1.24
RXN-16173		RXN-16173	CPD-17422[0] + Red-NADPH-Hemoprotein-Reductases[0] + OXYGEN-MOLECULE[0] <=> CPD-718[0] + Ox-NADPH-Hemoprotein-Reductases[0] + (2) WATER[0]	EC-1.14.19
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN		ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	ADENOSYL-HOMO-CYS[0] + WATER[0] => CPD-564[0] + ADENINE[0]	EC-3.2.2.9
3.6.3.6-RXN		3.6.3.6-RXN	PROTON[0] + ATP[0] + WATER[0] => (2) PROTON[1] + ADP[0] + Pi[0]	EC-7.1.2.1
RXN-8836		RXN-8836	CPD-9158[0] + OXYGEN-MOLECULE[0] <=> CPD-19778[0] + PROTON[0]	EC-1.13.11.76
MALATE-DEHYDROGENASE-NADP+-RXN		MALATE-DEHYDROGENASE-NADP+-RXN	MAL[0] + NADP[0] <=> PROTON[0] + NADPH[0] + OXALACETIC_ACID[0]	EC-1.1.1.82
RXN-18155		RXN-18155	(4) MN+2[0] + (2) HYDROGEN-PEROXIDE[0] + OXYGEN-MOLECULE[0] + (2) WATER[0] => (4) CPD-12610[0] + (8) PROTON[0]	EC-1.11.1.M1
TRANS-RXN-246		TRANS-RXN-246	CPD-1142[1] + PROTON[1] => CPD-1142[0] + PROTON[0]	-
RXN0-747		RXN0-747	DADP[0] + Oxidized-NrdH-Proteins[0] + WATER[0] <= ADP[0] + Reduced-NrdH-Proteins[0]	EC-1.17.4.1
4.99.1.5-RXN		4.99.1.5-RXN	Aliphatic-Aldoximes[0] => Aliphatic-Nitriles[0] + WATER[0]	EC-4.99.1.5
RXN-17017		RXN-17017	Myristoyl-ACPs[0] + GLYCEROL-3P[0] => CPD-18379[0] + ACP[0]	EC-2.3.1.15
CDP-GLUCOSE-46-DEHYDRATASE-RXN		CDP-GLUCOSE-46-DEHYDRATASE-RXN	CDP-D-GLUCOSE[0] <=> WATER[0] + CPD-658[0]	EC-4.2.1.45
RXN-17304		RXN-17304	CPD-18694[0] + NADP[0] <=> CPD-18660[0] + NADPH[0] + PROTON[0]	EC-1.1.1.M10
RXN-16770		RXN-16770	NADP[0] + Donor-H2[0] <=> CPD-18084[0] + Acceptor[0] + PROTON[0]	-
PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN		PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN	Protein-L-Aspartates[0] + OXYGEN-MOLECULE[0] + 2-KETOGLUTARATE[0] => CARBON-DIOXIDE[0] + SUC[0] + Peptide-3-hydroxy-L-Aspartates[0]	EC-1.14.11.16
RXN-14730		RXN-14730	CPD-15586[0] <=> 2-KETO-3-DEOXY-6-P-GLUCONATE[0] + AMMONIUM[0]	EC-4.3.1.29
RXN-14166		RXN-14166	CPD-14005[0] <=> CPD-15147[0]	EC-5.2
RXN66-448		RXN66-448	ARG[1] <=> ARG[0]	-
RXN-12856		RXN-12856	CPD-252[0] => PROTON[0] + CPD-13904[0] + WATER[0]	-
RXN-10819		RXN-10819	PHENYLACETATE[0] + ATP[0] + CO-A[0] => CPD-207[0] + AMP[0] + PPI[0]	EC-6.2.1.30
RXN-8798		RXN-8798	S-ADENOSYLMETHIONINE[0] + 13-HYDROXY-MAGNESIUM-PROTOPORP[0] <=> 131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M[0] + CH33ADO[0] + MET[0] + PROTON[0]	-
RXN-16312		RXN-16312	(2) CPD-17573[0] + OXYGEN-MOLECULE[0] => (2) CPD-17574[0] + (2) WATER[0]	EC-1.10.3
3-HYDROXYASPARTATE-ALDOLASE-RXN		3-HYDROXYASPARTATE-ALDOLASE-RXN	CPD-12739[0] <=> GLY[0] + GLYOX[0]	EC-4.1.3.41
RXN-13839		RXN-13839	345-TRIHYDROXY-37-DIMETHOXYFLAVONE[0] + 2-KETOGLUTARATE[0] + OXYGEN-MOLECULE[0] <=> CPD-10527[0] + SUC[0] + CARBON-DIOXIDE[0]	EC-1.14.11
RXN-12994		RXN-12994	CPD-14419[0] + NAD-P-OR-NOP[0] <=> CPD-14422[0] + NADH-P-OR-NOP[0] + PROTON[0]	EC-1.1.1.330
RXN-11427		RXN-11427	CPD-12404[0] + GLUTATHIONE[0] <=> CPD-12405[0] + WATER[0]	-
3.1.4.44-RXN		3.1.4.44-RXN	CPD-541[0] + WATER[0] => PROTON[0] + MYO-INOSITOL[0] + GLYCEROL-3P[0]	EC-3.1.4.44
RXN-13228		RXN-13228	S-ADENOSYLMETHIONINE[0] + N-methyl-terminal-PPK[0] <=> ADENOSYL-HOMO-CYS[0] + NN-dimethyl-terminal-PPK[0] + PROTON[0]	-
RXN-19690		RXN-19690	CPD-12575[0] + CPD-9482[0] => CPD-9493[0] + UDP[0] + PROTON[0]	EC-2.4.1
2.7.4.24-RXN		2.7.4.24-RXN	5-DIPHOSPHO-1D-MYO-INOSITOL-12346P[0] + ATP[0] <=> CPD-11938[0] + ADP[0]	EC-2.7.4.24
UDPNACETYLGLUCOSAMACYLTRANS-RXN		UDPNACETYLGLUCOSAMACYLTRANS-RXN	UDP-N-ACETYL-D-GLUCOSAMINE[0] + R-3-hydroxymyristoyl-ACPs[0] <=> UDP-OHMYR-ACETYLGLUCOSAMINE[0] + ACP[0]	EC-2.3.1.129
RXN-7706		RXN-7706	CPD-7037[0] + NAD[0] <= CPD-7036[0] + NADH[0] + PROTON[0]	EC-1.1.1.1
2.7.1.150-RXN		2.7.1.150-RXN	CPD-177[0] + ATP[0] <=> 1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH[0] + ADP[0] + PROTON[0]	EC-2.7.1.150
RXN-19434		RXN-19434	CPD-12084[0] + PmsE[0] <=> S-salicyl-PmsE[0] + AMP[0] + PROTON[0]	-
RXN-16415		RXN-16415	Very-long-chain-fatty-acids[0] + CO-A[0] + ATP[0] => VERY-LONG-CHAIN-FATTY-ACYL-COA[0] + PPI[0] + AMP[0]	EC-6.2.1.3
TIGLYLCOA-HYDROXY-RXN	Tiglyl-CoA hydratase	TIGLYLCOA-HYDROXY-RXN	2-METHYL-3-HYDROXY-BUTYRYL-COA[0] <=> CPD-1083[0] + WATER[0]	EC-4.2.1.17
RXN-11092		RXN-11092	CPD-12054[0] + (3) CPD-14550[0] <=> CPD-12051[0] + (3) CPD-11994[0]	EC-2.4.2.47
RXN-13024		RXN-13024	CPD-14051[0] + OXYGEN-MOLECULE[0] + Red-NADPH-Hemoprotein-Reductases[0] <=> CPD-14052[0] + WATER[0] + Ox-NADPH-Hemoprotein-Reductases[0]	-
RXN-7980		RXN-7980	CPD-7285[0] + Red-NADPH-Hemoprotein-Reductases[0] + OXYGEN-MOLECULE[0] => CPD-7286[0] + Ox-NADPH-Hemoprotein-Reductases[0] + WATER[0]	EC-1.14.14.29
GLYCEROL-DEHYDRATASE-RXN		GLYCEROL-DEHYDRATASE-RXN	GLYCEROL[0] => HYDROXYPROPANAL[0] + WATER[0]	EC-4.2.1.30
RXN-11402		RXN-11402	CPD-12371[0] <=> CPD1F-114[0]	EC-5.2.1
RXN-3522	monodehydroascorbate reductase (NADPH)	RXN-3522	PROTON[0] + (2) CPD-318[0] + NADPH[0] <=> (2) ASCORBATE[0] + NADP[0] + (2) PROTON[0]	EC-1.6.5
5.1.1.17-RXN		5.1.1.17-RXN	ISOPENICILLIN-N[0] <=> PENICILLIN-N[0]	EC-5.1.1.17
RXN-8225		RXN-8225	16-EPIVELLOSIMINE[0] <=> VELLOSIMINE[0]	-
RXN-17360		RXN-17360	CPD-18766[0] + NADH[0] + OXYGEN-MOLECULE[0] + PROTON[0] => CPD-18764[0] + NAD[0] + WATER[0]	EC-1.14.13
LYSDECARBOX-RXN		LYSDECARBOX-RXN	PROTON[0] + LYS[0] => CARBON-DIOXIDE[0] + CADAVERINE[0]	EC-4.1.1.18
RXN-2401		RXN-2401	BENZOYLCOA[0] + NADPH[0] + PROTON[0] + OXYGEN-MOLECULE[0] <=> CYCLOHEX-13-DIENE-56-DIHYDROXY-1-CARBO[0] + NADP[0] + WATER[0]	EC-1.14.13.208
3.1.3.62-RXN		3.1.3.62-RXN	CPD-506[0] + WATER[0] <=> INOSITOL-1-4-5-TRISPHOSPHATE[0] + Pi[0]	EC-3.1.3.62
PRTRANS-RXN		PRTRANS-RXN	N-5-PHOSPHORIBOSYL-ANTHRANILATE[0] + PPI[0] <=> ANTHRANILATE[0] + PRPP[0]	EC-2.4.2.18
RXN-17717		RXN-17717	2S-3S-Flavan-3-ols[0] + (2) NADP[0] <= 3-OH-Anthocyanidins[0] + (2) NADPH[0] + PROTON[0]	EC-1.3.1.112
RXN-9551		RXN-9551	Petroselinoyl-ACPs[0] + WATER[0] <=> CPD-8477[0] + ACP[0] + PROTON[0]	EC-3.1.2.14
RXN-16092		RXN-16092	CPD-17341[0] + Donor-H2[0] <=> CPD-17342[0] + Acceptor[0]	EC-1.1.99
