complex_id	complex_name	complex_source	complex_type	role_id	role_name	role_type	role_source	role_aliases	role_exemplar	type	triggering	optional
cpx.12637	cpx.12637	KEGG	KEGG_role_complex	fr.50010	glutamine---phenylpyruvate transaminase (EC 2.6.1.64)	KEGG_role	KEGG	searchname:glutamine---phenylpyruvatetransaminase(ec);kegg:glutamine transaminase K (EC 2.6.1.64);kegg:glutamine-phenylpyruvate aminotransferase (EC 2.6.1.64)	null	role_mapping	1	0
cpx.12630	cpx.12630	KEGG	KEGG_role_complex	fr.50011	phenylalanine(histidine) transaminase (EC 2.6.1.58)	KEGG_role	KEGG	searchname:phenylalanine(histidine)transaminase(ec);kegg:phenylalanine (histidine) aminotransferase (EC 2.6.1.58);kegg:phenylalanine(histidine):pyruvate aminotransferase (EC 2.6.1.58);kegg:histidine:pyruvate aminotransferase (EC 2.6.1.58);kegg:L-phenylalanine(L-histidine):pyruvate aminotransferase (EC 2.6.1.58)	null	role_mapping	1	0
cpx.12631	cpx.12631	KEGG	KEGG_role_complex	fr.50012	dTDP-4-amino-4,6-dideoxygalactose transaminase (EC 2.6.1.59)	KEGG_role	KEGG	searchname:dtdp-4-amino-4,6-dideoxygalactosetransaminase(ec);kegg:thymidine diphosphoaminodideoxygalactose aminotransferase (EC 2.6.1.59);kegg:thymidine diphosphate 4-keto-6-deoxy-D-glucose transaminase (EC 2.6.1.59)	null	role_mapping	1	0
cpx.11909	cpx.11909	KEGG	KEGG_role_complex	fr.50013	tyramine N-feruloyltransferase (EC 2.3.1.110)	KEGG_role	KEGG	searchname:tyraminen-feruloyltransferase(ec);kegg:tyramine N-feruloyl-CoA transferase (EC 2.3.1.110);kegg:feruloyltyramine synthase (EC 2.3.1.110);kegg:feruloyl-CoA tyramine N-feruloyl-CoA transferase (EC 2.3.1.110);kegg:tyramine feruloyltransferase (EC 2.3.1.110)	null	role_mapping	1	0
cpx.12633	cpx.12633	KEGG	KEGG_role_complex	fr.50014	aromatic-amino-acid---glyoxylate transaminase (EC 2.6.1.60)	KEGG_role	KEGG	searchname:aromatic-amino-acid---glyoxylatetransaminase(ec)	null	role_mapping	1	0
cpx.11143	cpx.11143	KEGG	KEGG_role_complex	fr.50015	2-coumarate reductase (EC 1.3.1.11)	KEGG_role	KEGG	searchname:2-coumaratereductase(ec);kegg:melilotate dehydrogenase (EC 1.3.1.11)	null	role_mapping	1	0
cpx.11904	cpx.11904	KEGG	KEGG_role_complex	fr.50016	tartronate O-hydroxycinnamoyltransferase (EC 2.3.1.106)	KEGG_role	KEGG	searchname:tartronateo-hydroxycinnamoyltransferase(ec);kegg:tartronate sinapoyltransferase (EC 2.3.1.106);kegg:hydroxycinnamoyl-coenzyme-A:tartronate hydroxycinnamoyltransferase (EC 2.3.1.106)	null	role_mapping	1	0
cpx.14422	cpx.14422	KEGG	KEGG_role_complex	fr.50017	4-acetamidobutyryl-CoA deacetylase (EC 3.5.1.51)	KEGG_role	KEGG	searchname:4-acetamidobutyryl-coadeacetylase(ec);kegg:aminobutyryl-CoA thiolesterase (EC 3.5.1.51);kegg:deacetylase-thiolesterase (EC 3.5.1.51)	null	role_mapping	1	0
cpx.11903	cpx.11903	KEGG	KEGG_role_complex	fr.50018	alkylglycerophosphate 2-O-acetyltransferase (EC 2.3.1.105)	KEGG_role	KEGG	searchname:alkylglycerophosphate2-o-acetyltransferase(ec);kegg:alkyllyso-GP:acetyl-CoA acetyltransferase (EC 2.3.1.105)	null	role_mapping	1	0
cpx.11141	cpx.11141	KEGG	KEGG_role_complex	fr.50019	dihydrouracil dehydrogenase (NAD+) (EC 1.3.1.1)	KEGG_role	KEGG	searchname:dihydrouracildehydrogenase(nad+)(ec);kegg:dehydrogenase, dihydrouracil (EC 1.3.1.1);kegg:dihydropyrimidine dehydrogenase (EC 1.3.1.1);kegg:dihydrothymine dehydrogenase (EC 1.3.1.1);kegg:pyrimidine reductase (EC 1.3.1.1);kegg:thymine reductase (EC 1.3.1.1);kegg:uracil reductase (EC 1.3.1.1);kegg:dihydrouracil dehydrogenase (NAD+) (EC 1.3.1.1)	null	role_mapping	1	0
cpx.11902	cpx.11902	KEGG	KEGG_role_complex	fr.50020	1-alkenylglycerophosphocholine O-acyltransferase (EC 2.3.1.104)	KEGG_role	KEGG	searchname:1-alkenylglycerophosphocholineo-acyltransferase(ec)	null	role_mapping	1	0
cpx.12496	cpx.12496	KEGG	KEGG_role_complex	fr.50021	adenylate dimethylallyltransferase (EC 2.5.1.27)	KEGG_role	KEGG	searchname:adenylatedimethylallyltransferase(ec);kegg:cytokinin synthase (EC 2.5.1.27);kegg:isopentenyltransferase (EC 2.5.1.27);kegg:2-isopentenyl-diphosphate:AMP Delta2-isopentenyltransferase (EC 2.5.1.27);kegg:adenylate isopentenyltransferase (EC 2.5.1.27)	null	role_mapping	1	0
cpx.15135	cpx.15135	KEGG	KEGG_role_complex	fr.50022	germacradienol synthase (EC 4.2.3.22)	KEGG_role	KEGG	searchname:germacradienolsynthase(ec);kegg:germacradienol/germacrene-D synthase (EC 4.2.3.22);kegg:2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase [(1E,4S,5E,7R)-germacra-1(10),5-dien-11-ol-forming] (EC 4.2.3.22)	null	role_mapping	1	0
cpx.12323	cpx.12323	KEGG	KEGG_role_complex	fr.50023	soyasaponin III rhamnosyltransferase (EC 2.4.1.273)	KEGG_role	KEGG	searchname:soyasaponiniiirhamnosyltransferase(ec);kegg:UGT91H4 (EC 2.4.1.273);kegg:GmSGT3 (gene name) (EC 2.4.1.273)	null	role_mapping	1	0
cpx.11147	cpx.11147	KEGG	KEGG_role_complex	fr.50024	dihydroorotate dehydrogenase (NADP+) (EC 1.3.1.15)	KEGG_role	KEGG	searchname:dihydroorotatedehydrogenase(nadp+)(ec);kegg:orotate reductase (EC 1.3.1.15);kegg:dihydro-orotic dehydrogenase (EC 1.3.1.15);kegg:L-5,6-dihydro-orotate:NAD+ oxidoreductase (EC 1.3.1.15);kegg:orotate reductase (NADPH) (EC 1.3.1.15)	null	role_mapping	1	0
cpx.10844	cpx.10844	KEGG	KEGG_role_complex	fr.50025	camphor 1,2-monooxygenase (EC 1.14.15.2)	KEGG_role	KEGG	searchname:camphor1,2-monooxygenase(ec);kegg:2,5-diketocamphane lactonizing enzyme (EC 1.14.15.2);kegg:camphor ketolactonase I (EC 1.14.15.2);kegg:oxygenase, camphor 1,2-mono (EC 1.14.15.2);kegg:ketolactonase I (EC 1.14.15.2)	null	role_mapping	1	0
cpx.15564	cpx.15564	KEGG	KEGG_role_complex	fr.50026	lycopene beta-cyclase (EC 5.5.1.19)	KEGG_role	KEGG	searchname:lycopenebeta-cyclase(ec);kegg:CrtL (EC 5.5.1.19);kegg:CrtL-b (EC 5.5.1.19);kegg:CrtY (EC 5.5.1.19);kegg:LCYb (EC 5.5.1.19);kegg:carotenoid beta-end group lyase (decyclizing) (EC 5.5.1.19)	null	role_mapping	1	0
cpx.11146	cpx.11146	KEGG	KEGG_role_complex	fr.50027	dihydroorotate dehydrogenase (NAD+) (EC 1.3.1.14)	KEGG_role	KEGG	searchname:dihydroorotatedehydrogenase(nad+)(ec);kegg:orotate reductase (NADH) (EC 1.3.1.14);kegg:orotate reductase (NADH2) (EC 1.3.1.14);kegg:DHOdehase (ambiguous) (EC 1.3.1.14);kegg:DHOD (ambiguous) (EC 1.3.1.14);kegg:DHODase (ambiguous) (EC 1.3.1.14);kegg:dihydroorotate oxidase, pyrD (gene name) (EC 1.3.1.14)	null	role_mapping	1	0
cpx.10114	cpx.10114	KEGG	KEGG_role_complex	fr.50028	alcohol dehydrogenase (NADP+) (EC 1.1.1.2)	KEGG_role	KEGG	searchname:alcoholdehydrogenase(nadp+)(ec);kegg:aldehyde reductase (NADPH2) (EC 1.1.1.2);kegg:NADP-alcohol dehydrogenase (EC 1.1.1.2);kegg:NADP+-aldehyde reductase (EC 1.1.1.2);kegg:NADP+-dependent aldehyde reductase (EC 1.1.1.2);kegg:NADPH-aldehyde reductase (EC 1.1.1.2);kegg:NADPH-dependent aldehyde reductase (EC 1.1.1.2);kegg:nonspecific succinic semialdehyde reductase (EC 1.1.1.2);kegg:ALR 1 (EC 1.1.1.2);kegg:low-Km aldehyde reductase (EC 1.1.1.2);kegg:high-Km aldehyde reductase (EC 1.1.1.2);kegg:alcohol dehydrogenase (NADP) (EC 1.1.1.2)	null	role_mapping	1	0
cpx.11832	cpx.11832	KEGG	KEGG_role_complex	fr.50029	isoorientin 3'-O-methyltransferase (EC 2.1.1.78)	KEGG_role	KEGG	searchname:isoorientin3'-o-methyltransferase(ec);kegg:isoorientin 3'-methyltransferase (EC 2.1.1.78)	null	role_mapping	1	0
cpx.11831	cpx.11831	KEGG	KEGG_role_complex	fr.50030	protein-L-isoaspartate(D-aspartate) O-methyltransferase (EC 2.1.1.77)	KEGG_role	KEGG	searchname:protein-l-isoaspartate(d-aspartate)o-methyltransferase(ec);kegg:protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77);kegg:protein-beta-aspartate O-methyltransferase (EC 2.1.1.77);kegg:D-aspartyl/L-isoaspartyl methyltransferase (EC 2.1.1.77);kegg:L-isoaspartyl/D-aspartyl protein carboxyl methyltransferase (EC 2.1.1.77);kegg:protein (D-aspartate) methyltransferase (EC 2.1.1.77);kegg:protein D-aspartate methyltransferase (EC 2.1.1.77);kegg:protein L-isoaspartate methyltransferase (EC 2.1.1.77);kegg:protein L-isoaspartyl methyltransferase (EC 2.1.1.77);kegg:protein O-methyltransferase (L-isoaspartate) (EC 2.1.1.77);kegg:L-aspartyl/L-isoaspartyl protein methyltransferase (EC 2.1.1.77)	null	role_mapping	1	0
cpx.10419	cpx.10419	KEGG	KEGG_role_complex	fr.50031	3-hydroxycyclohexanone dehydrogenase (EC 1.1.99.26)	KEGG_role	KEGG	searchname:3-hydroxycyclohexanonedehydrogenase(ec)	null	role_mapping	1	0
cpx.11837	cpx.11837	KEGG	KEGG_role_complex	fr.50032	3-methylquercetin 7-O-methyltransferase (EC 2.1.1.82)	KEGG_role	KEGG	searchname:3-methylquercetin7-o-methyltransferase(ec);kegg:flavonol 7-O-methyltransferase (EC 2.1.1.82);kegg:flavonol 7-methyltransferase (EC 2.1.1.82);kegg:7-OMT (EC 2.1.1.82);kegg:S-adenosyl-L-methionine:3',4',5,7-tetrahydroxy-3-methoxyflavone 7-O-methyltransferase (EC 2.1.1.82);kegg:3-methylquercitin 7-O-methyltransferase [mis-spelt] (EC 2.1.1.82)	null	role_mapping	1	0
cpx.11145	cpx.11145	KEGG	KEGG_role_complex	fr.50033	prephenate dehydrogenase (NADP+) (EC 1.3.1.13)	KEGG_role	KEGG	searchname:prephenatedehydrogenase(nadp+)(ec);kegg:prephenate dehydrogenase (EC 1.3.1.13);kegg:prephenate (nicotinamide adenine dinucleotide phosphate) dehydrogenase (EC 1.3.1.13);kegg:prephenate dehydrogenase (NADP) (EC 1.3.1.13)	null	role_mapping	1	0
cpx.11835	cpx.11835	KEGG	KEGG_role_complex	fr.50034	protein-glutamate O-methyltransferase (EC 2.1.1.80)	KEGG_role	KEGG	searchname:protein-glutamateo-methyltransferase(ec);kegg:methyl-accepting chemotaxis protein O-methyltransferase (EC 2.1.1.80);kegg:S-adenosylmethionine-glutamyl methyltransferase (EC 2.1.1.80);kegg:methyl-accepting chemotaxis protein methyltransferase II (EC 2.1.1.80);kegg:S-adenosylmethionine:protein-carboxyl O-methyltransferase (EC 2.1.1.80);kegg:protein methylase II (EC 2.1.1.80);kegg:MCP methyltransferase I (EC 2.1.1.80);kegg:MCP methyltransferase II (EC 2.1.1.80);kegg:protein O-methyltransferase (EC 2.1.1.80);kegg:protein(aspartate)methyltransferase (EC 2.1.1.80);kegg:protein(carboxyl)methyltransferase (EC 2.1.1.80);kegg:protein carboxyl-methylase (EC 2.1.1.80);kegg:protein carboxyl-O-methyltransferase (EC 2.1.1.80);kegg:protein carboxylmethyltransferase II (EC 2.1.1.80);kegg:protein carboxymethylase (EC 2.1.1.80);kegg:protein carboxymethyltransferase (EC 2.1.1.80);kegg:protein methyltransferase II (EC 2.1.1.80)	null	role_mapping	1	0
cpx.11834	cpx.11834	KEGG	KEGG_role_complex	fr.50035	histamine N-methyltransferase (EC 2.1.1.8)	KEGG_role	KEGG	searchname:histaminen-methyltransferase(ec);kegg:histamine 1-methyltransferase (EC 2.1.1.8);kegg:histamine methyltransferase (EC 2.1.1.8);kegg:histamine-methylating enzyme (EC 2.1.1.8);kegg:imidazolemethyltransferase (EC 2.1.1.8);kegg:S-adenosylmethionine-histamine N-methyltransferase (EC 2.1.1.8)	null	role_mapping	1	0
cpx.10412	cpx.10412	KEGG	KEGG_role_complex	fr.50036	2-hydroxyglutarate dehydrogenase (EC 1.1.99.2)	KEGG_role	KEGG	searchname:2-hydroxyglutaratedehydrogenase(ec);kegg:alpha-ketoglutarate reductase (EC 1.1.99.2);kegg:alpha-hydroxyglutarate dehydrogenase (EC 1.1.99.2);kegg:L-alpha-hydroxyglutarate dehydrogenase (EC 1.1.99.2);kegg:hydroxyglutaric dehydrogenase (EC 1.1.99.2);kegg:alpha-hydroxyglutarate oxidoreductase (EC 1.1.99.2);kegg:L-alpha-hydroxyglutarate:NAD+ 2-oxidoreductase (EC 1.1.99.2);kegg:alpha-hydroxyglutarate dehydrogenase (NAD+ specific) (EC 1.1.99.2);kegg:(S)-2-hydroxyglutarate:(acceptor) 2-oxidoreductase (EC 1.1.99.2)	null	role_mapping	1	0
cpx.10413	cpx.10413	KEGG	KEGG_role_complex	fr.50037	alkan-1-ol dehydrogenase (acceptor) (EC 1.1.99.20)	KEGG_role	KEGG	searchname:alkan-1-oldehydrogenase(acceptor)(ec);kegg:polyethylene glycol dehydrogenase (EC 1.1.99.20);kegg:alkan-1-ol:(acceptor) oxidoreductase (EC 1.1.99.20)	null	role_mapping	1	0
cpx.11839	cpx.11839	KEGG	KEGG_role_complex	fr.50038	methylquercetagetin 6-O-methyltransferase (EC 2.1.1.84)	KEGG_role	KEGG	searchname:methylquercetagetin6-o-methyltransferase(ec);kegg:flavonol 6-O-methyltransferase (EC 2.1.1.84);kegg:flavonol 6-methyltransferase (EC 2.1.1.84);kegg:6-OMT (EC 2.1.1.84);kegg:S-adenosyl-L-methionine:3',4',5,6-tetrahydroxy-3,7-dimethoxyflavone 6-O-methyltransferase (EC 2.1.1.84)	null	role_mapping	1	0
cpx.11838	cpx.11838	KEGG	KEGG_role_complex	fr.50039	3,7-dimethylquercetin 4'-O-methyltransferase (EC 2.1.1.83)	KEGG_role	KEGG	searchname:3,7-dimethylquercetin4'-o-methyltransferase(ec);kegg:flavonol 4'-O-methyltransferase (EC 2.1.1.83);kegg:flavonol 4'-methyltransferase (EC 2.1.1.83);kegg:4'-OMT (EC 2.1.1.83);kegg:S-adenosyl-L-methionine:3',4',5-trihydroxy-3,7-dimethoxyflavone 4'-O-methyltransferase (EC 2.1.1.83);kegg:3,7-dimethylquercitin 4'-O-methyltransferase [mis-spelt] (EC 2.1.1.83)	null	role_mapping	1	0
cpx.10417	cpx.10417	KEGG	KEGG_role_complex	fr.50040	hydroxyacid-oxoacid transhydrogenase (EC 1.1.99.24)	KEGG_role	KEGG	searchname:hydroxyacid-oxoacidtranshydrogenase(ec);kegg:transhydrogenase, hydroxy acid-oxo acid (EC 1.1.99.24)	null	role_mapping	1	0
cpx.10708	cpx.10708	KEGG	KEGG_role_complex	fr.50041	phenylalanine N-monooxygenase (EC 1.14.13.124)	KEGG_role	KEGG	searchname:phenylalaninen-monooxygenase(ec);kegg:phenylalanine N-hydroxylase (EC 1.14.13.124);kegg:CYP79A2 (EC 1.14.13.124)	null	role_mapping	1	0
cpx.12855	cpx.12855	KEGG	KEGG_role_complex	fr.50042	beta-adrenergic-receptor kinase (EC 2.7.11.15)	KEGG_role	KEGG	searchname:beta-adrenergic-receptorkinase(ec);kegg:ATP:beta-adrenergic-receptor phosphotransferase (EC 2.7.11.15);kegg:[beta-adrenergic-receptor] kinase (EC 2.7.11.15);kegg:beta-adrenergic receptor-specific kinase (EC 2.7.11.15);kegg:beta-AR kinase (EC 2.7.11.15);kegg:beta-ARK (EC 2.7.11.15);kegg:beta-ARK 1 (EC 2.7.11.15);kegg:beta-ARK 2 (EC 2.7.11.15);kegg:beta-receptor kinase (EC 2.7.11.15);kegg:GRK2 (EC 2.7.11.15);kegg:GRK3 (EC 2.7.11.15);kegg:beta-adrenergic-receptor kinase (phosphorylating) (EC 2.7.11.15);kegg:beta2ARK (EC 2.7.11.15);kegg:betaARK1 (EC 2.7.11.15);kegg:beta-adrenoceptor kinase (EC 2.7.11.15);kegg:beta-adrenoceptor kinase 1 (EC 2.7.11.15);kegg:beta-adrenoceptor kinase 2 (EC 2.7.11.15);kegg:ADRBK1 (EC 2.7.11.15);kegg:BARK1 (EC 2.7.11.15);kegg:adrenergic receptor kinase (EC 2.7.11.15);kegg:STK15 (EC 2.7.11.15)	null	role_mapping	1	0
cpx.15019	cpx.15019	KEGG	KEGG_role_complex	fr.50043	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	KEGG_role	KEGG	searchname:dtdp-glucose4,6-dehydratase(ec);kegg:thymidine diphosphoglucose oxidoreductase (EC 4.2.1.46);kegg:TDP-glucose oxidoreductase (EC 4.2.1.46);kegg:dTDP-glucose 4,6-hydro-lyase (EC 4.2.1.46)	null	role_mapping	1	0
cpx.15132	cpx.15132	KEGG	KEGG_role_complex	fr.50044	ethanolamine-phosphate phospho-lyase (EC 4.2.3.2)	KEGG_role	KEGG	searchname:ethanolamine-phosphatephospho-lyase(ec);kegg:O-phosphoethanolamine-phospholyase (EC 4.2.3.2);kegg:amino alcohol O-phosphate phospholyase (EC 4.2.3.2);kegg:O-phosphorylethanol-amine phospho-lyase (EC 4.2.3.2);kegg:ethanolamine-phosphate phospho-lyase (deaminating) (EC 4.2.3.2)	null	role_mapping	1	0
cpx.14669	cpx.14669	KEGG	KEGG_role_complex	fr.50045	peptide-transporting ATPase (EC 3.6.3.43)	KEGG_role	KEGG	searchname:peptide-transportingatpase(ec)	null	role_mapping	1	0
cpx.14668	cpx.14668	KEGG	KEGG_role_complex	fr.50046	beta-glucan-transporting ATPase (EC 3.6.3.42)	KEGG_role	KEGG	searchname:beta-glucan-transportingatpase(ec)	null	role_mapping	1	0
cpx.15018	cpx.15018	KEGG	KEGG_role_complex	fr.50047	CDP-glucose 4,6-dehydratase (EC 4.2.1.45)	KEGG_role	KEGG	searchname:cdp-glucose4,6-dehydratase(ec);kegg:cytidine diphosphoglucose oxidoreductase (EC 4.2.1.45);kegg:CDP-glucose 4,6-hydro-lyase (EC 4.2.1.45)	null	role_mapping	1	0
cpx.14665	cpx.14665	KEGG	KEGG_role_complex	fr.50048	Cu2+-exporting ATPase (EC 3.6.3.4)	KEGG_role	KEGG	searchname:cu2+-exportingatpase(ec)	null	role_mapping	1	0
cpx.14664	cpx.14664	KEGG	KEGG_role_complex	fr.50049	lipopolysaccharide-transporting ATPase (EC 3.6.3.39)	KEGG_role	KEGG	searchname:lipopolysaccharide-transportingatpase(ec)	null	role_mapping	1	0
cpx.14667	cpx.14667	KEGG	KEGG_role_complex	fr.50050	heme-transporting ATPase (EC 3.6.3.41)	KEGG_role	KEGG	searchname:heme-transportingatpase(ec)	null	role_mapping	1	0
cpx.14666	cpx.14666	KEGG	KEGG_role_complex	fr.50051	teichoic-acid-transporting ATPase (EC 3.6.3.40)	KEGG_role	KEGG	searchname:teichoic-acid-transportingatpase(ec)	null	role_mapping	1	0
cpx.14661	cpx.14661	KEGG	KEGG_role_complex	fr.50052	taurine-transporting ATPase (EC 3.6.3.36)	KEGG_role	KEGG	searchname:taurine-transportingatpase(ec)	null	role_mapping	1	0
cpx.14660	cpx.14660	KEGG	KEGG_role_complex	fr.50053	manganese-transporting ATPase (EC 3.6.3.35)	KEGG_role	KEGG	searchname:manganese-transportingatpase(ec);kegg:ABC-type manganese permease complex (EC 3.6.3.35)	null	role_mapping	1	0
cpx.14663	cpx.14663	KEGG	KEGG_role_complex	fr.50054	capsular-polysaccharide-transporting ATPase (EC 3.6.3.38)	KEGG_role	KEGG	searchname:capsular-polysaccharide-transportingatpase(ec)	null	role_mapping	1	0
cpx.14662	cpx.14662	KEGG	KEGG_role_complex	fr.50055	guanine-transporting ATPase (EC 3.6.3.37)	KEGG_role	KEGG	searchname:guanine-transportingatpase(ec)	null	role_mapping	1	0
cpx.12120	cpx.12120	KEGG	KEGG_role_complex	fr.50056	2-isopropylmalate synthase (EC 2.3.3.13)	KEGG_role	KEGG	searchname:2-isopropylmalatesynthase(ec);kegg:3-carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating) (EC 2.3.3.13);kegg:alpha-isopropylmalate synthetase (EC 2.3.3.13);kegg:alpha-isopropylmalate synthase (EC 2.3.3.13);kegg:alpha-isopropylmalic synthetase (EC 2.3.3.13);kegg:isopropylmalate synthase (EC 2.3.3.13);kegg:isopropylmalate synthetase (EC 2.3.3.13)	null	role_mapping	1	0
cpx.12121	cpx.12121	KEGG	KEGG_role_complex	fr.50057	homocitrate synthase (EC 2.3.3.14)	KEGG_role	KEGG	searchname:homocitratesynthase(ec);kegg:2-hydroxybutane-1,2,4-tricarboxylate 2-oxoglutarate-lyase (CoA-acetylating) (EC 2.3.3.14);kegg:acetyl-coenzyme A:2-ketoglutarate C-acetyl transferase (EC 2.3.3.14);kegg:homocitrate synthetase (EC 2.3.3.14);kegg:HCS (EC 2.3.3.14)	null	role_mapping	1	0
cpx.12122	cpx.12122	KEGG	KEGG_role_complex	fr.50058	sulfoacetaldehyde acetyltransferase (EC 2.3.3.15)	KEGG_role	KEGG	searchname:sulfoacetaldehydeacetyltransferase(ec);kegg:Xsc (EC 2.3.3.15)	null	role_mapping	1	0
cpx.12123	cpx.12123	KEGG	KEGG_role_complex	fr.50059	decylcitrate synthase (EC 2.3.3.2)	KEGG_role	KEGG	searchname:decylcitratesynthase(ec);kegg:2-decylcitrate synthase (EC 2.3.3.2);kegg:(2S,3S)-2-hydroxytridecane-1,2,3-tricarboxylate oxaloacetate-lyase (CoA-acylating) (EC 2.3.3.2)	null	role_mapping	1	0
