Original Reaction	Matched Reaction	Original Description	Matched Description	Swapped Compounds	
rxn00084	rxn14265	(1) NADPH[0] + (1) H2O2[0] + (1) H+[0] => (2) H2O[0] + (1) NADP[0]	(1) H2O2[0] + (1) AH2[0] <=> (2) H2O[0] + (1) A[0]	cpd00005:cpd11610;cpd00006:cpd11609	
rxn00103	rxn16325	(1) NADP[0] + (1) Formate[0] => (1) NADPH[0] + (1) CO2[0]	(1) Formate[0] + (1) A[0] => (1) CO2[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn00103	rxn26046	(1) NADP[0] + (1) Formate[0] => (1) NADPH[0] + (1) CO2[0]	(1) Formate[0] + (1) H+[0] + (1) Acceptor[0] <=> (1) CO2[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn00109	rxn05799	(1) H2O[0] + (1) NAD[0] + (1) NH3[0] <= (1) NADH[0] + (2) H+[0] + (1) Hydroxylamine[0]	(1) H2O[0] + (1) NH3[0] + (1) A[0] <= (1) Hydroxylamine[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00109	rxn19915	(1) H2O[0] + (1) NAD[0] + (1) NH3[0] <= (1) NADH[0] + (2) H+[0] + (1) Hydroxylamine[0]	(1) H2O[0] + (1) NH3[0] + (1) Acceptor[0] <=> (1) Hydroxylamine[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00182	rxn19826	(1) H2O[0] + (1) NAD[0] + (1) L-Glutamate[0] <=> (1) NADH[0] + (1) NH3[0] + (1) 2-Oxoglutarate[0] + (1) H+[0]	(1) H2O[0] + (1) L-Glutamate[0] + (1) NAD-P-OR-NOP[0] => (1) NH3[0] + (1) 2-Oxoglutarate[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00184	rxn19826	(1) H2O[0] + (1) NADP[0] + (1) L-Glutamate[0] <=> (1) NADPH[0] + (1) NH3[0] + (1) 2-Oxoglutarate[0] + (1) H+[0]	(1) H2O[0] + (1) L-Glutamate[0] + (1) NAD-P-OR-NOP[0] => (1) NH3[0] + (1) 2-Oxoglutarate[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn00196	rxn25138	(1) H2O[0] + (1) NADP[0] + (1) 2,5-Dioxopentanoate[0] <=> (1) NADPH[0] + (1) 2-Oxoglutarate[0] + (2) H+[0]	(1) H2O[0] + (1) 2,5-Dioxopentanoate[0] + (1) NAD-P-OR-NOP[0] => (1) 2-Oxoglutarate[0] + (2) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn00217	rxn05806	(1) NAD[0] + (1) D-Glucose[0] <=> (1) NADH[0] + (1) H+[0] + (1) Gluconolactone[0]	(1) D-Glucose[0] + (1) A[0] <=> (1) Gluconolactone[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00217	rxn48251	(1) NAD[0] + (1) D-Glucose[0] <=> (1) NADH[0] + (1) H+[0] + (1) Gluconolactone[0]	(1) D-Glucose[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Gluconolactone[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00217	rxn43580	(1) NAD[0] + (1) D-Glucose[0] <=> (1) NADH[0] + (1) H+[0] + (1) Gluconolactone[0]	(1) D-Glucose[0] + (1) Acceptor[0] <=> (1) Gluconolactone[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00248	rxn05815	(1) NAD[0] + (1) L-Malate[0] <=> (1) NADH[0] + (1) Oxaloacetate[0] + (1) H+[0]	(1) L-Malate[0] + (1) A[0] <= (1) Oxaloacetate[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00248	rxn21133	(1) NAD[0] + (1) L-Malate[0] <=> (1) NADH[0] + (1) Oxaloacetate[0] + (1) H+[0]	(1) L-Malate[0] + (1) NAD-P-OR-NOP[0] <=> (1) Oxaloacetate[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00248	rxn27977	(1) NAD[0] + (1) L-Malate[0] <=> (1) NADH[0] + (1) Oxaloacetate[0] + (1) H+[0]	(1) L-Malate[0] + (1) Acceptor[0] <=> (1) Oxaloacetate[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00249	rxn05815	(1) NADP[0] + (1) L-Malate[0] <=> (1) NADPH[0] + (1) Oxaloacetate[0] + (1) H+[0]	(1) L-Malate[0] + (1) A[0] <= (1) Oxaloacetate[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn00249	rxn21133	(1) NADP[0] + (1) L-Malate[0] <=> (1) NADPH[0] + (1) Oxaloacetate[0] + (1) H+[0]	(1) L-Malate[0] + (1) NAD-P-OR-NOP[0] <=> (1) Oxaloacetate[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn00249	rxn27977	(1) NADP[0] + (1) L-Malate[0] <=> (1) NADPH[0] + (1) Oxaloacetate[0] + (1) H+[0]	(1) L-Malate[0] + (1) Acceptor[0] <=> (1) Oxaloacetate[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn00284	rxn05836	(1) NAD[0] + (1) Succinate[0] <= (1) NADH[0] + (1) H+[0] + (1) Fumarate[0]	(1) Succinate[0] + (1) A[0] <= (1) Fumarate[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00284	rxn27226	(1) NAD[0] + (1) Succinate[0] <= (1) NADH[0] + (1) H+[0] + (1) Fumarate[0]	(1) Succinate[0] + (1) Acceptor[0] <=> (1) Fumarate[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00288	rxn05836	(1) FAD[0] + (1) Succinate[0] <=> (1) Fumarate[0] + (1) FADH2[0]	(1) Succinate[0] + (1) A[0] <= (1) Fumarate[0] + (1) AH2[0]	cpd00015:cpd11609;cpd00982:cpd11610	
rxn00288	rxn27226	(1) FAD[0] + (1) Succinate[0] <=> (1) Fumarate[0] + (1) FADH2[0]	(1) Succinate[0] + (1) Acceptor[0] <=> (1) Fumarate[0] + (1) Donor-H2[0]	cpd00015:cpd22290;cpd00982:cpd26978	
rxn00324	rxn05851	(1) NADP[0] + (1) Glycolate[0] <=> (1) NADPH[0] + (1) Glyoxalate[0] + (1) H+[0]	(1) Glycolate[0] + (1) A[0] <= (1) Glyoxalate[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn00324	rxn19863	(1) NADP[0] + (1) Glycolate[0] <=> (1) NADPH[0] + (1) Glyoxalate[0] + (1) H+[0]	(1) Glycolate[0] + (1) Acceptor[0] <=> (1) Glyoxalate[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn00371	rxn16325	(1) NAD[0] + (1) Formate[0] => (1) NADH[0] + (1) CO2[0]	(1) Formate[0] + (1) A[0] => (1) CO2[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00371	rxn26046	(1) NAD[0] + (1) Formate[0] => (1) NADH[0] + (1) CO2[0]	(1) Formate[0] + (1) H+[0] + (1) Acceptor[0] <=> (1) CO2[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00402	rxn19376	(1) H2O[0] + (1) NAD[0] + (1) Octopine[0] <=> (1) NADH[0] + (1) Pyruvate[0] + (1) L-Arginine[0] + (1) H+[0]	(1) H2O[0] + (1) Octopine[0] + (1) Acceptor[0] <=> (1) Pyruvate[0] + (1) L-Arginine[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00403	rxn19374	(1) H2O[0] + (1) NADP[0] + (1) D-Nopaline[0] <=> (1) NADPH[0] + (1) 2-Oxoglutarate[0] + (1) L-Arginine[0] + (1) H+[0]	(1) H2O[0] + (1) D-Nopaline[0] + (1) Acceptor[0] <=> (1) 2-Oxoglutarate[0] + (1) L-Arginine[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn00430	rxn44933	(1) NAD[0] + (1) Methanol[0] <=> (1) NADH[0] + (1) Formaldehyde[0] + (1) H+[0]	(1) Methanol[0] + (1) Acceptor[0] <=> (1) Formaldehyde[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00475	rxn27396	(1) H2O[0] + (1) NAD[0] + (1) L-Tryptophan[0] <=> (1) NADH[0] + (1) NH3[0] + (1) H+[0] + (1) Indolepyruvate[0]	(1) H2O[0] + (1) L-Tryptophan[0] + (1) NAD-P-OR-NOP[0] => (1) NH3[0] + (1) H+[0] + (1) Indolepyruvate[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00476	rxn27396	(1) H2O[0] + (1) NADP[0] + (1) L-Tryptophan[0] <=> (1) NADPH[0] + (1) NH3[0] + (1) H+[0] + (1) Indolepyruvate[0]	(1) H2O[0] + (1) L-Tryptophan[0] + (1) NAD-P-OR-NOP[0] => (1) NH3[0] + (1) H+[0] + (1) Indolepyruvate[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn00499	rxn20011	(1) NAD[0] + (1) L-Lactate[0] <=> (1) NADH[0] + (1) Pyruvate[0] + (1) H+[0]	(1) L-Lactate[0] + (1) Acceptor[0] <=> (1) Pyruvate[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00500	rxn05804	(1) NAD[0] + (1) D-Lactate[0] <=> (1) NADH[0] + (1) Pyruvate[0] + (1) H+[0]	(1) D-Lactate[0] + (1) A[0] <= (1) Pyruvate[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00500	rxn19363	(1) NAD[0] + (1) D-Lactate[0] <=> (1) NADH[0] + (1) Pyruvate[0] + (1) H+[0]	(1) D-Lactate[0] + (1) Acceptor[0] <=> (1) Pyruvate[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00501	rxn25951	(1) NAD[0] + (1) CoA[0] + (1) 3-Oxopropanoate[0] => (1) NADH[0] + (1) CO2[0] + (1) Acetyl-CoA[0]	(1) CoA[0] + (1) 3-Oxopropanoate[0] + (1) NAD-P-OR-NOP[0] <=> (1) CO2[0] + (1) Acetyl-CoA[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00502	rxn25951	(1) NADP[0] + (1) CoA[0] + (1) 3-Oxopropanoate[0] => (1) NADPH[0] + (1) CO2[0] + (1) Acetyl-CoA[0]	(1) CoA[0] + (1) 3-Oxopropanoate[0] + (1) NAD-P-OR-NOP[0] <=> (1) CO2[0] + (1) Acetyl-CoA[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn00503	rxn22005	(2) H2O[0] + (1) NAD[0] + (1) 1-Pyrroline-5-carboxylate[0] <=> (1) NADH[0] + (1) L-Glutamate[0] + (1) H+[0]	(2) H2O[0] + (1) 1-Pyrroline-5-carboxylate[0] + (1) NAD-P-OR-NOP[0] <=> (1) L-Glutamate[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00504	rxn22005	(2) H2O[0] + (1) NADP[0] + (1) 1-Pyrroline-5-carboxylate[0] <=> (1) NADPH[0] + (1) L-Glutamate[0] + (1) H+[0]	(2) H2O[0] + (1) 1-Pyrroline-5-carboxylate[0] + (1) NAD-P-OR-NOP[0] <=> (1) L-Glutamate[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn00506	rxn05812	(1) H2O[0] + (1) NAD[0] + (1) Acetaldehyde[0] => (1) NADH[0] + (1) Acetate[0] + (2) H+[0]	(1) H2O[0] + (1) Acetaldehyde[0] + (1) A[0] <=> (1) Acetate[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00507	rxn05812	(1) H2O[0] + (1) NADP[0] + (1) Acetaldehyde[0] => (1) NADPH[0] + (1) Acetate[0] + (2) H+[0]	(1) H2O[0] + (1) Acetaldehyde[0] + (1) A[0] <=> (1) Acetate[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn00508	rxn26302	(1) H2O[0] + (1) NAD[0] + (1) 4-Oxobutanoate[0] <=> (1) NADH[0] + (1) Succinate[0] + (2) H+[0]	(1) H2O[0] + (1) 4-Oxobutanoate[0] + (1) NAD-P-OR-NOP[0] => (1) Succinate[0] + (2) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00509	rxn26302	(1) H2O[0] + (1) NADP[0] + (1) 4-Oxobutanoate[0] <=> (1) NADPH[0] + (1) Succinate[0] + (2) H+[0]	(1) H2O[0] + (1) 4-Oxobutanoate[0] + (1) NAD-P-OR-NOP[0] => (1) Succinate[0] + (2) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn00512	rxn05851	(1) NAD[0] + (1) Glycolate[0] <=> (1) NADH[0] + (1) Glyoxalate[0] + (1) H+[0]	(1) Glycolate[0] + (1) A[0] <= (1) Glyoxalate[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00512	rxn19863	(1) NAD[0] + (1) Glycolate[0] <=> (1) NADH[0] + (1) Glyoxalate[0] + (1) H+[0]	(1) Glycolate[0] + (1) Acceptor[0] <=> (1) Glyoxalate[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00525	rxn45724	(1) NAD[0] + (1) Pretyrosine[0] => (1) NADH[0] + (1) CO2[0] + (1) L-Tyrosine[0]	(1) Pretyrosine[0] + (1) NAD-P-OR-NOP[0] <=> (1) CO2[0] + (1) L-Tyrosine[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00526	rxn45724	(1) NADP[0] + (1) Pretyrosine[0] => (1) NADPH[0] + (1) CO2[0] + (1) L-Tyrosine[0]	(1) Pretyrosine[0] + (1) NAD-P-OR-NOP[0] <=> (1) CO2[0] + (1) L-Tyrosine[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn00536	rxn43639	(1) NADP[0] + (1) Ethanol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Acetaldehyde[0]	(1) Ethanol[0] + (1) Acceptor[0] <=> (1) Acetaldehyde[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn00543	rxn43639	(1) NAD[0] + (1) Ethanol[0] <=> (1) NADH[0] + (1) H+[0] + (1) Acetaldehyde[0]	(1) Ethanol[0] + (1) Acceptor[0] <=> (1) Acetaldehyde[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00571	rxn14358	(1) H2O[0] + (1) NAD[0] + (1) Nitrite[0] <= (1) NADH[0] + (2) H+[0] + (1) Nitrate[0]	(1) H2O[0] + (1) Nitrite[0] + (1) A[0] <= (1) Nitrate[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00571	rxn20279	(1) H2O[0] + (1) NAD[0] + (1) Nitrite[0] <= (1) NADH[0] + (2) H+[0] + (1) Nitrate[0]	(1) H2O[0] + (1) Nitrite[0] + (1) NAD-P-OR-NOP[0] <= (2) H+[0] + (1) Nitrate[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00571	rxn20280	(1) H2O[0] + (1) NAD[0] + (1) Nitrite[0] <= (1) NADH[0] + (2) H+[0] + (1) Nitrate[0]	(1) H2O[0] + (1) Nitrite[0] + (1) Acceptor[0] <=> (1) Nitrate[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00572	rxn14358	(1) H2O[0] + (1) NADP[0] + (1) Nitrite[0] <= (1) NADPH[0] + (2) H+[0] + (1) Nitrate[0]	(1) H2O[0] + (1) Nitrite[0] + (1) A[0] <= (1) Nitrate[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn00572	rxn20279	(1) H2O[0] + (1) NADP[0] + (1) Nitrite[0] <= (1) NADPH[0] + (2) H+[0] + (1) Nitrate[0]	(1) H2O[0] + (1) Nitrite[0] + (1) NAD-P-OR-NOP[0] <= (2) H+[0] + (1) Nitrate[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn00572	rxn20280	(1) H2O[0] + (1) NADP[0] + (1) Nitrite[0] <= (1) NADPH[0] + (2) H+[0] + (1) Nitrate[0]	(1) H2O[0] + (1) Nitrite[0] + (1) Acceptor[0] <=> (1) Nitrate[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn00580	rxn05898	(1) FAD[0] + (1) Sucrose[0] => (1) FADH2[0] + (1) 3-Ketosucrose[0]	(1) Sucrose[0] + (1) A[0] <=> (1) 3-Ketosucrose[0] + (1) AH2[0]	cpd00015:cpd11609;cpd00982:cpd11610	
rxn00580	rxn19816	(1) FAD[0] + (1) Sucrose[0] => (1) FADH2[0] + (1) 3-Ketosucrose[0]	(1) Sucrose[0] + (1) Acceptor[0] <=> (1) 3-Ketosucrose[0] + (1) Donor-H2[0]	cpd00015:cpd22290;cpd00982:cpd26978	
rxn00594	rxn17066	(1) NADH[0] + (1) O2[0] + (3) H+[0] + (1) Anthranilate[0] => (1) NAD[0] + (1) CO2[0] + (1) NH3[0] + (1) Catechol[0]	(1) O2[0] + (3) H+[0] + (1) Anthranilate[0] + (1) NADH-P-OR-NOP[0] => (1) CO2[0] + (1) NH3[0] + (1) Catechol[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn00595	rxn17066	(1) NADPH[0] + (1) O2[0] + (3) H+[0] + (1) Anthranilate[0] => (1) NADP[0] + (1) CO2[0] + (1) NH3[0] + (1) Catechol[0]	(1) O2[0] + (3) H+[0] + (1) Anthranilate[0] + (1) NADH-P-OR-NOP[0] => (1) CO2[0] + (1) NH3[0] + (1) Catechol[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn00604	rxn48018	(1) NADP[0] + (1) D-glucose-6-phosphate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 6-phospho-D-glucono-1-5-lactone[0]	(1) D-glucose-6-phosphate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 6-phospho-D-glucono-1-5-lactone[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn00611	rxn05900	(1) NAD[0] + (1) Glycerol-3-phosphate[0] <=> (1) NADH[0] + (1) H+[0] + (1) Glycerone-phosphate[0]	(1) Glycerol-3-phosphate[0] + (1) A[0] <=> (1) Glycerone-phosphate[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00611	rxn19848	(1) NAD[0] + (1) Glycerol-3-phosphate[0] <=> (1) NADH[0] + (1) H+[0] + (1) Glycerone-phosphate[0]	(1) Glycerol-3-phosphate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Glycerone-phosphate[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00611	rxn27905	(1) NAD[0] + (1) Glycerol-3-phosphate[0] <=> (1) NADH[0] + (1) H+[0] + (1) Glycerone-phosphate[0]	(1) Glycerol-3-phosphate[0] + (1) Acceptor[0] <=> (1) Glycerone-phosphate[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00612	rxn05900	(1) NADP[0] + (1) Glycerol-3-phosphate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Glycerone-phosphate[0]	(1) Glycerol-3-phosphate[0] + (1) A[0] <=> (1) Glycerone-phosphate[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn00612	rxn19848	(1) NADP[0] + (1) Glycerol-3-phosphate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Glycerone-phosphate[0]	(1) Glycerol-3-phosphate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Glycerone-phosphate[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn00612	rxn27905	(1) NADP[0] + (1) Glycerol-3-phosphate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Glycerone-phosphate[0]	(1) Glycerol-3-phosphate[0] + (1) Acceptor[0] <=> (1) Glycerone-phosphate[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn00616	rxn05900	(1) FAD[0] + (1) Glycerol-3-phosphate[0] => (1) Glycerone-phosphate[0] + (1) FADH2[0]	(1) Glycerol-3-phosphate[0] + (1) A[0] <=> (1) Glycerone-phosphate[0] + (1) AH2[0]	cpd00015:cpd11609;cpd00982:cpd11610	
rxn00616	rxn27905	(1) FAD[0] + (1) Glycerol-3-phosphate[0] => (1) Glycerone-phosphate[0] + (1) FADH2[0]	(1) Glycerol-3-phosphate[0] + (1) Acceptor[0] <=> (1) Glycerone-phosphate[0] + (1) Donor-H2[0]	cpd00015:cpd22290;cpd00982:cpd26978	
rxn00631	rxn05905	(1) NADP[0] + (1) D-Fructose[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 5-Dehydro-D-fructose[0]	(1) D-Fructose[0] + (1) A[0] <=> (1) 5-Dehydro-D-fructose[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn00653	rxn24151	(1) NADH[0] + (2) H+[0] + (1) beta-Alanine[0] <=> (1) H2O[0] + (1) NAD[0] + (1) 3-Aminopropanal[0]	(1) H2O[0] + (1) 3-Aminopropanal[0] + (1) NAD-P-OR-NOP[0] => (2) H+[0] + (1) beta-Alanine[0] + (1) NADH-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn00673	rxn20618	(1) FAD[0] + (1) Propionyl-CoA[0] <=> (1) Acrylyl-CoA[0] + (1) FADH2[0]	(1) H+[0] + (1) Propionyl-CoA[0] + (1) ETF-Oxidized[0] <= (1) Acrylyl-CoA[0] + (1) ETF-Reduced[0]	cpd00015:cpd27005;cpd00982:cpd27006	
rxn00673	rxn06691	(1) FAD[0] + (1) Propionyl-CoA[0] <=> (1) Acrylyl-CoA[0] + (1) FADH2[0]	(1) Propionyl-CoA[0] + (1) Electron-transferring flavoprotein[0] <= (1) Acrylyl-CoA[0] + (1) Reduced electron-transferring flavoprotein[0]	cpd00015:cpd12505;cpd00982:cpd12576	
rxn00762	rxn05925	(1) NAD[0] + (1) Glycerol[0] <=> (1) NADH[0] + (1) H+[0] + (1) Glycerone[0]	(1) Glycerol[0] + (1) A[0] <=> (1) Glycerone[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00762	rxn22066	(1) NAD[0] + (1) Glycerol[0] <=> (1) NADH[0] + (1) H+[0] + (1) Glycerone[0]	(1) H+[0] + (1) Glycerone[0] + (1) NADH-P-OR-NOP[0] <=> (1) Glycerol[0] + (1) NAD-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00762	rxn19851	(1) NAD[0] + (1) Glycerol[0] <=> (1) NADH[0] + (1) H+[0] + (1) Glycerone[0]	(1) Glycerol[0] + (1) Acceptor[0] <=> (1) Glycerone[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00764	rxn05925	(1) NADP[0] + (1) Glycerol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Glycerone[0]	(1) Glycerol[0] + (1) A[0] <=> (1) Glycerone[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
