CHEBI:7	 (+)-car-3-ene
CHEBI:2710	 androst-5-en-3beta,17beta-diol
CHEBI:2937	 avenacoside A
CHEBI:2938	 avenacoside B
CHEBI:3000	 beauvericin
CHEBI:3168	 brassicasterol
CHEBI:3230	 butachlor
CHEBI:3362	 canthaxanthin
CHEBI:3374	 capsaicin
CHEBI:3375	 all-trans-capsanthin
CHEBI:3378	 all-trans-capsorubin
CHEBI:3381	 (-)-car-3-ene
CHEBI:3440	 carvacrol
CHEBI:3528	 D-cellotriose
CHEBI:3639	 chlorothalonil
CHEBI:3663	 cholesteryl hexadecanoate
CHEBI:3686	 chrysophanol-9-anthrone
CHEBI:3687	 chrysophanol
CHEBI:3706	 cinerin I
CHEBI:3707	 cinerin II
CHEBI:3900	 (+)-costunolide
CHEBI:3941	 cucurbitacin B
CHEBI:3962	 curcumin
CHEBI:4139	 D-galactose
CHEBI:4167	 D-glucose
CHEBI:4194	 D-hexose
CHEBI:4208	 D-mannose
CHEBI:4372	 (6S)-6-hydroxy-3-oxo-alpha-ionone
CHEBI:4429	 (-)-deoxypodophyllotoxin
CHEBI:4553	 (-)-yatein
CHEBI:4579	 dihydropinosylvin
CHEBI:4608	 dimethyl disulfide
CHEBI:4629	 diosgenin
CHEBI:4648	 hop-22(29)-ene
CHEBI:4712	 1alpha-hydroxyvitamin D2
CHEBI:4746	 echinenone
CHEBI:4885	 ethionamide
CHEBI:4893	 ethyl 3-oxobutanoate
CHEBI:4903	 17alpha-ethynylestradiol
CHEBI:4917	 eugenol
CHEBI:4935	 eupatolide
CHEBI:4986	 a fatty acid methyl ester
CHEBI:4991	 iron(III) dicitrate
CHEBI:5013	 fenuron
CHEBI:5169	 fraxetin
CHEBI:5171	 friedelin
CHEBI:5325	 gentisyl alcohol
CHEBI:5331	 (2E)-geranyl acetate
CHEBI:5337	 (1E,4E)-germacrene B
CHEBI:5404	 glucoerucin
CHEBI:5411	 gluconapin
CHEBI:5415	 glucoraphanin
CHEBI:5672	 heptan-2-one
CHEBI:5768	 alpha-humulene
CHEBI:6049	 isoproturon
CHEBI:6076	 itraconazole
CHEBI:6331	 (4S)-4-hydroxy-L-glutamate
CHEBI:6530	 longifolene
CHEBI:6570	 lupeol
CHEBI:6641	 magnoflorine
CHEBI:6695	 (7S)-marmesin
CHEBI:6698	 (-)-matairesinol
CHEBI:6714	 (+)-medicarpin
CHEBI:6746	 menadiol
CHEBI:6750	 (R)-menthofuran
CHEBI:6877	 trans-isomethyleugenol
CHEBI:6907	 metoxuron
CHEBI:7386	 4-acetamidobutanal
CHEBI:7466	 17beta-hydroxyestr-4-en-3-one
CHEBI:7518	 cis-trans-nepetalactone
CHEBI:7570	 nigerose
CHEBI:7610	 (2E,6Z)-nona-2,6-dienal
CHEBI:7747	 oleuropein
CHEBI:7775	 ononin
CHEBI:7896	 hexadecanoate
CHEBI:7939	 parthenolide
CHEBI:7940	 patchoulol
CHEBI:8100	 3-phenyllactate
CHEBI:8113	 phlorizin
CHEBI:8191	 all-trans-phytoene
CHEBI:8210	 pimara-8(14),15-diene
CHEBI:8240	 piperonal
CHEBI:8403	 previtamin D3
CHEBI:8588	 protodioscin
CHEBI:8630	 pterostilbene
CHEBI:8824	 rhaponticin
CHEBI:8988	 SN-38
CHEBI:9036	 sarpagine
CHEBI:9053	 sclareol
CHEBI:9055	 scoparone
CHEBI:9162	 sinigrin
CHEBI:9171	 skatole
CHEBI:9192	 solavetivone
CHEBI:9209	 soyasapogenol B
CHEBI:9271	 stevioside
CHEBI:9349	 dimethyl sulfone
CHEBI:9380	 4-O-(beta-D-glucosyl)-trans-4-sinapoyl alcohol
CHEBI:9402	 taraxerol
CHEBI:9407	 taurochenodeoxycholate
CHEBI:9457	 terpinolene
CHEBI:9470	 tetracenomycin C
CHEBI:9493	 tetrahymanol
CHEBI:9555	 6-thioguanine
CHEBI:9595	 tigogenin
CHEBI:9638	 torulene
CHEBI:9661	 triacetin
CHEBI:10023	 voriconazole
CHEBI:10036	 a wax ester
CHEBI:10115	 alpha-zingiberene
CHEBI:10213	 alpha-amyrin
CHEBI:10216	 (-)-alpha-cedrene
CHEBI:10221	 alpha-copaene
CHEBI:10223	 alpha-cryptoxanthin
CHEBI:10278	 alpha-eudesmol
CHEBI:10280	 (3E,6E)-alpha-farnesene
CHEBI:10329	 alpha-ribazole
CHEBI:10334	 alpha-terpinene
CHEBI:10352	 beta-amyrin
CHEBI:10357	 (-)-(E)-beta-caryophyllene
CHEBI:10362	 beta-cryptoxanthin
CHEBI:10363	 beta-cubebene
CHEBI:10417	 beta-eudesmol
CHEBI:10418	 (E)-beta-farnesene
CHEBI:10432	 2-naphthol
CHEBI:10440	 (-)-beta-santalene
CHEBI:10443	 (+)-beta-selinene
CHEBI:10545	 e(-)
CHEBI:10576	 (3R,4S,5S,6R)-pentachlorocyclohexene
CHEBI:10577	 gamma-terpinene
CHEBI:10642	 scyllo-inositol
CHEBI:10702	 (1R,2R)-1,2-dihydrobenzene-1,2-diol
CHEBI:10782	 (4S)-perillyl alcohol
CHEBI:10790	 methylenediurea
CHEBI:10979	 (3R)-hydroxybutanoate dimer
CHEBI:10980	 (2R)-2-hydroxy-3-(4-hydroxyphenyl)propanoate
CHEBI:10983	 (R)-3-hydroxybutanoate
CHEBI:10986	 (R)-4'-phosphopantothenate
CHEBI:11009	 (R)-3-phenyllactate
CHEBI:11047	 (S)-3-hydroxybutanoate
CHEBI:11060	 (S)-carnitine
CHEBI:11152	 1,2-didecanoylglycerol
CHEBI:11173	 1,4-dihydroxy-2-naphthoate
CHEBI:11222	 heteropyrithiamine
CHEBI:11302	 10-deacetyltaxuyunnanin C
CHEBI:11305	 10-hydroxydecanoate
CHEBI:11320	 13-hydroxydocosanoate
CHEBI:11412	 (2R,3S,4S)-leucocyanidin
CHEBI:11424	 2,3-dihydroxy-3-methylbutanoate
CHEBI:11438	 (2E,4E)-2,4-dichloromuconate
CHEBI:11449	 2,5-didehydro-D-gluconate
CHEBI:11561	 2-dehydropantoate
CHEBI:11596	 2-hydroxyglutarate
CHEBI:11641	 2-oxopent-4-enoate
CHEBI:11805	 3-hydroxy-2-methylpropanoate
CHEBI:11812	 3-hydroxy-3-methyl-2-oxobutanoate
CHEBI:11851	 3-methyl-2-oxobutanoate
CHEBI:11867	 3-oxo-5beta-cholan-24-oate
CHEBI:11892	 3-(carbamoylamino)propanoate
CHEBI:11893	 3alpha,12alpha-dihydroxy-7-oxo-5beta-cholanate
CHEBI:11901	 3alpha,7alpha-dihydroxy-12-oxo-5beta-cholanate
CHEBI:11909	 3beta-hydroxy-5alpha-pregnane-20-one
CHEBI:11935	 4-(beta-D-glucosyloxy)benzoate
CHEBI:11944	 4-(hydroxymethyl)benzenesulfonate
CHEBI:11951	 4-acetamidobutanoate
CHEBI:11987	 4-formylbenzenesulfonate
CHEBI:12040	 4-oxohex-2-enedioate
CHEBI:12060	 5'-deoxy-5'-fluoroadenosine
CHEBI:12154	 5-oxohexanoate
CHEBI:12834	 an n-alkanal
CHEBI:12855	 (1S,2S)-1,2-dihydrobenzene-1,2-diol
CHEBI:12875	 trans-2-coumarate
CHEBI:12876	 (E)-4-coumarate
CHEBI:12931	 D-galactonate
CHEBI:12952	 aldehydo-D-galacturonate
CHEBI:13022	 keto-D-sorbose
CHEBI:13115	 L-gulonate
CHEBI:13172	 keto-L-sorbose
CHEBI:13193	 A
CHEBI:13197	 a ribonucleoside 3'-phosphate
CHEBI:13209	 a long-chain fatty acyl ethyl ester
CHEBI:13248	 an anilide
CHEBI:13601	 a 3-oxo-5alpha-steroid
CHEBI:13610	 a 3beta-hydroxysteroid ester
CHEBI:13705	 acetoacetate
CHEBI:13714	 1-O-acetylmaltose
CHEBI:13719	 acetylsalicylate
CHEBI:13757	 an alk-2-enal
CHEBI:13769	 aminohydroquinone
CHEBI:13790	 an N-acetylarylamine
CHEBI:13792	 an N-hydroxyarylamine
CHEBI:13862	 asparagusate
CHEBI:13941	 carbamate
CHEBI:13997	 citramalate
CHEBI:14027	 corydaline
CHEBI:14030	 crepenynate
CHEBI:14268	 a flavonol 3-O-glycoside
CHEBI:14272	 fluoroacetaldehyde
CHEBI:14428	 hyponitrous acid
CHEBI:14649	 beta-nicotinamide D-ribonucleotide
CHEBI:14750	 acetylacetone
CHEBI:15035	 retinal
CHEBI:15036	 retinoate
CHEBI:15075	 selenate
CHEBI:15208	 taxuyunnanin C
CHEBI:15226	 tetrathionate
CHEBI:15333	 zeatin
CHEBI:15342	 acenaphthene-1,2-dione
CHEBI:15343	 acetaldehyde
CHEBI:15347	 acetone
CHEBI:15348	 2-hydroxy-2-methylpropanenitrile
CHEBI:15349	 acetone oxime
CHEBI:15354	 choline
CHEBI:15355	 acetylcholine
CHEBI:15357	 acetylenedicarboxylate
CHEBI:15360	 acetylpyruvate
CHEBI:15361	 pyruvate
CHEBI:15363	 N-acetylindoxyl
CHEBI:15364	 propynoate
CHEBI:15368	 acrolein
CHEBI:15377	 H2O
CHEBI:15378	 H(+)
CHEBI:15379	 O2
CHEBI:15382	 (4R)-limonene
CHEBI:15383	 (4S)-limonene
CHEBI:15384	 limonene
CHEBI:15385	 (1S,8aR)-delta-cadinene
CHEBI:15386	 (3S,4R)-3,4-dihydrophenanthrene-3,4-diol
CHEBI:15387	 (1S,3R,5S)-sabinol
CHEBI:15388	 (1R,5S)-carveol
CHEBI:15389	 (1S,5R)-carveol
CHEBI:15390	 (2S)-bisdechlorogeodin
CHEBI:15391	 (2R)-bisdechlorogeodin
CHEBI:15392	 (1R,4R)-bornane-2,5-dione
CHEBI:15393	 (1R,2S,4R)-borneol
CHEBI:15394	 (1S,2R,4S)-borneol
CHEBI:15396	 (1R,4R)-camphor
CHEBI:15397	 (1S,4S)-camphor
CHEBI:15398	 (1R,4R,5R)-5-hydroxycamphor
CHEBI:15399	 (S)-carvone
CHEBI:15400	 (R)-carvone
CHEBI:15401	 (2R,3R)-dihydrokaempferol
CHEBI:15402	 (+)-neomenthol
CHEBI:15403	 (1S,5S)-sabinone
CHEBI:15404	 (2R,3S)-homoisocitrate
CHEBI:15405	 (1S,2S,4R)-endo-fenchol
CHEBI:15406	 (1S,6R)-isopiperitenol
CHEBI:15408	 (6R)-isopiperitenone
CHEBI:15409	 (-)-menthol
CHEBI:15410	 (1R,4S)-menthone
CHEBI:15411	 (-)-menthyl beta-D-glucoside
CHEBI:15415	 ent-kaur-16-ene
CHEBI:15416	 ent-kaur-16-en-19-ol
CHEBI:15418	 ent-kaur-16-en-19-al
CHEBI:15420	 perillyl alcohol
CHEBI:15421	 perillyl aldehyde
CHEBI:15429	 hydroxylamine
CHEBI:15440	 squalene
CHEBI:15441	 (S)-2,3-epoxysqualene
CHEBI:15562	 D-threo-isocitrate
CHEBI:15563	 D-erythro-isocitrate
CHEBI:15565	 (1S,2R)-3-methylcyclohexa-3,5-diene-1,2-diol
CHEBI:15571	 hydrazine
CHEBI:15574	 nuatigenin
CHEBI:15575	 nuatigenin 3-beta-D-glucopyranoside
CHEBI:15577	 (24R,24(1)R)-fucosterol epoxide
CHEBI:15578	 (25S)-5beta-spirostan-3beta-ol
CHEBI:15579	 (25S)-5beta-spirostan-3beta-yl beta-D-glucoside
CHEBI:15581	 juvenile hormone II
CHEBI:15588	 (R)-malate
CHEBI:15589	 (S)-malate
CHEBI:15593	 3-oxalomalate
CHEBI:15594	 3-propylmalate
CHEBI:15597	 (2R)-O-phospho-3-sulfolactate
CHEBI:15598	 2-methylcitrate
CHEBI:15600	 (2R,3S)-catechin
CHEBI:15605	 (2S)-flavan-4-ol
CHEBI:15606	 (2S)-flavanone
CHEBI:15621	 (4-hydroxyphenyl)acetaldehyde
CHEBI:15636	 (6R)-5,10-methylene-5,6,7,8-tetrahydrofolate
CHEBI:15642	 (4aS,6R)-4a-hydroxy-L-erythro-5,6,7,8-tetrahydrobiopterin
CHEBI:15648	 (6aR,11aR)-3,9-dihydroxypterocarpan
CHEBI:15649	 (6aS,11aS)-3,6a,9-trihydroxypterocarpan
CHEBI:15659	 (E)-2-(2-furyl)-3-(5-nitro-2-furyl)acrylamide
CHEBI:15660	 (Z)-2-(2-furyl)-3-(5-nitro-2-furyl)acrylamide
CHEBI:15662	 (6E)-8-hydroxylinalool
CHEBI:15666	 (E)-4-hydroxyphenylacetaldehyde oxime
CHEBI:15667	 (Z)-(4-hydroxyphenyl)acetaldehyde oxime
CHEBI:15669	 (E)-cinnamate
CHEBI:15676	 allantoin
CHEBI:15677	 (R)-allantoin
CHEBI:15678	 (S)-allantoin
CHEBI:15683	 (R)-10-hydroxyoctadecanoate
CHEBI:15685	 (S)-2-succinylamino-6-oxoheptanedioate
CHEBI:15686	 (R)-acetoin
CHEBI:15687	 (S)-acetoin
CHEBI:15688	 acetoin
CHEBI:15690	 20-hydroxy-3-oxopregn-4-en-21-al
CHEBI:15698	 2'-deoxycytidine
CHEBI:15704	 an N(6)-alkylamino-7-beta-D-glucosylpurine
CHEBI:15708	 trans-aconitate
CHEBI:15709	 xanthotoxol
CHEBI:15710	 betaine aldehyde
CHEBI:15711	 indole-3-acetyl-1D-myo-inositol
CHEBI:15712	 2,3-dihydrobiochanin A
CHEBI:15716	 12-hydroxydihydrochelirubine
CHEBI:15720	 OPC-8
CHEBI:15723	 1,6-bis-O-galloyl-beta-D-glucose
CHEBI:15724	 trimethylamine N-oxide
CHEBI:15733	 N-methylaniline
CHEBI:15734	 a primary alcohol
CHEBI:15735	 S-formylmycothiol
CHEBI:15740	 formate
CHEBI:15743	 butanal
CHEBI:15754	 3-beta-D-galactosyl-sn-glycerol
CHEBI:15755	 3alpha,7alpha,12beta-trihydroxy-5beta-cholanate
CHEBI:15759	 2,3-epoxyphylloquinone
CHEBI:15761	 N-methylpyridinium
CHEBI:15767	 dichloromethane
CHEBI:15771	 loganin
CHEBI:15775	 3-oxoadipate
CHEBI:15777	 4-oxocyclohexanecarboxylate
CHEBI:15781	 hercynine
CHEBI:15783	 N,N-dimethyl-1,4-phenylenediamine
CHEBI:15788	 3,5-dichlorocatechol
CHEBI:15792	 malonate
CHEBI:15794	 juglone
CHEBI:15801	 (R)-2-hydroxyglutarate
CHEBI:15815	 quinolin-4-ol
CHEBI:15825	 3-methyl-2-butenal
CHEBI:15826	 16alpha-hydroxyprogesterone
CHEBI:15832	 urea-1-carboxylate
CHEBI:15833	 sulcatol
CHEBI:15834	 1-O-galloyl-beta-D-glucose
CHEBI:15837	 3-methylbutanol
CHEBI:15850	 1-O-alkyl-sn-glycerol
CHEBI:15852	 aquacob(III)alamin
CHEBI:15858	 bromide
CHEBI:15860	 N-methylhexanamide
CHEBI:15861	 trichodiene
CHEBI:15867	 D-xylono-1,5-lactone
CHEBI:15870	 betaine aldehyde hydrate
CHEBI:15878	 10-hydroxydihydrosanguinarine
CHEBI:15882	 phenol
CHEBI:15889	 a sterol
CHEBI:15890	 5,6-dimethylbenzimidazole
CHEBI:15893	 1-pyrroline-5-carboxylate
CHEBI:15894	 (2E,6E)-farnesal
CHEBI:15895	 D-galactono-1,4-lactone
CHEBI:15896	 3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione
CHEBI:15897	 N-(long-chain fatty acyl)ethanolamine
CHEBI:15901	 5,6-dihydrouracil
CHEBI:15903	 beta-D-glucose
CHEBI:15920	 columbamine
CHEBI:15927	 beta-nicotinamide D-riboside
CHEBI:15929	 methyl (-)-jasmonate
CHEBI:15930	 atrazine
CHEBI:15934	 5-amino-6-(D-ribitylamino)uracil
CHEBI:15938	 pregnan-21-ol
CHEBI:15942	 2-aminobenzenesulfonate
CHEBI:15945	 D-galactono-1,5-lactone
CHEBI:15947	 N-acetyl-beta-D-glucosaminylamine
CHEBI:15948	 all-trans-lycopene
CHEBI:15951	 phlorisovalerophenone
CHEBI:15963	 ribitol
CHEBI:15975	 1D-5-O-methyl-myo-inositol
CHEBI:15976	 3-indoleglycolaldehyde
CHEBI:15977	 cyclohex-2-enone
CHEBI:15980	 (R)-pantoate
CHEBI:15984	 4-nitrophenyl-3-ketovalidamine
CHEBI:15987	 trithionate
CHEBI:15992	 1-hydroxy-2-naphthoate
CHEBI:15994	 5alpha-androstan-3,17-dione
CHEBI:16004	 (R)-lactate
CHEBI:16007	 methanethiol
CHEBI:16008	 salicylaldehyde
CHEBI:16011	 2-ethylhexan-1-ol
CHEBI:16013	 5-(3,4-diacetoxybut-1-ynyl)-2,2'-bithiophene
CHEBI:16016	 dihydroxyacetone
CHEBI:16017	 benzyl thiocyanate
CHEBI:16019	 prenol
CHEBI:16020	 1-methyladenosine
CHEBI:16023	 D-erythrulose
CHEBI:16031	 indole-3-acetamide
CHEBI:16032	 3alpha-hydroxy-5alpha-androstan-17-one
CHEBI:16035	 2'-hydroxy-2,3-dihydrodaidzein
CHEBI:16036	 ethyl (S)-3-hydroxyhexanoate
CHEBI:16040	 cytosine
CHEBI:16042	 a halide anion
CHEBI:16050	 N-acetylisatin
CHEBI:16052	 propene
CHEBI:16053	 1,4-menthane-3,8-diol
CHEBI:16055	 L-rhamnose
CHEBI:16058	 2D-5-O-methyl-2,3,5/4,6-pentahydroxycyclohexanone
CHEBI:16060	 10-deoxysarpagine
CHEBI:16062	 an N-acyl-D-mannosamine
CHEBI:16065	 scopolin
CHEBI:16066	 11-cis-retinal
CHEBI:16069	 1H-imidazole
CHEBI:16070	 1,5-anhydro-D-glucitol
CHEBI:16072	 maleimide
CHEBI:16074	 5beta-cholestan-3-one
CHEBI:16076	 11alpha-hydroxyprogesterone
CHEBI:16079	 benzyl 2-methyl-3-oxobutanoate
CHEBI:16086	 mycothione
CHEBI:16089	 6-deoxyerythronolide B
CHEBI:16092	 isoquinoline
CHEBI:16095	 sepiapterin
CHEBI:16096	 palmatine
CHEBI:16101	 ethylbenzene
CHEBI:16109	 propane-1,3-diol
CHEBI:16111	 nonane-4,6-dione
CHEBI:16113	 cholesterol
CHEBI:16114	 medicarpin
CHEBI:16118	 berberine
CHEBI:16120	 5-oxopentanoate
CHEBI:16123	 6-oxocineole
CHEBI:16125	 hexadecan-1-ol
CHEBI:16130	 1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane
CHEBI:16133	 cyclopentanol
CHEBI:16144	 selenophosphate
CHEBI:16146	 maleamate
CHEBI:16148	 heptadecane
CHEBI:16150	 benzoate
CHEBI:16151	 3,4-dihydrocoumarin
CHEBI:16153	 N-acetyl-beta-lactosamine
CHEBI:16157	 D-arabinonate
CHEBI:16162	 orsellinate
CHEBI:16164	 1,2,3-trihydroxybenzene
CHEBI:16169	 homogentisate
CHEBI:16170	 Hg
CHEBI:16175	 cholest-4-en-3-one
CHEBI:16177	 vicianose
CHEBI:16182	 2-methylbutanal
CHEBI:16183	 methane
CHEBI:16188	 octan-1-ol
CHEBI:16189	 sulfate
CHEBI:16190	 cis-1,2-dihydrobenzene-1,2-diol
CHEBI:16193	 3-hydroxybenzoate
CHEBI:16199	 urea
CHEBI:16204	 1,3,5-trihydroxybenzene
CHEBI:16205	 biphenyl-2,3-diol
CHEBI:16207	 3-hydroxybenzaldehyde
CHEBI:16215	 phosphonate
CHEBI:16217	 D-glucono-1,5-lactone
CHEBI:16220	 4-O-(beta-D-glucosyl)-trans-coniferol
CHEBI:16222	 D-galacto-hexodialdose
CHEBI:16223	 dimethylarsinate
CHEBI:16226	 limonin
CHEBI:16227	 pyridine
CHEBI:16229	 3beta-hydroxy-5beta-pregnane-20-one
CHEBI:16230	 5-hydroxypentanoate
CHEBI:16233	 (S)-cheilanthifoline
CHEBI:16235	 guanine
CHEBI:16236	 ethanol
CHEBI:16237	 4-chlorophenylacetate
CHEBI:16239	 benzyl (2R,3S)-2-methyl-3-hydroxybutanoate
CHEBI:16240	 H2O2
CHEBI:16244	 4-(trimethylamino)butanoate
CHEBI:16252	 6-methoxymellein
CHEBI:16254	 11-cis-retinyl hexadecanoate
CHEBI:16267	 taxiphyllin
CHEBI:16268	 nitroethane
CHEBI:16269	 N,N-dimethylaniline
CHEBI:16271	 2-exo-hydroxy-1,8-cineole
CHEBI:16279	 1-O-(trans-cinnamoyl)-beta-D-glucose
CHEBI:16286	 3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
CHEBI:16290	 5alpha-cholesta-7,24-dien-3beta-ol
CHEBI:16291	 a 1-O-alkyl-2-acetyl-sn-glycerol
CHEBI:16292	 D-arabinono-1,4-lactone
CHEBI:16295	 alpha-D-glucosyl-(1->6)-alpha-D-glucosyl-(1->6)-alpha-D-glucosyl-(1->3)-1-alkyl-2-acylglycerol
CHEBI:16301	 nitrite
CHEBI:16302	 11-cis-retinol
CHEBI:16304	 cob(II)alamin
CHEBI:16307	 an anthocyanidin 3-O-beta-D-glucoside
CHEBI:16310	 sulcatone
CHEBI:16324	 rifamycin O
CHEBI:16330	 17beta-hydroxy-5alpha-androstan-3-one
CHEBI:16331	 phloretate
CHEBI:16335	 adenosine
CHEBI:16346	 (S)-1-phenylethanol
CHEBI:16347	 (R)-carnitine
CHEBI:16353	 O-sinapoylcholine
CHEBI:16354	 N-methylhydantoin
CHEBI:16355	 1-iodo-2-methoxybenzene
CHEBI:16358	 (R)-vicianin
CHEBI:16363	 alpha-santonin
CHEBI:16364	 2,5-dihydroxypyridine
CHEBI:16365	 quinolin-2-ol
CHEBI:16368	 6-hydroxymellein
CHEBI:16377	 sabinene hydrate
CHEBI:16382	 iodide
CHEBI:16383	 cis-aconitate
CHEBI:16392	 D-xylono-1,4-lactone
CHEBI:16395	 N-acetoxy-4-aminobiphenyl
CHEBI:16397	 formamide
CHEBI:16405	 a 6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranose
CHEBI:16408	 vomilenine
CHEBI:16413	 2-butyne-1,4-diol
CHEBI:16415	 protopine
CHEBI:16418	 (17R,20S)-17,20-dihydroxypregn-4-en-3-one
CHEBI:16422	 androst-4-ene-3,17-dione
CHEBI:16424	 2-phenylacetaldehyde
CHEBI:16425	 16-epivellosimine
CHEBI:16431	 limonene 1,2-epoxide
CHEBI:16434	 N-hydroxy-4-acetylaminobiphenyl
CHEBI:16441	 linamarin
CHEBI:16450	 2'-deoxyuridine
CHEBI:16452	 oxaloacetate
CHEBI:16455	 4,4-dimethyl-5alpha-cholest-7-en-3beta-ol
CHEBI:16456	 a N-(2-hydroxyacyl)sphing-4-enine
CHEBI:16457	 S,S-dimethyl-beta-propiothetin
CHEBI:16458	 triacetate lactone
CHEBI:16459	 pentanamide
CHEBI:16464	 salicyl alcohol
CHEBI:16468	 maleylacetate
CHEBI:16469	 17beta-estradiol
CHEBI:16470	 glyceollin I
CHEBI:16471	 dimethylsulfonioacetate
CHEBI:16472	 pentan-2-one
CHEBI:16480	 nitric oxide
CHEBI:16481	 N-(hydroxymethyl)urea
CHEBI:16482	 naphthalene
CHEBI:16485	 18-hydroxycorticosterone
CHEBI:16486	 cyclopentanone
CHEBI:16489	 2,4-dihydroxypteridine
CHEBI:16490	 S-adenosyl-4-methylsulfanyl-2-oxobutanoate
CHEBI:16495	 4alpha-methyl-5alpha-cholest-7-en-3-one
CHEBI:16496	 5beta-cholestane-3alpha,7alpha,12alpha-triol
CHEBI:16501	 L-arabinonate
CHEBI:16509	 1,4-benzoquinone
CHEBI:16510	 3-hydroxypropanoate
CHEBI:16512	 (S)-N-methylcanadine
CHEBI:16520	 R'C(R)SH
CHEBI:16521	 lanosterol
CHEBI:16522	 trans-zeatin
CHEBI:16524	 testosterone acetate
CHEBI:16526	 CO2
CHEBI:16531	 coelenterazine h
CHEBI:16535	 2,5-dioxopiperazine
CHEBI:16536	 orcinol
CHEBI:16537	 galactarate
CHEBI:16540	 2-hydroxypyridine
