id	name	abbreviation	formula	charge	isCofactor
cpd00198	D-Xylulose 5-phosphate	D-Xylulose 5-phosphate	C5H9O8P	-2	0
cpd00199	Succinate semialdehyde	Succinate semialdehyde	C4H5O3	-1	0
cpd00200	4-Methyl-2-oxopentanoate	4-Methyl-2-oxopentanoate	C6H9O3	-1	0
cpd00201	10-Formyltetrahydrofolate	10-Formyltetrahydrofolate	C20H21N7O7	-2	0
cpd00202	Dimethylallyl diphosphate	Dimethylallyl diphosphate	C5H10O7P2	-2	0
cpd00203	3-Phospho-D-glyceroyl phosphate	3-Phospho-D-glyceroyl phosphate	C3H4O10P2	-4	0
cpd00204	CO	CO	CHO	1	0
cpd00205	Potassium cation	Potassium cation	K	1	0
cpd00206	dCMP	dCMP	C9H12N3O7P	-2	0
cpd00207	Guanine	Guanine	C5H5N5O	0	0
cpd00208	Lactose	Lactose	C12H22O11	0	0
cpd00209	Nitrate	Nitrate	NO3	-1	0
cpd00210	Taurine	Taurine	C2H7NO3S	0	0
cpd00211	Butanoic acid	Butanoic acid	C4H7O2	-1	0
cpd00212	L-Sorbose	L-Sorbose	C6H12O6	0	0
cpd00213	Lipoamide	Lipoamide	C8H15NOS2	0	0
cpd00214	Hexadecanoic acid	Hexadecanoic acid	C16H31O2	-1	0
cpd00215	Pyridoxal	Pyridoxal	C8H9NO3	0	0
cpd00216	Chorismate	Chorismate	C10H8O6	-2	0
cpd00217	Isomaltose	Isomaltose	C12H22O11	0	0
cpd00218	Nicotinate	Nicotinate	C6H4NO2	-1	0
cpd00219	Prephenate	Prephenate	C10H8O6	-2	0
cpd00220	Riboflavin	Riboflavin	C17H19N4O6	-1	0
cpd00221	(R)-Lactate	(R)-Lactate	C3H5O3	-1	0
cpd00222	D-Gluconic acid	D-Gluconic acid	C6H11O7	-1	0
cpd00223	D-Glycerate	D-Glycerate	C3H5O4	-1	0
cpd00224	L-Arabinose	L-Arabinose	C5H10O5	0	0
cpd00225	Aromatic aldehyde	Aromatic aldehyde	C7H6O	0	0
cpd00226	Hypoxanthine	Hypoxanthine	C5H4N4O	0	0
cpd00227	L-Homoserine	L-Homoserine	C4H9NO3	0	0
cpd00228	Dithiothreitol	Dithiothreitol	C4H10O2S2	0	0
cpd00229	Glycolaldehyde	Glycolaldehyde	C2H4O2	0	0
cpd00231	Dihydrobiopterin	Dihydrobiopterin	C9H13N5O3	0	0
cpd00232	N-Acetylneuraminate	N-Acetylneuraminate	C11H18NO9	-1	0
cpd00233	Tetrahydrobiopterin	Tetrahydrobiopterin	C9H15N5O3	0	0
cpd00234	5-Dehydro-D-fructose	5-Dehydro-D-fructose	C6H10O6	0	0
cpd00235	D-Mannose 6-phosphate	D-Mannose 6-phosphate	C6H11O9P	-2	0
cpd00236	D-Erythrose 4-phosphate	D-Erythrose 4-phosphate	C4H7O7P	-2	0
cpd00237	Androstenedione	Androstenedione	C19H26O2	0	0
cpd00238	Sedoheptulose 7-phosphate	Sedoheptulose 7-phosphate	C7H13O10P	-2	0
cpd00239	Hydrogen sulfide	Hydrogen sulfide	HS	-1	0
cpd00240	EDTA	EDTA	C10H13N2O8	-3	0
cpd00241	dGTP	dGTP	C10H13N5O13P3	-3	0
cpd00242	HCO3-	HCO3-	CHO3	-1	0
cpd00243	Fibrin	Fibrin	noformula	10000000	0
cpd00244	Nickel	Nickel	Ni	0	0
cpd00245	Aniline	Aniline	C6H7N	0	0
cpd00246	Inosine	Inosine	C10H12N4O5	0	0
cpd00247	Orotate	Orotate	C5H3N2O4	-1	0
cpd00248	Quinate	Quinate	C7H11O6	-1	0
cpd00249	Uridine	Uridine	C9H12N2O6	0	0
cpd00250	Creatine	Creatine	C4H9N3O2	0	0
cpd00251	ADP-ribose	ADP-ribose	C15H21N5O14P2	-2	0
cpd00253	Glutamine	Glutamine	C5H10N2O3	0	0
cpd00254	Magnesium cation	Magnesium cation	Mg	2	0
cpd00255	Bradykinin	Bradykinin	C50H75N15O11	2	0
cpd00256	CDP-choline	CDP-choline	C14H25N4O11P2	-1	0
cpd00257	Canavanine	Canavanine	C5H13N4O3	1	0
cpd00258	D-Ribulose	D-Ribulose	C5H10O5	0	0
cpd00259	D-Xylulose	D-Xylulose	C5H10O5	0	0
cpd00260	Isocitrate	Isocitrate	C6H5O7	-3	0
cpd00261	L-Xylulose	L-Xylulose	C5H10O5	0	0
cpd00262	Oxalyl-CoA	Oxalyl-CoA	C23H31N7O19P3S	-5	0
cpd00263	Pyridoxine	Pyridoxine	C8H11NO3	0	0
cpd00264	Spermidine	Spermidine	C7H22N3	3	0
cpd00265	Amylopectin	Amylopectin	C30H52O26	0	0
cpd00266	L-Carnitine	L-Carnitine	C7H15NO3	0	0
cpd00267	Sphingosine	Sphingosine	C18H38NO2	1	0
cpd00268	Thiosulfate	Thiosulfate	HO3S2	-1	0
cpd00269	2-Oxoadipate	2-Oxoadipate	C6H6O5	-2	0
cpd00270	Caffeoyl-CoA	Caffeoyl-CoA	C30H38N7O19P3S	-4	0
cpd00271	Ferricyanide	Ferricyanide	C6N6.Fe	-3	0
cpd00272	GDP-L-fucose	GDP-L-fucose	C16H23N5O15P2	-2	0
cpd00273	Glycoprotein	Glycoprotein	noformula	10000000	0
cpd00274	L-Citrulline	L-Citrulline	C6H13N3O3	0	0
cpd00275	L-Kynurenine	L-Kynurenine	C10H12N2O3	0	0
cpd00276	D-Glucosamine	D-Glucosamine	C6H14NO5	1	0
cpd00277	Deoxyguanosine	Deoxyguanosine	C10H13N5O4	0	0
cpd00278	Indolepyruvate	Indolepyruvate	C11H8NO3	-1	0
cpd00279	Acetoacetyl-CoA	Acetoacetyl-CoA	C25H36N7O18P3S	-4	0
cpd00280	D-Galacturonate	D-Galacturonate	C6H9O7	-1	0
cpd00281	4-Aminobutanoate	4-Aminobutanoate	C4H9NO2	0	0
cpd00282	(S)-Dihydroorotate	(S)-Dihydroorotate	C5H5N2O4	-1	0
cpd00283	Geranyl diphosphate	Geranyl diphosphate	C10H18O7P2	-2	0
cpd00284	6-Phospho-D-gluconate	6-Phospho-D-gluconate	C6H10O10P	-3	0
cpd00285	Ethanolamine phosphate	Ethanolamine phosphate	C2H7NO4P	-1	0
cpd00286	all-trans-Undecaprenyl phosphate	all-trans-Undecaprenyl phosphate	C55H89O4P	-2	0
cpd00287	2-Methyl-3-oxopropanoate	2-Methyl-3-oxopropanoate	C4H5O3	-1	0
cpd00288	D-Glucosamine 6-phosphate	D-Glucosamine 6-phosphate	C6H13NO8P	-1	0
cpd00289	Geranylgeranyl diphosphate	Geranylgeranyl diphosphate	C20H34O7P2	-2	0
cpd00290	D-Fructose 1,6-bisphosphate	D-Fructose 1,6-bisphosphate	C6H10O12P2	-4	0
cpd00291	3,4-Dihydroxy-L-phenylalanine	3,4-Dihydroxy-L-phenylalanine	C9H11NO4	0	0
cpd00292	(S)-3-Hydroxy-3-methylglutaryl-CoA	(S)-3-Hydroxy-3-methylglutaryl-CoA	C27H39N7O20P3S	-5	0
cpd00293	N-Acetyl-D-glucosamine 6-phosphate	N-Acetyl-D-glucosamine 6-phosphate	C8H14NO9P	-2	0
cpd00294	dAMP	dAMP	C10H12N5O6P	-2	0
cpd00295	dGDP	dGDP	C10H13N5O10P2	-2	0
cpd00296	dGMP	dGMP	C10H12N5O7P	-2	0
cpd00297	dTDP	dTDP	C10H14N2O11P2	-2	0
cpd00298	dTMP	dTMP	C10H13N2O8P	-2	0
cpd00299	dUMP	dUMP	C9H11N2O8P	-2	0
cpd00300	Urate	Urate	C5H4N4O3	0	0
cpd00301	Sterol	Sterol	C17H28O	0	0
cpd00302	Zeatin	Zeatin	C10H13N5O	0	0
cpd00303	Elastin	Elastin	C27H48N6O6	0	0
cpd00304	Retinal	Retinal	C20H28O	0	0
cpd00305	Thiamine	Thiamine	C12H17N4OS	1	0
cpd00306	Xylitol	Xylitol	C5H12O5	0	0
cpd00307	Cytosine	Cytosine	C4H5N3O	0	0
cpd00308	Malonate	Malonate	C3H2O4	-2	0
cpd00309	Xanthine	Xanthine	C5H4N4O2	0	0
cpd00310	Carnosine	Carnosine	C9H14N4O3	0	0
cpd00311	Guanosine	Guanosine	C10H13N5O5	0	0
cpd00312	Histamine	Histamine	C5H10N3	1	0
cpd00313	Quercetin	Quercetin	C15H9O7	-1	0
cpd00314	Mannitol	Mannitol	C6H14O6	0	0
cpd00315	GDP-glucose	GDP-glucose	C16H23N5O16P2	-2	0
cpd00316	Pyrimidine	Pyrimidine	C4H4N2	0	0
cpd00317	Tobramycin	Tobramycin	C18H42N5O9	5	0
cpd00318	Tryptamine	Tryptamine	C10H13N2	1	0
cpd00319	(-)-Menthol	(-)-Menthol	C10H20O	0	0
cpd00320	D-Aspartate	D-Aspartate	C4H6NO4	-1	0
cpd00321	Feruloyl-CoA	Feruloyl-CoA	C31H40N7O19P3S	-4	0
cpd00322	L-Isoleucine	L-Isoleucine	C6H13NO2	0	0
cpd00323	L-Pipecolate	L-Pipecolate	C6H11NO2	0	0
cpd00324	Methanethiol	Methanethiol	CH4S	0	0
cpd00325	Progesterone	Progesterone	C21H30O2	0	0
cpd00326	Sinapoyl-CoA	Sinapoyl-CoA	C32H42N7O20P3S	-4	0
cpd00327	Stearoyl-CoA	Stearoyl-CoA	C39H66N7O17P3S	-4	0
cpd00328	Streptomycin	Streptomycin	C21H42N7O12	3	0
cpd00329	Cyclohexanone	Cyclohexanone	C6H10O	0	0
cpd00330	Dihydrofolate	Dihydrofolate	C19H19N7O6	-2	0
cpd00331	cis-Aconitate	cis-Aconitate	C6H3O6	-3	0
cpd00332	(R)-Mevalonate	(R)-Mevalonate	C6H11O4	-1	0
cpd00333	trans-Cinnamate	trans-Cinnamate	C9H7O2	-1	0
cpd00334	(S)-Lactaldehyde	(S)-Lactaldehyde	C3H6O2	0	0
cpd00335	Dehydroascorbate	Dehydroascorbate	C6H5O6	-1	0
cpd00336	Prostaglandin H2	Prostaglandin H2	C20H31O5	-1	0
cpd00337	5,6-Dihydrouracil	5,6-Dihydrouracil	C4H6N2O2	0	0
cpd00338	5-Aminolevulinate	5-Aminolevulinate	C5H9NO3	0	0
cpd00339	5-Aminopentanoate	5-Aminopentanoate	C5H11NO2	0	0
cpd00340	2,5-Dioxopentanoate	2,5-Dioxopentanoate	C5H5O4	-1	0
cpd00341	N-Carbamoylputrescine	N-Carbamoylputrescine	C5H14N3O	1	0
cpd00342	N-Acetylornithine	N-Acetylornithine	C7H14N2O3	0	0
cpd00343	N-Carbamoyl-L-aspartate	N-Carbamoyl-L-aspartate	C5H6N2O5	-2	0
cpd00344	N-Formimino-L-glutamate	N-Formimino-L-glutamate	C6H9N2O4	-1	0
cpd00345	5-Methyltetrahydrofolate	5-Methyltetrahydrofolate	C20H23N7O6	-2	0
cpd00346	L-Aspartate 4-semialdehyde	L-Aspartate 4-semialdehyde	C4H7NO3	0	0
cpd00347	5,10-Methenyltetrahydrofolate	5,10-Methenyltetrahydrofolate	C20H20N7O6	-1	0
cpd00348	alpha-D-Galactose 1-phosphate	alpha-D-Galactose 1-phosphate	C6H11O9P	-2	0
cpd00349	Sedoheptulose 1,7-bisphosphate	Sedoheptulose 1,7-bisphosphate	C7H12O13P2	-4	0
cpd00350	trans,trans-Farnesyl diphosphate	trans,trans-Farnesyl diphosphate	C15H26O7P2	-2	0
cpd00351	N6-(L-1,3-Dicarboxypropyl)-L-lysine	N6-(L-1,3-Dicarboxypropyl)-L-lysine	C11H19N2O6	-1	0
cpd00352	(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate	(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate	C6H8NO2	-1	0
cpd00353	(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate	(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate	C6H5O7	-3	0
cpd00354	NDP	NDP	C5H11O10P2R	10000000	0
cpd00355	Nicotinamide D-ribonucleotide	Nicotinamide D-ribonucleotide	C11H14N2O8P	-1	0
cpd00356	dCTP	dCTP	C9H13N3O13P3	-3	0
cpd00357	dTTP	dTTP	C10H14N2O14P3	-3	0
cpd00358	dUTP	dUTP	C9H12N2O14P3	-3	0
cpd00359	Indole	Indole	C8H7N	0	0
cpd00360	Purine	Purine	C5H4N4	0	0
cpd00361	Acetoin	Acetoin	C4H8O2	0	0
cpd00362	Estrone	Estrone	C18H22O2	0	0
cpd00363	Ethanol	Ethanol	C2H6O	0	0
cpd00364	p-Benzoquinone	p-Benzoquinone	C6H4O2	0	0
cpd00365	Retinol	Retinol	C20H30O	0	0
cpd00366	Ribitol	Ribitol	C5H12O5	0	0
cpd00367	Cytidine	Cytidine	C9H13N3O5	0	0
cpd00368	D-Lyxose	D-Lyxose	C5H10O5	0	0
cpd00369	Ecdysone	Ecdysone	C27H44O6	0	0
cpd00370	Lichenin	Lichenin	C6H9O5	-1	0
cpd00371	Propanal	Propanal	C3H6O	0	0
cpd00372	Pyrazole	Pyrazole	C3H4N2	0	0
cpd00373	Sinapate	Sinapate	C11H11O5	-1	0
cpd00374	Tyramine	Tyramine	C8H12NO	1	0
cpd00375	Arylamide	Arylamide	C7H6NOR	10000000	0
cpd00376	Bilirubin	Bilirubin	C33H34N4O6	-2	0
cpd00378	Formamide	Formamide	CH3NO	0	0
cpd00379	Glutarate	Glutarate	C5H6O4	-2	0
cpd00380	Itaconate	Itaconate	C5H4O4	-2	0
cpd00381	L-Cystine	L-Cystine	C6H12N2O4S2	0	0
cpd00382	Raffinose	Raffinose	C18H32O16	0	0
cpd00383	Shikimate	Shikimate	C7H9O5	-1	0
cpd00384	Sisomicin	Sisomicin	C19H42N5O7	5	0
cpd00385	Sulochrin	Sulochrin	C17H16O7	0	0
cpd00386	(R)-Malate	(R)-Malate	C4H4O5	-2	0
cpd00387	ADP-glucose	ADP-glucose	C16H23N5O15P2	-2	0
