id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	abstract_reaction	pathways	aliases	ec_numbers	compound_ids	status	is_obsolete	linked_reaction	notes	source
rxn58010			(1) cpd48469[0] <=> (1) cpd00001[0] + (1) cpd48425[0]	-1:cpd48469:0:"a (3R)-3-hydroxy-14-methylpentadecanoyl-[acp]";1:cpd00001:0:"H2O";1:cpd48425:0:"a (2E)-14-methylpentadec-2-enoyl-[acp]"	0	(1) cpd48469[0] <=> (1) cpd00001[0] + (1) cpd48425[0]	(1) a (3R)-3-hydroxy-14-methylpentadecanoyl-[acp][0] <=> (1) H2O[0] + (1) a (2E)-14-methylpentadec-2-enoyl-[acp][0]	?	null	MetaCyc: Biosynthesis (); Branched-Fatty-Acids-Biosynthesis (); Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-8175 (even iso-branched-chain fatty acid biosynthesis)	MetaCyc: RXN-21703	null	cpd00001;cpd48425;cpd48469	OK	0	null	EQP	Primary Database
rxn58011			(1) cpd00007[0] + (1) cpd04382[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (1) cpd03017[0] + (1) cpd11630[0]	-1:cpd00007:0:"O2";-1:cpd04382:0:"Tamoxifen";-1:cpd21035:0:"Reduced flavin";1:cpd00001:0:"H2O";1:cpd00067:0:"H+";1:cpd03017:0:"Hydroxytamoxifen";1:cpd11630:0:"Flavin"	0	(1) cpd00007[0] + (1) cpd04382[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (1) cpd00067[0] + (1) cpd03017[0] + (1) cpd11630[0]	(1) O2[0] + (1) Tamoxifen[0] + (1) Reduced flavin[0] <=> (1) H2O[0] + (1) H+[0] + (1) Hydroxytamoxifen[0] + (1) Flavin[0]	?	null	null	MetaCyc: RXN66-659	null	cpd00001;cpd00007;cpd00067;cpd03017;cpd04382;cpd11630;cpd21035	OK	0	null	HB|EQP	Primary Database
rxn58012			(1) cpd48432[0] <=> (1) cpd27355[0] + (1) cpd33112[0]	-1:cpd48432:0:"a [phycoerythrocyanin alpha-subunit]-Cys84-(15Z)-phycoviolobilin";1:cpd00067:0:"H+";1:cpd27355:0:"L-Cysteine-Desulfurases";1:cpd33112:0:"(2R,3E)-phycocyanobilin"	0	(1) cpd48432[0] <=> (1) cpd00067[0] + (1) cpd27355[0] + (1) cpd33112[0]	(1) a [phycoerythrocyanin alpha-subunit]-Cys84-(15Z)-phycoviolobilin[0] <=> (1) H+[0] + (1) L-Cysteine-Desulfurases[0] + (1) (2R,3E)-phycocyanobilin[0]	?	null	MetaCyc: Biosynthesis (); PWY-7578 (phycoviolobilin biosynthesis); Phycobilin-Biosynthesis (); Porphyrin-Compounds-Biosynthesis (Porphyrin Compound Biosynthesis); Tetrapyrrole-Biosynthesis (Tetrapyrrole Biosynthesis)	MetaCyc: RXN-15988	null	cpd00067;cpd27355;cpd33112;cpd48432	OK	0	null	HB|EQP	Primary Database
rxn58013			(1) cpd00006[0] + (1) cpd48476[0] <=> (1) cpd00005[0] + (1) cpd48548[0]	-1:cpd00006:0:"NADP";-1:cpd48476:0:"a (3R)-3-hydroxy-8-methylnonanoyl-[acp]";1:cpd00005:0:"NADPH";2:cpd00067:0:"H+";1:cpd48548:0:"an 8-methyl-3-oxononanoyl-[acp]"	0	(1) cpd00006[0] + (1) cpd48476[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd48548[0]	(1) NADP[0] + (1) a (3R)-3-hydroxy-8-methylnonanoyl-[acp][0] <=> (1) NADPH[0] + (2) H+[0] + (1) an 8-methyl-3-oxononanoyl-[acp][0]	?	null	MetaCyc: Biosynthesis (); Branched-Fatty-Acids-Biosynthesis (); Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-8175 (even iso-branched-chain fatty acid biosynthesis)	MetaCyc: RXN-21686	null	cpd00005;cpd00006;cpd00067;cpd48476;cpd48548	OK	0	null	EQP|HB	Primary Database
rxn58014			(1) cpd00007[0] + (2) cpd28300[1] <=> (2) cpd00001[0] + (2) cpd28301[1]	-1:cpd00007:0:"O2";-2:cpd28300:1:"Ubiquinols";2:cpd00001:0:"H2O";2:cpd28301:1:"Ubiquinones"	1	(1) cpd00007[0] + (2) cpd28300[1] <=> (2) cpd00001[0] + (2) cpd28301[1]	(1) O2[0] + (2) Ubiquinols[1] <=> (2) H2O[0] + (2) Ubiquinones[1]	?	null	MetaCyc: AEROBIC-RESPIRATION (Aerobic Respiration); Electron-Transfer (Electron Transfer); Energy-Metabolism (Generation of Precursor Metabolite and Energy); PWY-4302 (aerobic respiration III (alternative oxidase pathway)); Respiration ()	MetaCyc: RXN-6883	null	cpd00001;cpd00007;cpd28300;cpd28301	OK	0	null	EQP	Primary Database
rxn58015			(1) cpd00112[0] + (1) cpd47367[0] <=> (1) cpd00046[0] + (1) cpd47263[0]	-1:cpd00112:0:"CMP-N-acetylneuraminate";-1:cpd47367:0:"beta-D-Glc-(1->3)-alpha-D-GalNAc-PP-Und";1:cpd00046:0:"CMP";1:cpd00067:0:"H+";1:cpd47263:0:"alpha-Neu5Ac-(2->3)-beta-D-Glc-(1->3)-alpha-D-GalNAc-PP-Und"	0	(1) cpd00112[0] + (1) cpd47367[0] <=> (1) cpd00046[0] + (1) cpd00067[0] + (1) cpd47263[0]	(1) CMP-N-acetylneuraminate[0] + (1) beta-D-Glc-(1->3)-alpha-D-GalNAc-PP-Und[0] <=> (1) CMP[0] + (1) H+[0] + (1) alpha-Neu5Ac-(2->3)-beta-D-Glc-(1->3)-alpha-D-GalNAc-PP-Und[0]	?	null	null	MetaCyc: RXN-22077	null	cpd00046;cpd00067;cpd00112;cpd47263;cpd47367	OK	0	null	EQP	Primary Database
rxn58016			(1) cpd00006[0] + (1) cpd48730[0] <=> (1) cpd00005[0] + (1) cpd48728[0]	-1:cpd00006:0:"NADP";-1:cpd48730:0:"a dodecanoyl-[acp domain within a fatty acid synthase]";1:cpd00005:0:"NADPH";2:cpd00067:0:"H+";1:cpd48728:0:"a (2E)-dodec-2-enoyl-[acp domain within a fatty acid synthase]"	0	(1) cpd00006[0] + (1) cpd48730[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd48728[0]	(1) NADP[0] + (1) a dodecanoyl-[acp domain within a fatty acid synthase][0] <=> (1) NADPH[0] + (2) H+[0] + (1) a (2E)-dodec-2-enoyl-[acp domain within a fatty acid synthase][0]	?	null	MetaCyc: Biosynthesis (); Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-5994 (palmitate biosynthesis I (type I fatty acid synthase)); PWY-6113 (superpathway of mycolate biosynthesis); Palmitate-Biosynthesis (Palmitate Biosynthesis); Super-Pathways ()	MetaCyc: RXN66-633	null	cpd00005;cpd00006;cpd00067;cpd48728;cpd48730	OK	0	null	EQP|HB	Primary Database
rxn58017			(1) cpd00001[0] + (1) cpd23331[0] <=> (1) cpd00117[0] + (1) cpd23342[0]	-1:cpd00001:0:"H2O";-1:cpd00067:0:"H+";-1:cpd23331:0:"N-acetylmuramoyl-L-alanyl-D-isoglutaminyl-N-(beta-D-asparaginyl)-L-lysyl-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine";1:cpd00117:0:"D-Alanine";1:cpd23342:0:"N-acetylmuramoyl-L-alanyl-D-isoglutaminyl-N-(beta-D-asparaginyl)-L-lysyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine"	0	(1) cpd00001[0] + (1) cpd00067[0] + (1) cpd23331[0] <=> (1) cpd00117[0] + (1) cpd23342[0]	(1) H2O[0] + (1) H+[0] + (1) N-acetylmuramoyl-L-alanyl-D-isoglutaminyl-N-(beta-D-asparaginyl)-L-lysyl-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine[0] <=> (1) D-Alanine[0] + (1) N-acetylmuramoyl-L-alanyl-D-isoglutaminyl-N-(beta-D-asparaginyl)-L-lysyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine[0]	=	null	null	MetaCyc: RXN-22589	null	cpd00001;cpd00067;cpd00117;cpd23331;cpd23342	OK	0	null	EQP|HB	Primary Database
rxn58018			(1) cpd11492[0] + (1) cpd48421[0] <=> (1) cpd00011[0] + (1) cpd11493[0] + (1) cpd48429[0]	-1:cpd11492:0:"Malonyl-acyl-carrierprotein-";-1:cpd48421:0:"a 13-methyltetradecanoyl-[acp]";1:cpd00011:0:"CO2";1:cpd11493:0:"ACP";1:cpd48429:0:"a 15-methyl-3-oxohexadecanoyl-[acp]"	0	(1) cpd11492[0] + (1) cpd48421[0] <=> (1) cpd00011[0] + (1) cpd11493[0] + (1) cpd48429[0]	(1) Malonyl-acyl-carrierprotein-[0] + (1) a 13-methyltetradecanoyl-[acp][0] <=> (1) CO2[0] + (1) ACP[0] + (1) a 15-methyl-3-oxohexadecanoyl-[acp][0]	?	null	MetaCyc: Biosynthesis (); Branched-Fatty-Acids-Biosynthesis (); Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-8174 (odd iso-branched-chain fatty acid biosynthesis)	MetaCyc: RXN-21669	null	cpd00011;cpd11492;cpd11493;cpd48421;cpd48429	OK	0	null	HB|EQP	Primary Database
rxn58019			(1) cpd27355[0] + (1) cpd36380[0] <=> (1) cpd00018[0] + (1) cpd36307[0]	-1:cpd27355:0:"L-Cysteine-Desulfurases";-1:cpd36380:0:"SAMP-C-Terminal-adenylate";1:cpd00018:0:"AMP";1:cpd00067:0:"H+";1:cpd36307:0:"S-ubiquitinyl-UAP-E1-L-cysteine"	0	(1) cpd27355[0] + (1) cpd36380[0] <=> (1) cpd00018[0] + (1) cpd00067[0] + (1) cpd36307[0]	(1) L-Cysteine-Desulfurases[0] + (1) SAMP-C-Terminal-adenylate[0] <=> (1) AMP[0] + (1) H+[0] + (1) S-ubiquitinyl-UAP-E1-L-cysteine[0]	?	null	null	MetaCyc: RXN-23333	null	cpd00018;cpd00067;cpd27355;cpd36307;cpd36380	OK	0	null	HB|EQP	Primary Database
rxn58020			(1) cpd00006[0] + (1) cpd48634[0] <=> (1) cpd00005[0] + (1) cpd48685[0]	-1:cpd00006:0:"NADP";-1:cpd48634:0:"a butanoyl-[acp domain within a fatty acid synthase]";1:cpd00005:0:"NADPH";2:cpd00067:0:"H+";1:cpd48685:0:"a (2E)-but-2-enoyl-[acp domain within a fatty acid synthase]"	0	(1) cpd00006[0] + (1) cpd48634[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd48685[0]	(1) NADP[0] + (1) a butanoyl-[acp domain within a fatty acid synthase][0] <=> (1) NADPH[0] + (2) H+[0] + (1) a (2E)-but-2-enoyl-[acp domain within a fatty acid synthase][0]	?	null	MetaCyc: Biosynthesis (); Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-5994 (palmitate biosynthesis I (type I fatty acid synthase)); PWY-6113 (superpathway of mycolate biosynthesis); Palmitate-Biosynthesis (Palmitate Biosynthesis); Super-Pathways ()	MetaCyc: RXN66-617	null	cpd00005;cpd00006;cpd00067;cpd48634;cpd48685	OK	0	null	EQP|HB	Primary Database
rxn58021			(1) cpd00006[0] + (1) cpd48546[0] <=> (1) cpd00005[0] + (1) cpd48545[0]	-1:cpd00006:0:"NADP";-1:cpd48546:0:"a 7-methyloctanoyl-[acp]";1:cpd00005:0:"NADPH";2:cpd00067:0:"H+";1:cpd48545:0:"a (2E)-7-methyloct-2-enoyl-[acp]"	0	(1) cpd00006[0] + (1) cpd48546[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd48545[0]	(1) NADP[0] + (1) a 7-methyloctanoyl-[acp][0] <=> (1) NADPH[0] + (2) H+[0] + (1) a (2E)-7-methyloct-2-enoyl-[acp][0]	?	null	MetaCyc: Biosynthesis (); Branched-Fatty-Acids-Biosynthesis (); Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-8174 (odd iso-branched-chain fatty acid biosynthesis)	MetaCyc: RXN-21653	null	cpd00005;cpd00006;cpd00067;cpd48545;cpd48546	OK	0	null	EQP|HB	Primary Database
rxn58022			(1) cpd00003[0] + (1) cpd48427[0] <=> (1) cpd00004[0] + (1) cpd48424[0]	-1:cpd00003:0:"NAD";-1:cpd48427:0:"a (14S)-14-methylhexadecanoyl-[acp]";1:cpd00004:0:"NADH";2:cpd00067:0:"H+";1:cpd48424:0:"a (2E,14S)-14-methylhexadec-2-enoyl-[acp]"	0	(1) cpd00003[0] + (1) cpd48427[0] <=> (1) cpd00004[0] + (2) cpd00067[0] + (1) cpd48424[0]	(1) NAD[0] + (1) a (14S)-14-methylhexadecanoyl-[acp][0] <=> (1) NADH[0] + (2) H+[0] + (1) a (2E,14S)-14-methylhexadec-2-enoyl-[acp][0]	?	null	MetaCyc: Biosynthesis (); Branched-Fatty-Acids-Biosynthesis (); Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-8173 (anteiso-branched-chain fatty acid biosynthesis)	MetaCyc: RXN-21637	null	cpd00003;cpd00004;cpd00067;cpd48424;cpd48427	OK	0	null	EQP|HB	Primary Database
rxn58023			(1) cpd00001[0] + (1) cpd47366[0] <=> (1) cpd00009[0] + (1) cpd45640[0]	-1:cpd00001:0:"H2O";-1:cpd47366:0:"D-glycero-alpha-D-galacto-heptose 1,7-bisphosphate";1:cpd00009:0:"Phosphate";1:cpd45640:0:"D-glycero-alpha-D-galacto-heptose 1-phosphate"	0	(1) cpd00001[0] + (1) cpd47366[0] <=> (1) cpd00009[0] + (1) cpd45640[0]	(1) H2O[0] + (1) D-glycero-alpha-D-galacto-heptose 1,7-bisphosphate[0] <=> (1) Phosphate[0] + (1) D-glycero-alpha-D-galacto-heptose 1-phosphate[0]	?	null	MetaCyc: Antibiotic-Biosynthesis (Antibiotic Biosynthesis); Biosynthesis (); PWY-8367 (hygromycin B biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); Toxin-Biosynthesis ()	MetaCyc: RXN-23152	null	cpd00001;cpd00009;cpd45640;cpd47366	OK	0	null	EQC	Primary Database
rxn58024			(1) cpd00047[0] + (2) cpd48973[0] <=> (1) cpd00011[0] + (2) cpd48974[0]	-1:cpd00047:0:"Formate";-2:cpd48973:0:"an oxidized type I cytochrome c3";1:cpd00011:0:"CO2";1:cpd00067:0:"H+";2:cpd48974:0:"a reduced type I cytochrome c3"	0	(1) cpd00047[0] + (2) cpd48973[0] <=> (1) cpd00011[0] + (1) cpd00067[0] + (2) cpd48974[0]	(1) Formate[0] + (2) an oxidized type I cytochrome c3[0] <=> (1) CO2[0] + (1) H+[0] + (2) a reduced type I cytochrome c3[0]	?	null	MetaCyc: Energy-Metabolism (Generation of Precursor Metabolite and Energy); Fermentation (); Fermentation-to-Acids (Fermentation to Short-Chain Fatty Acids); Fermentation-to-propanoate (Fermentation to Propanoate); PWY-8377 (lactate fermentation to acetate, CO2 and hydrogen (Desulfovibrionales))	MetaCyc: RXN-23215	null	cpd00011;cpd00047;cpd00067;cpd48973;cpd48974	OK	0	null	EQP	Primary Database
rxn58025			(1) cpd00007[1] + (2) cpd16503[0] <=> (2) cpd00001[1] + (2) cpd07274[0]	-1:cpd00007:1:"O2";-4:cpd00067:1:"H+";-2:cpd16503:0:"Plastoquinol-9";2:cpd00001:1:"H2O";4:cpd00067:0:"H+";2:cpd07274:0:"Plastoquinone A"	1	(1) cpd00007[1] + (4) cpd00067[1] + (2) cpd16503[0] => (2) cpd00001[1] + (4) cpd00067[0] + (2) cpd07274[0]	(1) O2[1] + (4) H+[1] + (2) Plastoquinol-9[0] => (2) H2O[1] + (4) H+[0] + (2) Plastoquinone A[0]	>	null	MetaCyc: AEROBIC-RESPIRATION (Aerobic Respiration); Electron-Transfer (Electron Transfer); Energy-Metabolism (Generation of Precursor Metabolite and Energy); PWY1YI0-8 (succinate to plastoquinol oxidase); Respiration ()	MetaCyc: RXN1YI0-23	null	cpd00001;cpd00007;cpd00067;cpd07274;cpd16503	OK	0	null	EQC	Primary Database
rxn58026			(1) cpd00289[0] + (1) cpd48646[0] <=> (1) cpd00012[0]	-1:cpd00289:0:"Geranylgeranyl diphosphate";-1:cpd48646:0:"a protein that ends with a CaaL sequence";1:cpd00012:0:"PPi"	0	(1) cpd00289[0] + (1) cpd48646[0] <=> (1) cpd00012[0]	(1) Geranylgeranyl diphosphate[0] + (1) a protein that ends with a CaaL sequence[0] <=> (1) PPi[0]	?	null	null	MetaCyc: RXN-3701	null	cpd00012;cpd00289;cpd48646	MI:C:-35/H:-55/N:-5/O:-6/R:-4/S:-1	0	null	EQP	Primary Database
