id	name	abbreviation	direction	thermoReversibility	status	defaultProtons	equation
rxn00056	Fe(II):oxygen oxidoreductase	FEROpp	=	=	OK	0	(1) cpd00007[c] + (4) cpd00067[c] + (4) cpd10515[c] <=> (2) cpd00001[c] + (4) cpd10516[c]
rxn00057	Catechol:oxygen oxidoreductase (dimerizing)	Catechol:oxygen oxidoreductase (dimerizing)	=	>	OK	0	(3) cpd00007[c] + (4) cpd00077[c] <=> (6) cpd00001[c] + (2) cpd02409[c]
rxn00058	Ferrocytochrome-c:oxygen oxidoreductase	Ferrocytochrome-c:oxygen oxidoreductase	=	=	OK	0	(1) cpd00007[c] + (4) cpd00067[c] + (4) cpd00110[c] <=> (2) cpd00001[c] + (4) cpd00109[c]
rxn00059	Benzenediol:oxygen oxidoreductase	Benzenediol:oxygen oxidoreductase	=	>	CI:-4	0	(1) cpd00007[c] + (4) cpd00067[c] + (4) cpd01232[c] <=> (2) cpd00001[c] + (4) cpd00415[c]
rxn00060	Porphobilinogen ammonia-lyase (polymerizing)	HMBS	=	>	OK	0	(1) cpd00001[c] + (4) cpd00689[c] <=> (4) cpd00013[c] + (1) cpd00755[c]
rxn00061	ATP diphosphohydrolase	ATPH1	=	>	OK	0	(2) cpd00001[c] + (1) cpd00002[c] <=> (2) cpd00009[c] + (1) cpd00018[c] + (2) cpd00067[c]
rxn00062	ATP phosphohydrolase (protein-secreting)	ATPM	=	>	SP|OK	0	(1) cpd00001[c] + (1) cpd00002[c] <=> (1) cpd00008[c] + (1) cpd00009[c] + (1) cpd00067[c]
rxn00063	ATP pyrophosphohydrolase	NTPP6	=	>	OK	0	(1) cpd00001[c] + (1) cpd00002[c] <=> (1) cpd00012[c] + (1) cpd00018[c]
rxn00064	ATP aminohydrolase	ATPHs	=	>	OK	0	(1) cpd00001[c] + (1) cpd00002[c] + (1) cpd00067[c] <=> (1) cpd00013[c] + (1) cpd00068[c]
rxn00065	ATP pyrophosphate-lyase (cyclizing)	ADNCYC	=	>	OK	0	(1) cpd00002[c] <=> (1) cpd00012[c] + (1) cpd00446[c]
rxn00066	NADH:hydrogen-peroxide oxidoreductase	NADH:hydrogen-peroxide oxidoreductase	=	>	OK	0	(1) cpd00004[c] + (1) cpd00025[c] + (1) cpd00067[c] <=> (2) cpd00001[c] + (1) cpd00003[c]
rxn00067	CoA:NAD+ oxidoreductase	CoA:NAD+ oxidoreductase	=	<	OK	0	(1) cpd00003[c] + (2) cpd00010[c] <=> (1) cpd00004[c] + (1) cpd00067[c] + (1) cpd01378[c]
rxn00068	NADH:Fe2+ oxidoreductase	NADH:Fe2+ oxidoreductase	=	<	OK	0	(1) cpd00003[c] + (1) cpd00067[c] + (2) cpd10515[c] <=> (1) cpd00004[c] + (2) cpd10516[c]
rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)	GLUSx	=	=	OK	0	(1) cpd00003[c] + (2) cpd00023[c] <=> (1) cpd00004[c] + (1) cpd00024[c] + (1) cpd00053[c] + (1) cpd00067[c]
rxn00070	glutathione:NAD+ oxidoreductase	glutathione:NAD+ oxidoreductase	=	=	OK	0	(1) cpd00003[c] + (2) cpd00042[c] <=> (1) cpd00004[c] + (1) cpd00067[c] + (1) cpd00111[c]
rxn00071	NADH:monodehydroascorbate oxidoreductase	NADH:monodehydroascorbate oxidoreductase	=	=	OK	0	(1) cpd00003[c] + (2) cpd00059[c] <=> (1) cpd00004[c] + (3) cpd00067[c] + (2) cpd00766[c]
rxn00072	NADH:cob(III)alamine oxidoreductase	NADH:cob(III)alamine oxidoreductase	=	=	OK	0	(2) cpd00001[c] + (1) cpd00003[c] + (2) cpd00423[c] <=> (1) cpd00004[c] + (1) cpd00067[c] + (2) cpd00730[c]
rxn00073	rxn00073	rxn00073	=	=	MI:C-2/R2|CI:9|HI:5	0	(1) cpd00003[c] + (2) cpd00423[c] <=> (1) cpd00004[c] + (2) cpd03424[c]
rxn00074	NADH:cob(II)alamin oxidoreductase	NADH:cob(II)alamin oxidoreductase	=	=	OK	0	(1) cpd00003[c] + (1) cpd00067[c] + (2) cpd00635[c] <=> (1) cpd00004[c] + (2) cpd00423[c]
rxn00075	NAD+ glycohydrolase	NADNm	=	>	OK	0	(1) cpd00001[c] + (1) cpd00003[c] <=> (1) cpd00067[c] + (1) cpd00133[c] + (1) cpd00251[c]
rxn00076	NAD+ phosphohydrolase	NADDPp	=	>	OK	0	(1) cpd00001[c] + (1) cpd00003[c] <=> (1) cpd00018[c] + (1) cpd00355[c]
rxn00077	ATP:NAD+ 2'-phosphotransferase	NADK	=	=	OK	0	(1) cpd00002[c] + (1) cpd00003[c] <=> (1) cpd00006[c] + (1) cpd00008[c]
rxn00078	ATP:NADH 2'-phosphotransferase	ATP:NADH 2'-phosphotransferase	=	=	OK	0	(1) cpd00002[c] + (1) cpd00004[c] <=> (1) cpd00005[c] + (1) cpd00008[c]
rxn00079	NADPH:ferricytochrome oxidoreductase	NADPH:ferricytochrome oxidoreductase	=	=	OK	0	(1) cpd00005[c] + (2) cpd00685[c] <=> (1) cpd00006[c] + (1) cpd00067[c] + (2) cpd00686[c]
rxn00080	NADPH:aquacob(III)alamin oxidoreductase	NADPH:aquacob(III)alamin oxidoreductase	=	=	OK	0	(1) cpd00005[c] + (1) cpd00067[c] + (2) cpd00730[c] <=> (2) cpd00001[c] + (1) cpd00006[c] + (2) cpd00423[c]
rxn00081	rxn00081	rxn00081	=	=	MI:C2/R-2|CI:-9|HI:-5	0	(1) cpd00005[c] + (2) cpd03424[c] <=> (1) cpd00006[c] + (2) cpd00423[c]
rxn00082	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase	(nitric-oxide-forming)	=	=	CI:4	0	(1) cpd00005[c] + (1) cpd00007[c] + (2) cpd03527[c] <=> (1) cpd00006[c] + (3) cpd00067[c] + (2) cpd00274[c] + (2) cpd00418[c]
rxn00083	NADPH:NAD+ oxidoreductase (B-specific)	THD5	=	=	FO|OK	0	(1) cpd00003[c] + (1) cpd00005[c] <=> (1) cpd00004[c] + (1) cpd00006[c]
rxn00084	NADPH:hydrogen-peroxide oxidoreductase	NADPH:hydrogen-peroxide oxidoreductase	=	>	OK	0	(1) cpd00005[c] + (1) cpd00025[c] + (1) cpd00067[c] <=> (2) cpd00001[c] + (1) cpd00006[c]
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)	GLUSy	=	=	OK	0	(1) cpd00006[c] + (2) cpd00023[c] <=> (1) cpd00005[c] + (1) cpd00024[c] + (1) cpd00053[c] + (1) cpd00067[c]
rxn00086	glutathione:NADP+ oxidoreductase	GTHRD	=	=	OK	0	(1) cpd00006[c] + (2) cpd00042[c] <=> (1) cpd00005[c] + (1) cpd00067[c] + (1) cpd00111[c]
rxn00087	NADPH:CoA-glutathione oxidoreductase	NADPH:CoA-glutathione oxidoreductase	=	<	CI:-1	0	(1) cpd00006[c] + (2) cpd00084[c] <=> (1) cpd00005[c] + (1) cpd00381[c]
rxn00088	NADP phosphatase	NADPPPSm	=	>	OK	0	(1) cpd00001[c] + (1) cpd00006[c] <=> (1) cpd00003[c] + (1) cpd00009[c] + (1) cpd00067[c]
rxn00089	NADP+ glycohydrolase	NADP+ glycohydrolase	=	>	OK	0	(1) cpd00001[c] + (1) cpd00006[c] <=> (1) cpd00067[c] + (1) cpd00133[c] + (1) cpd02079[c]
rxn00090	Glutathione:oxygen oxidoreductase	Glutathione:oxygen oxidoreductase	=	>	OK	0	(1) cpd00007[c] + (2) cpd00042[c] <=> (1) cpd00025[c] + (1) cpd00111[c]
rxn00091	rxn00091	rxn00091	=	>	CI:-2	0	(1) cpd00001[c] + (1) cpd00007[c] + (1) cpd00067[c] + (2) cpd00074[c] <=> (1) cpd00081[c] + (1) cpd00239[c]
rxn00092	ATP pyrophosphohydrolase	NDP1	=	>	OK	0	(1) cpd00001[c] + (1) cpd00008[c] <=> (1) cpd00009[c] + (1) cpd00018[c] + (1) cpd00067[c]
rxn00093	ADP aminohydrolase	ADP aminohydrolase	=	>	OK	0	(1) cpd00001[c] + (1) cpd00008[c] + (1) cpd00067[c] <=> (1) cpd00013[c] + (1) cpd00090[c]
rxn00095	P1,P4-Bis(5'-nucleosyl)-tetraphosphate nucleotidebisphosphohydrolase	AP4AHr	=	>	OK	0	(1) cpd00001[c] + (1) cpd00924[c] <=> (2) cpd00008[c]
rxn00096	ADP:ATP adenylyltransferase	ATPATF1	=	=	OK	0	(1) cpd00002[c] + (1) cpd00008[c] <=> (1) cpd00009[c] + (1) cpd00067[c] + (1) cpd00924[c]
rxn00097	ATP:AMP phosphotransferase	ADK1	=	=	OK	0	(1) cpd00002[c] + (1) cpd00018[c] <=> (2) cpd00008[c]
rxn00098	Adenosine-tetraphosphate phosphohydrolase	Adenosine-tetraphosphate phosphohydrolase	=	>	OK	0	(1) cpd00001[c] + (1) cpd02198[c] <=> (1) cpd00002[c] + (1) cpd00009[c] + (1) cpd00067[c]
rxn00099	(6S)-beta-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-	dinucleotide hydro-lyase (ATP-hydrolysing)	=	>	OK	0	(1) cpd00002[c] + (1) cpd02951[c] <=> (1) cpd00004[c] + (1) cpd00008[c] + (1) cpd00009[c] + (1) cpd00067[c]
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	DPCOAK	=	>	OK	0	(1) cpd00002[c] + (1) cpd00655[c] <=> (1) cpd00008[c] + (1) cpd00010[c]
rxn00101	Urea amidohydrolase	UREA2	=	>	OK	0	(1) cpd00001[c] + (2) cpd00067[c] + (1) cpd00073[c] <=> (1) cpd00011[c] + (2) cpd00013[c]
rxn00102	Carbonic acid hydro-lyase	HCO3E	=	=	OK	0	(1) cpd00067[c] + (1) cpd00242[c] <=> (1) cpd00001[c] + (1) cpd00011[c]
rxn00103	Formate:NADP+ oxidoreductase	Formate:NADP+ oxidoreductase	=	>	OK	0	(1) cpd00006[c] + (1) cpd00047[c] <=> (1) cpd00005[c] + (1) cpd00011[c]
rxn00104	ATP:polyphosphate phosphotransferase	PPK2	=	=	OK	0	(1) cpd00002[c] + (1) cpd00012[c] <=> (1) cpd00008[c] + (1) cpd00067[c] + (1) cpd00421[c]
rxn00105	ATP:nicotinamide-nucleotide adenylyltransferase	NMNAT	=	=	OK	0	(1) cpd00002[c] + (1) cpd00355[c] <=> (1) cpd00003[c] + (1) cpd00012[c]
rxn00106	Triphosphate phosphohydrolase	PPA2	=	=	OK	0	(1) cpd00001[c] + (1) cpd00421[c] <=> (1) cpd00009[c] + (1) cpd00012[c]
rxn00107	rxn00107	rxn00107	=	=	OK	0	(1) cpd00002[c] + (1) cpd07923[c] <=> (1) cpd00008[c] + (1) cpd07924[c]
rxn00108	rxn00108	rxn00108	=	=	OK	0	(1) cpd00008[c] + (1) cpd07923[c] <=> (1) cpd00002[c] + (1) cpd02480[c]
rxn00109	Ammonia:(acceptor) oxidoreductase	Ammonia:(acceptor) oxidoreductase	=	<	OK	0	(1) cpd00001[c] + (1) cpd00003[c] + (1) cpd00013[c] <=> (1) cpd00004[c] + (2) cpd00067[c] + (1) cpd00165[c]
rxn00110	Nitrogenous compounds,NADH:oxygen oxidoreductase (3-hydroxylating,	deaminating)	=	>	MI:C1|CI:1|HI:-1	0	(1) cpd00004[c] + (1) cpd00007[c] + (1) cpd03612[c] <=> (1) cpd00003[c] + (1) cpd00013[c] + (1) cpd00049[c]
rxn00111	Nitrogenous compounds,NADPH:oxygen oxidoreductase (3-hydroxylating,	deaminating)	=	>	MI:C1|CI:1|HI:-1	0	(1) cpd00005[c] + (1) cpd00007[c] + (1) cpd03612[c] <=> (1) cpd00006[c] + (1) cpd00013[c] + (1) cpd00049[c]
rxn00112	rxn00112	rxn00112	=	>	CI:-2	0	(1) cpd00007[c] + (1) cpd00013[c] + (1) cpd00067[c] <=> (1) cpd00001[c] + (1) cpd00165[c]
rxn00113	Carbon-dioxide:ammonia ligase	Carbon-dioxide:ammonia ligase	=	>	OK	0	(1) cpd00001[c] + (2) cpd00002[c] + (1) cpd00011[c] + (1) cpd00013[c] <=> (2) cpd00008[c] + (1) cpd00009[c] + (2) cpd00067[c] + (1) cpd00146[c]
rxn00114	ATP:carbamate phosphotransferase	CBMK2	=	=	RC|OK	0	(1) cpd00002[c] + (1) cpd00011[c] + (1) cpd00013[c] <=> (1) cpd00008[c] + (1) cpd00067[c] + (1) cpd00146[c]
rxn00115	rxn00115	rxn00115	=	=	MI:O-2|CI:-1|HI:3	0	(1) cpd00011[c] + (1) cpd00013[c] <=> (1) cpd00150[c]
rxn00116	UDP diphosphohydrolase	NDP7	=	>	OK	0	(1) cpd00001[c] + (1) cpd00014[c] <=> (1) cpd00009[c] + (1) cpd00067[c] + (1) cpd00091[c]
rxn00117	ATP:nucleoside-diphosphate phosphatransferase	NDPK2	=	=	OK	0	(1) cpd00002[c] + (1) cpd00014[c] <=> (1) cpd00008[c] + (1) cpd00062[c]
rxn00118	Uridine triphosphate:AMP phosphotransferase	Uridine triphosphate:AMP phosphotransferase	=	=	OK	0	(1) cpd00018[c] + (1) cpd00062[c] <=> (1) cpd00008[c] + (1) cpd00014[c]
rxn00119	ATP:nucleoside-phosphate phosphotransferase	UMPK	=	=	OK	0	(1) cpd00002[c] + (1) cpd00091[c] <=> (1) cpd00008[c] + (1) cpd00014[c]
rxn00120	UTP diphosphohydrolase	NTP7	=	>	OK	0	(1) cpd00001[c] + (1) cpd00062[c] <=> (1) cpd00009[c] + (1) cpd00014[c] + (1) cpd00067[c]
rxn00121	FAD nucleotidohydrolase	FAD nucleotidohydrolase	=	=	OK	0	(1) cpd00001[c] + (1) cpd00015[c] <=> (1) cpd00018[c] + (1) cpd00050[c]
rxn00122	ATP:FMN adenylyltransferase	FMNAT	=	>	OK	0	(1) cpd00002[c] + (1) cpd00050[c] <=> (1) cpd00012[c] + (1) cpd00015[c]
rxn00123	pyridoxal-5'-phosphate phosphohydrolase	PYDXPP	=	>	OK	0	(1) cpd00001[c] + (1) cpd00016[c] <=> (1) cpd00009[c] + (1) cpd00067[c] + (1) cpd00215[c]
rxn00124	ATP:pyridoxal 5'-phosphotransferase	PYDXK	=	=	OK	0	(1) cpd00002[c] + (1) cpd00215[c] <=> (1) cpd00008[c] + (1) cpd00016[c]
rxn00125	S-Adenosyl-L-methionine hydrolase	S-Adenosyl-L-methionine hydrolase	=	>	OK	0	(1) cpd00001[c] + (1) cpd00017[c] <=> (1) cpd00067[c] + (1) cpd00147[c] + (1) cpd00227[c]
rxn00126	ATP:L-methione S-adenosyltransferase	METAT	=	>	OK	0	(1) cpd00001[c] + (1) cpd00002[c] + (1) cpd00060[c] <=> (1) cpd00009[c] + (1) cpd00012[c] + (1) cpd00017[c]
rxn00127	S-Adenosyl-L-methionine carboxy-lyase	ADMDCr	=	>	OK	0	(1) cpd00017[c] + (1) cpd00067[c] <=> (1) cpd00011[c] + (1) cpd00837[c]
rxn00128	S-Adenosyl-L-methionine methylthioadenosine-lyase	S-Adenosyl-L-methionine methylthioadenosine-lyase	=	>	OK	0	(1) cpd00017[c] <=> (1) cpd00067[c] + (1) cpd00147[c] + (1) cpd00909[c]
rxn00129	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	=	=	OK	0	(1) cpd00017[c] <=> (1) cpd00147[c] + (1) cpd01873[c]
rxn00130	AMP aminohydrolase	AMPDA	=	>	OK	0	(1) cpd00001[c] + (1) cpd00018[c] + (1) cpd00067[c] <=> (1) cpd00013[c] + (1) cpd00114[c]
rxn00131	AMP phosphoribohydrolase	AMPN	=	=	OK	0	(1) cpd00001[c] + (1) cpd00018[c] <=> (1) cpd00101[c] + (1) cpd00128[c]
rxn00132	Adenosine 5'-monophosphate phosphohydrolase	NTD7	=	>	OK	0	(1) cpd00001[c] + (1) cpd00018[c] <=> (1) cpd00009[c] + (1) cpd00067[c] + (1) cpd00182[c]
rxn00133	P1,P4-Bis(5'-adenosyl) tetraphosphate nucleotidohydrolase	P1,P4-Bis(5'-adenosyl) tetraphosphate nucleotidohydrolase	=	>	OK	0	(1) cpd00001[c] + (1) cpd00924[c] <=> (1) cpd00002[c] + (1) cpd00018[c]
rxn00134	ATP:adenosine 5'-phosphotransferase	ADNK1	=	=	OK	0	(1) cpd00002[c] + (1) cpd00182[c] <=> (1) cpd00008[c] + (1) cpd00018[c]
