id	primary_name	equation	definition	status	paired reactions
rxn00012	Sucrose:sucrose 1F-beta-D-fructosyltransferase	(2) cpd00076[0] <=> (1) cpd00027[0] + (1) cpd02298[0]	(2) Sucrose[c] <=> (1) 1F-beta-D-Fructosylsucrose[c] + (1) D-Glucose[c]	OK	
rxn00013	D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase	(2) cpd00089[0] <=> (1) cpd00027[0] + (1) cpd00499[0]	(2) Glucose-1-phosphate[c] <=> (1) D-Glucose[c] + (1) D-glucose-1,6-biphosphate[c]	OK	
rxn00014	Ferrocytochrome-c:hydrogen-peroxide oxidoreductase	(1) cpd00025[0] + (2) cpd00067[0] + (2) cpd00110[0] <=> (2) cpd00001[0] + (2) cpd00109[0]	(2) Cytochrome c2+[c] + (2) H+[c] + (1) H2O2[c] <=> (2) Cytochrome c3+[c] + (2) H2O[c]	OK	
rxn00015	Putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	(2) cpd00118[0] <=> (1) cpd00013[0] + (1) cpd03802[0]	(2) Putrescine[c] <=> (1) Homospermidine[c] + (1) NH3[c]	OK	
rxn00016	Hexosaminidase	(1) cpd00001[0] + (1) cpd01157[0] <=> (2) cpd00122[0]	(1) Chitobiose[c] + (1) H2O[c] <=> (2) N-Acetyl-D-glucosamine[c]	OK	
rxn00017	NADH:hyponitrite oxidoreductase	(2) cpd00003[0] + (2) cpd00165[0] <=> (2) cpd00004[0] + (2) cpd00067[0] + (1) cpd01252[0]	(2) Hydroxylamine[c] + (2) NAD[c] <=> (2) H+[c] + (1) Hyponitrite[c] + (2) NADH[c]	OK	
rxn00018	D-Ribulose 1,5-bisphosphate carboxy-lyase (dimerizing)	(1) cpd00001[0] + (1) cpd00011[0] + (1) cpd00871[0] <=> (2) cpd00067[0] + (2) cpd00169[0]	(1) CO2[c] + (1) D-Ribulose 1,5-bisphosphate[c] + (1) H2O[c] <=> (2) 3-Phosphoglycerate[c] + (2) H+[c]	OK	
rxn00019	2-Nitropropane:oxygen 2-oxidoreductase	(1) cpd00007[0] + (2) cpd01433[0] <=> (2) cpd00067[0] + (2) cpd00075[0] + (2) cpd00178[0]	(2) 2-Nitropropane[c] + (1) O2[c] <=> (2) Acetone[c] + (2) H+[c] + (2) Nitrite[c]	OK	
rxn00020	beta-D-Glucoside glucohydrolase	(1) cpd00001[0] + (1) cpd00158[0] <=> (2) cpd00190[0]	(1) CELB[c] + (1) H2O[c] <=> (2) beta-D-Glucose[c]	OK	
rxn00021	2-Hydroxy-1,2-diphenylethanone benzaldehyde-lyase	(1) cpd01008[0] <=> (2) cpd00225[0]	(1) Benzoin[c] <=> (2) Benzaldehyde[c]	OK	
rxn00022	alpha-D-Glucoside glucohydrolase	(1) cpd00001[0] + (1) cpd00179[0] <=> (2) cpd00027[0]	(1) H2O[c] + (1) Maltose[c] <=> (2) D-Glucose[c]	OK	
rxn00023	Thiosulfate:ferricytochrome-c oxidoreductase	(2) cpd00109[0] + (2) cpd00268[0] <=> (2) cpd00110[0] + (1) cpd01414[0]	(2) Cytochrome c3+[c] + (2) H2S2O3[c] <=> (2) Cytochrome c2+[c] + (1) Tetrathionate[c]	OK	
rxn00024	1,2-Benzenediol:oxygen oxidoreductase	(1) cpd00007[0] + (2) cpd00069[0] <=> (2) cpd00291[0]	(2) L-Tyrosine[c] + (1) O2[c] <=> (2) L-Dopa[c]	OK	
rxn00025	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	(1) cpd00007[0] + (1) cpd01420[0] <=> (2) cpd00304[0]	(1) O2[c] + (1) beta-Carotene[c] <=> (2) Retinal[c]	OK	
rxn00026	Thiamin:oxygen 5-oxidoreductase	(1) cpd00007[0] + (1) cpd00305[0] <=> (1) cpd00025[0] + (1) cpd03484[0]	(1) O2[c] + (1) Thiamin[c] <=> (1) H2O2[c] + (1) Thiamine aldehyde[c]	OK	
rxn00027	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase	(1) cpd01990[0] <=> (2) cpd00067[0] + (2) cpd05167[0]	(1) Cyclobutadipyrimidine[c] <=> (2) H+[c] + (2) Pyrimidine 5'-deoxynucleotide[c]	CI:4	
rxn00028	L-Ascorbate:oxygen oxidoreductase	(1) cpd00007[0] + (2) cpd00059[0] + (2) cpd00067[0] <=> (2) cpd00001[0] + (2) cpd00335[0]	(2) H+[c] + (2) L-Ascorbate[c] + (1) O2[c] <=> (2) Dehydroascorbate[c] + (2) H2O[c]	OK	
rxn00029	5-Aminolevulinate hydro-lyase(adding 5-aminolevulinate and	(2) cpd00338[0] <=> (2) cpd00001[0] + (1) cpd00067[0] + (1) cpd00689[0]	(2) 5-Aminolevulinate[c] <=> (1) H+[c] + (2) H2O[c] + (1) Porphobilinogen[c]	OK	
rxn00030	4-Hydroxy-3-hexanone propanal-lyase	(2) cpd00371[0] <=> (1) cpd01891[0]	(2) Propanal[c] <=> (1) Propioin[c]	OK	
rxn00031	Raffinose:raffinose alpha-D-galactosyltransferase	(2) cpd00382[0] <=> (1) cpd00076[0] + (1) cpd02464[0]	(2) Melitose[c] <=> (1) 1F-alpha-D-Galactosylraffinose[c] + (1) Sucrose[c]	OK	
rxn00032	Choline:oxygen 1-oxidoreductase	(1) cpd00007[0] + (2) cpd00098[0] <=> (2) cpd00001[0] + (2) cpd00447[0]	(2) Choline[c] + (1) O2[c] <=> (2) Betaine aldehyde[c] + (2) H2O[c]	OK	
rxn00033	4-Hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	(1) cpd00007[0] + (2) cpd00868[0] <=> (2) cpd00011[0] + (2) cpd00489[0]	(1) O2[c] + (2) p-hydroxyphenylpyruvate[c] <=> (2) 4-Hydroxyphenylacetate[c] + (2) CO2[c]	OK	
rxn00034	1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase	(1) cpd00007[0] + (1) cpd02768[0] <=> (2) cpd00561[0]	(1) 1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene[c] + (1) O2[c] <=> (2) Vanillin[c]	OK	
rxn00035	Columbamine:oxygen oxidoreductase (cyclizing)	(1) cpd00007[0] + (2) cpd01238[0] <=> (2) cpd00001[0] + (2) cpd00563[0]	(2) Columbamine[c] + (1) O2[c] <=> (2) Berberine[c] + (2) H2O[c]	OK	
rxn00036	1,2-Benzenediol:oxygen oxidoreductase	(1) cpd00007[0] + (2) cpd00291[0] <=> (2) cpd00001[0] + (2) cpd00612[0]	(2) L-Dopa[c] + (1) O2[c] <=> (2) Dopaquinone[c] + (2) H2O[c]	OK	
rxn00037	6-Hydroxynicotinate, hydrogen-donor:oxygen oxidoreductase	(1) cpd00007[0] + (2) cpd00067[0] + (2) cpd00752[0] <=> (2) cpd00011[0] + (2) cpd00778[0]	(2) 6-Hydroxynicotinate[c] + (2) H+[c] + (1) O2[c] <=> (2) 2,5-Dihydroxypyridine[c] + (2) CO2[c]	OK	
rxn00038	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	(1) cpd00001[0] + (1) cpd02767[0] <=> (1) cpd00067[0] + (2) cpd00797[0]	(1) (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate[c] + (1) H2O[c] <=> (2) (R)-3-Hydroxybutanoate[c] + (1) H+[c]	OK	
rxn00039	1-O-Galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose	(2) cpd00852[0] <=> (1) cpd00027[0] + (1) cpd02532[0]	(2) beta-Glucogallin[c] <=> (1) 1-O,6-O-Digalloyl-beta-D-glucose[c] + (1) D-Glucose[c]	OK	
rxn00040	Tannin acylhydrolase	(1) cpd00001[0] + (1) cpd01108[0] <=> (1) cpd00067[0] + (2) cpd01020[0]	(1) Digallate[c] + (1) H2O[c] <=> (2) Gallate[c] + (1) H+[c]	OK	
rxn00041	Orsellinate-depside hydrolase	(1) cpd00001[0] + (1) cpd01843[0] <=> (1) cpd00067[0] + (2) cpd01265[0]	(1) H2O[c] + (1) Lecanoric acid[c] <=> (1) H+[c] + (2) Orsellinate[c]	OK	
rxn00042	Nucleoside:oxygen 5'-oxidoreductase	(1) cpd00007[0] + (2) cpd00246[0] <=> (2) cpd00001[0] + (2) cpd01365[0]	(2) Inosine[c] + (1) O2[c] <=> (2) 5'-Oxoinosine[c] + (2) H2O[c]	OK	
rxn00043	1,2-Benzenediol:oxygen oxidoreductase	(1) cpd00007[0] + (2) cpd00077[0] <=> (2) cpd00001[0] + (2) cpd01569[0]	(2) Catechol[c] + (1) O2[c] <=> (2) 1,2-Benzoquinone[c] + (2) H2O[c]	OK	
rxn00044	N-(6-Aminohexanoyl)-6-aminohexanoate amidohydrolase	(1) cpd00001[0] + (1) cpd00921[0] <=> (2) cpd01588[0]	(1) H2O[c] + (1) N-(6-Aminohexanoyl)-6-aminohexanoate[c] <=> (2) Epsilcapramine[c]	OK	
rxn00045	Bilirubin-glucuronoside:bilirubin-glucuronoside	(2) cpd02141[0] <=> (1) cpd00376[0] + (1) cpd03428[0]	(2) Bilirubin-glucuronoside[c] <=> (1) Bilirubin[c] + (1) Bilirubin-bisglucuronoside[c]	OK	
rxn00046	1-O-(4-Hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-	(2) cpd00865[0] <=> (1) cpd00027[0] + (1) cpd02622[0]	(2) 1-O-Sinapoyl-beta-D-glucose[c] <=> (1) 1,2-Bis-O-sinapoyl-beta-D-glucoside[c] + (1) D-Glucose[c]	OK	
rxn00047	4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate lyase	(1) cpd02883[0] <=> (2) cpd02508[0]	(1) 4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate[c] <=> (2) 5-Dehydro-4-deoxy-D-glucuronate[c]	OK	
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)	(2) cpd02656[0] <=> (1) cpd00220[0] + (1) cpd02882[0]	(2) 6-7-Dimethyl-8--1-D-ribityllumazine[c] <=> (1) 4--1-D-Ribitylamino-5-aminouracil[c] + (1) Riboflavin[c]	OK	
rxn00050	rxn00050	(2) cpd03299[0] <=> (1) cpd00007[0] + (2) cpd02311[0]	(2) Hydantoin-propionate[c] <=> (2) 4-Imidazolone-5-propanoate[c] + (1) O2[c]	OK	
rxn00051	rxn00051	(1) cpd00007[0] + (2) cpd03431[0] <=> (2) cpd00001[0] + (2) cpd03434[0]	(2) D-Urobilinogen[c] + (1) O2[c] <=> (2) D-Urobilin[c] + (2) H2O[c]	OK	
rxn00052	Thiamin:oxygen 5-oxidoreductase	(1) cpd00001[0] + (1) cpd00007[0] + (1) cpd03484[0] <=> (1) cpd00025[0] + (1) cpd00067[0] + (1) cpd01852[0]	(1) H2O[c] + (1) O2[c] + (1) Thiamine aldehyde[c] <=> (1) H+[c] + (1) H2O2[c] + (1) Thiamin acetic acid[c]	OK	
rxn00053	Prostaglandin H2:oxygen oxidoreductase	(1) cpd00007[0] + (2) cpd00336[0] <=> (2) cpd03545[0]	(1) O2[c] + (2) Prostaglandin H2[c] <=> (2) PGG2[c]	OK	
rxn00054	2-Aminophenol:oxygen oxidoreductase	(3) cpd00007[0] + (4) cpd01360[0] <=> (6) cpd00001[0] + (2) cpd01462[0]	(3) O2[c] + (4) o-Aminophenol[c] <=> (6) H2O[c] + (2) Isophenoxazine[c]	OK	
rxn00055	S-adenosyl-L-methionine:S-adenosyl-L-methionine	(3) cpd00017[0] <=> (4) cpd00067[0] + (3) cpd00147[0] + (1) cpd03158[0]	(3) S-Adenosyl-L-methionine[c] <=> (3) 5-Methylthioadenosine[c] + (4) H+[c] + (1) Nicotianamine[c]	OK	
rxn00056	Fe(II):oxygen oxidoreductase	(1) cpd00007[0] + (4) cpd00067[0] + (4) cpd10515[0] <=> (2) cpd00001[0] + (4) cpd10516[0]	(4) Fe2+[c] + (4) H+[c] + (1) O2[c] <=> (2) H2O[c] + (4) fe3[c]	OK	
rxn00057	Catechol:oxygen oxidoreductase (dimerizing)	(3) cpd00007[0] + (4) cpd00077[0] <=> (6) cpd00001[0] + (2) cpd02409[0]	(4) Catechol[c] + (3) O2[c] <=> (2) Dibenzo[1,4]dioxin-2,3-dione[c] + (6) H2O[c]	OK	
rxn00058	Ferrocytochrome-c:oxygen oxidoreductase	(1) cpd00007[0] + (4) cpd00067[0] + (4) cpd00110[0] <=> (2) cpd00001[0] + (4) cpd00109[0]	(4) Cytochrome c2+[c] + (4) H+[c] + (1) O2[c] <=> (4) Cytochrome c3+[c] + (2) H2O[c]	OK	
rxn00059	Benzenediol:oxygen oxidoreductase	(1) cpd00007[0] + (4) cpd00067[0] + (4) cpd01232[0] <=> (2) cpd00001[0] + (4) cpd00415[0]	(4) Benzenediol[c] + (4) H+[c] + (1) O2[c] <=> (2) H2O[c] + (4) Quinol[c]	CI:-4	
rxn00060	Porphobilinogen ammonia-lyase (polymerizing)	(1) cpd00001[0] + (4) cpd00689[0] <=> (4) cpd00013[0] + (1) cpd00755[0]	(1) H2O[c] + (4) Porphobilinogen[c] <=> (1) Hydroxymethylbilane[c] + (4) NH3[c]	OK	
rxn00061	ATP diphosphohydrolase	(2) cpd00001[0] + (1) cpd00002[0] <=> (2) cpd00009[0] + (1) cpd00018[0] + (2) cpd00067[0]	(1) ATP[c] + (2) H2O[c] <=> (1) AMP[c] + (2) H+[c] + (2) Phosphate[c]	OK	
rxn00062	ATP phosphohydrolase (protein-secreting)	(1) cpd00001[0] + (1) cpd00002[0] <=> (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd00067[0]	(1) ATP[c] + (1) H2O[c] <=> (1) ADP[c] + (1) H+[c] + (1) Phosphate[c]	SP|OK	
rxn00063	ATP pyrophosphohydrolase	(1) cpd00001[0] + (1) cpd00002[0] <=> (1) cpd00012[0] + (1) cpd00018[0]	(1) ATP[c] + (1) H2O[c] <=> (1) AMP[c] + (1) PPi[c]	OK	
rxn00064	ATP aminohydrolase	(1) cpd00001[0] + (1) cpd00002[0] + (1) cpd00067[0] <=> (1) cpd00013[0] + (1) cpd00068[0]	(1) ATP[c] + (1) H+[c] + (1) H2O[c] <=> (1) ITP[c] + (1) NH3[c]	OK	
rxn00065	ATP pyrophosphate-lyase (cyclizing)	(1) cpd00002[0] <=> (1) cpd00012[0] + (1) cpd00446[0]	(1) ATP[c] <=> (1) PPi[c] + (1) cAMP[c]	OK	
rxn00066	NADH:hydrogen-peroxide oxidoreductase	(1) cpd00004[0] + (1) cpd00025[0] + (1) cpd00067[0] <=> (2) cpd00001[0] + (1) cpd00003[0]	(1) H+[c] + (1) H2O2[c] + (1) NADH[c] <=> (2) H2O[c] + (1) NAD[c]	OK	
rxn00067	CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (2) cpd00010[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd01378[0]	(2) CoA[c] + (1) NAD[c] <=> (1) CoA-disulfide[c] + (1) H+[c] + (1) NADH[c]	OK	
rxn00068	NADH:Fe2+ oxidoreductase	(1) cpd00003[0] + (1) cpd00067[0] + (2) cpd10515[0] <=> (1) cpd00004[0] + (2) cpd10516[0]	(2) Fe2+[c] + (1) H+[c] + (1) NAD[c] <=> (1) NADH[c] + (2) fe3[c]	OK	
rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)	(1) cpd00003[0] + (2) cpd00023[0] <=> (1) cpd00004[0] + (1) cpd00024[0] + (1) cpd00053[0] + (1) cpd00067[0]	(2) L-Glutamate[c] + (1) NAD[c] <=> (1) 2-Oxoglutarate[c] + (1) H+[c] + (1) L-Glutamine[c] + (1) NADH[c]	OK	
rxn00070	glutathione:NAD+ oxidoreductase	(1) cpd00003[0] + (2) cpd00042[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00111[0]	(2) GSH[c] + (1) NAD[c] <=> (1) H+[c] + (1) NADH[c] + (1) Oxidized glutathione[c]	OK	
rxn00071	NADH:monodehydroascorbate oxidoreductase	(1) cpd00003[0] + (2) cpd00059[0] <=> (1) cpd00004[0] + (3) cpd00067[0] + (2) cpd00766[0]	(2) L-Ascorbate[c] + (1) NAD[c] <=> (2) Ascorbate radical[c] + (3) H+[c] + (1) NADH[c]	OK	
rxn00072	NADH:cob(III)alamine oxidoreductase	(2) cpd00001[0] + (1) cpd00003[0] + (2) cpd00423[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (2) cpd00730[0]	(2) H2O[c] + (1) NAD[c] + (2) Vitamin B12r[c] <=> (2) Aquacobalamin[c] + (1) H+[c] + (1) NADH[c]	OK	
rxn00073	rxn00073	(1) cpd00003[0] + (2) cpd00423[0] <=> (1) cpd00004[0] + (2) cpd03424[0]	(1) NAD[c] + (2) Vitamin B12r[c] <=> (1) NADH[c] + (2) Vitamin B12[c]	MI:C-2/R2|CI:9|HI:5	
rxn00074	NADH:cob(II)alamin oxidoreductase	(1) cpd00003[0] + (1) cpd00067[0] + (2) cpd00635[0] <=> (1) cpd00004[0] + (2) cpd00423[0]	(2) Cbl[c] + (1) H+[c] + (1) NAD[c] <=> (1) NADH[c] + (2) Vitamin B12r[c]	OK	
rxn00075	NAD+ glycohydrolase	(1) cpd00001[0] + (1) cpd00003[0] <=> (1) cpd00067[0] + (1) cpd00133[0] + (1) cpd00251[0]	(1) H2O[c] + (1) NAD[c] <=> (1) ADPribose[c] + (1) H+[c] + (1) Nicotinamide[c]	OK	rxn14307
rxn00076	NAD+ phosphohydrolase	(1) cpd00001[0] + (1) cpd00003[0] <=> (1) cpd00018[0] + (1) cpd00355[0]	(1) H2O[c] + (1) NAD[c] <=> (1) AMP[c] + (1) Nicotinamide ribonucleotide[c]	OK	
rxn00077	ATP:NAD+ 2'-phosphotransferase	(1) cpd00002[0] + (1) cpd00003[0] <=> (1) cpd00006[0] + (1) cpd00008[0]	(1) ATP[c] + (1) NAD[c] <=> (1) ADP[c] + (1) NADP[c]	OK	
rxn00078	ATP:NADH 2'-phosphotransferase	(1) cpd00002[0] + (1) cpd00004[0] <=> (1) cpd00005[0] + (1) cpd00008[0]	(1) ATP[c] + (1) NADH[c] <=> (1) ADP[c] + (1) NADPH[c]	OK	
rxn00079	NADPH:ferricytochrome oxidoreductase	(1) cpd00005[0] + (2) cpd00685[0] <=> (1) cpd00006[0] + (1) cpd00067[0] + (2) cpd00686[0]	(2) Ferricytochrome[c] + (1) NADPH[c] <=> (2) Ferrocytochrome[c] + (1) H+[c] + (1) NADP[c]	OK	
rxn00080	NADPH:aquacob(III)alamin oxidoreductase	(1) cpd00005[0] + (1) cpd00067[0] + (2) cpd00730[0] <=> (2) cpd00001[0] + (1) cpd00006[0] + (2) cpd00423[0]	(2) Aquacobalamin[c] + (1) H+[c] + (1) NADPH[c] <=> (2) H2O[c] + (1) NADP[c] + (2) Vitamin B12r[c]	OK	
rxn00081	rxn00081	(1) cpd00005[0] + (2) cpd03424[0] <=> (1) cpd00006[0] + (2) cpd00423[0]	(1) NADPH[c] + (2) Vitamin B12[c] <=> (1) NADP[c] + (2) Vitamin B12r[c]	MI:C2/R-2|CI:-9|HI:-5	
rxn00082	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase	(1) cpd00005[0] + (1) cpd00007[0] + (2) cpd03527[0] <=> (1) cpd00006[0] + (3) cpd00067[0] + (2) cpd00274[0] + (2) cpd00418[0]	(2) N-(omega)-Hydroxyarginine[c] + (1) NADPH[c] + (1) O2[c] <=> (2) Citrulline[c] + (3) H+[c] + (1) NADP[c] + (2) NO[c]	CI:4	
rxn00083	NADPH:NAD+ oxidoreductase (B-specific)	(1) cpd00003[0] + (1) cpd00005[0] <=> (1) cpd00004[0] + (1) cpd00006[0]	(1) NAD[c] + (1) NADPH[c] <=> (1) NADH[c] + (1) NADP[c]	FO|OK	
rxn00084	NADPH:hydrogen-peroxide oxidoreductase	(1) cpd00005[0] + (1) cpd00025[0] + (1) cpd00067[0] <=> (2) cpd00001[0] + (1) cpd00006[0]	(1) H+[c] + (1) H2O2[c] + (1) NADPH[c] <=> (2) H2O[c] + (1) NADP[c]	OK	
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)	(1) cpd00006[0] + (2) cpd00023[0] <=> (1) cpd00005[0] + (1) cpd00024[0] + (1) cpd00053[0] + (1) cpd00067[0]	(2) L-Glutamate[c] + (1) NADP[c] <=> (1) 2-Oxoglutarate[c] + (1) H+[c] + (1) L-Glutamine[c] + (1) NADPH[c]	OK	
rxn00086	glutathione:NADP+ oxidoreductase	(1) cpd00006[0] + (2) cpd00042[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00111[0]	(2) GSH[c] + (1) NADP[c] <=> (1) H+[c] + (1) NADPH[c] + (1) Oxidized glutathione[c]	OK	
rxn00087	NADPH:CoA-glutathione oxidoreductase	(1) cpd00006[0] + (2) cpd00084[0] <=> (1) cpd00005[0] + (1) cpd00381[0]	(2) L-Cysteine[c] + (1) NADP[c] <=> (1) L-Cystine[c] + (1) NADPH[c]	CI:-1	
rxn00088	NADP phosphatase	(1) cpd00001[0] + (1) cpd00006[0] <=> (1) cpd00003[0] + (1) cpd00009[0] + (1) cpd00067[0]	(1) H2O[c] + (1) NADP[c] <=> (1) H+[c] + (1) NAD[c] + (1) Phosphate[c]	OK	
rxn00089	NADP+ glycohydrolase	(1) cpd00001[0] + (1) cpd00006[0] <=> (1) cpd00067[0] + (1) cpd00133[0] + (1) cpd02079[0]	(1) H2O[c] + (1) NADP[c] <=> (1) ADPribose 2'-phosphate[c] + (1) H+[c] + (1) Nicotinamide[c]	OK	
rxn00090	Glutathione:oxygen oxidoreductase	(1) cpd00007[0] + (2) cpd00042[0] <=> (1) cpd00025[0] + (1) cpd00111[0]	(2) GSH[c] + (1) O2[c] <=> (1) H2O2[c] + (1) Oxidized glutathione[c]	OK	
rxn00091	rxn00091	(1) cpd00001[0] + (1) cpd00007[0] + (1) cpd00067[0] + (2) cpd00074[0] <=> (1) cpd00081[0] + (1) cpd00239[0]	(1) H+[c] + (1) H2O[c] + (1) O2[c] + (2) S[c] <=> (1) H2S[c] + (1) Sulfite[c]	CI:-2	
rxn00092	ATP pyrophosphohydrolase	(1) cpd00001[0] + (1) cpd00008[0] <=> (1) cpd00009[0] + (1) cpd00018[0] + (1) cpd00067[0]	(1) ADP[c] + (1) H2O[c] <=> (1) AMP[c] + (1) H+[c] + (1) Phosphate[c]	OK	
rxn00093	ADP aminohydrolase	(1) cpd00001[0] + (1) cpd00008[0] + (1) cpd00067[0] <=> (1) cpd00013[0] + (1) cpd00090[0]	(1) ADP[c] + (1) H+[c] + (1) H2O[c] <=> (1) IDP[c] + (1) NH3[c]	OK	
rxn00095	P1,P4-Bis(5'-nucleosyl)-tetraphosphate nucleotidebisphosphohydrolase	(1) cpd00001[0] + (1) cpd00924[0] <=> (2) cpd00008[0]	(1) AppppA[c] + (1) H2O[c] <=> (2) ADP[c]	OK	
rxn00096	ADP:ATP adenylyltransferase	(1) cpd00002[0] + (1) cpd00008[0] <=> (1) cpd00009[0] + (1) cpd00067[0] + (1) cpd00924[0]	(1) ADP[c] + (1) ATP[c] <=> (1) AppppA[c] + (1) H+[c] + (1) Phosphate[c]	OK	
rxn00097	ATP:AMP phosphotransferase	(1) cpd00002[0] + (1) cpd00018[0] <=> (2) cpd00008[0]	(1) AMP[c] + (1) ATP[c] <=> (2) ADP[c]	OK	
rxn00098	Adenosine-tetraphosphate phosphohydrolase	(1) cpd00001[0] + (1) cpd02198[0] <=> (1) cpd00002[0] + (1) cpd00009[0] + (1) cpd00067[0]	(1) Adenosine tetraphosphate[c] + (1) H2O[c] <=> (1) ATP[c] + (1) H+[c] + (1) Phosphate[c]	OK	
rxn00099	(6S)-beta-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-	(1) cpd00002[0] + (1) cpd02951[0] <=> (1) cpd00004[0] + (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd00067[0]	(1) (6S)-6-beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide[c] + (1) ATP[c] <=> (1) ADP[c] + (1) H+[c] + (1) NADH[c] + (1) Phosphate[c]	OK	
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	(1) cpd00002[0] + (1) cpd00655[0] <=> (1) cpd00008[0] + (1) cpd00010[0]	(1) ATP[c] + (1) Dephospho-CoA[c] <=> (1) ADP[c] + (1) CoA[c]	OK	
rxn00101	Urea amidohydrolase	(1) cpd00001[0] + (2) cpd00067[0] + (1) cpd00073[0] <=> (1) cpd00011[0] + (2) cpd00013[0]	(2) H+[c] + (1) H2O[c] + (1) Urea[c] <=> (1) CO2[c] + (2) NH3[c]	OK	
