id	name	source	features	aliases
ftr00028	cell division cycle 37 homolog (S. cerevisiae)	ModelSEED	null	msfr.28
ftr00029	Tyrosine-protein kinase JAK2 (EC 2.7.10.2)	ModelSEED	null	msfr.29
ftr00030	cAMP-specific 3',5'-cyclic phosphodiesterase 4A (EC 3.1.4.17)	ModelSEED	null	msfr.30
ftr00031	P32 subunit of splicing factor SF2	ModelSEED	null	msfr.31
ftr00032	Complement component 1, Q subcomponent binding protein, mitochondrial precursor	ModelSEED	null	msfr.32
ftr00033	Nuclear pore complex protein Nup88	ModelSEED	null	msfr.33
ftr00034	RNA helicase, putative	ModelSEED	null	msfr.34
ftr00035	RAP interaction protein alpha	ModelSEED	null	msfr.35
ftr00036	D-allose kinase (EC 2.7.1.55)	ModelSEED	null	msfr.36
ftr00037	D-allose-6-phosphate isomerase (EC 5.3.1.-)	ModelSEED	null	msfr.37
ftr00038	D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-), row_id 1016	ModelSEED	null	msfr.38
ftr00039	D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-), row_id 846	ModelSEED	null	msfr.39
ftr00040	D-allose ABC transporter, substrate-binding component	ModelSEED	null	msfr.40;D-allose ABC transporter, substrate-binding protein
ftr00041	D-allose ABC transporter, ATPase component	ModelSEED	null	msfr.41;D-allose ABC transporter, ATP-binding protein
ftr00042	D-allose ABC transporter, permease component	ModelSEED	null	msfr.42;D-allose ABC transporter, permease protein
ftr00043	PTS system, D-allose-specific IIB component (EC 2.7.1.69)	ModelSEED	null	msfr.43
ftr00044	PTS system, D-allose-specific IIC component (EC 2.7.1.69)	ModelSEED	null	msfr.44
ftr00045	PTS system, D-allose-specific IIA component (EC 2.7.1.69)	ModelSEED	null	msfr.45
ftr00046	Transcriptional regulator of D-allose utilization, RpiR family	ModelSEED	null	msfr.46;Transcriptional regulator of D-allose utilization RpiR
ftr00047	Transcriptional regulator of D-allose utilization, LacI family	ModelSEED	null	msfr.47
ftr00048	Uncharacterized protein YqeC	ModelSEED	null	msfr.48
ftr00049	Uncharacterized protein YqeB	ModelSEED	null	msfr.49
ftr00050	SsnA protein	ModelSEED	null	msfr.50;Putative aminohydrolase SsnA
ftr00052	Putative diaminopropionate ammonia-lyase (EC 4.3.1.15)	ModelSEED	null	msfr.52
ftr00053	Pyridine nucleotide-disulphide oxidoreductase domain protein	ModelSEED	null	msfr.53
ftr00054	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	ModelSEED	null	msfr.54
ftr00055	Pyridine nucleotide-disulphide oxidoreductase family protein associated with PFOR	ModelSEED	null	msfr.55
ftr00056	Diaminopropionate ammonia-lyase (EC 4.3.1.15)	ModelSEED	null	msfr.56
ftr00057	N-acyl-L-homoserine lactone synthetase RhlL	ModelSEED	null	msfr.57;N-acyl-L-homoserine lactone synthetase RhlL (EC 2.3.1.184)
ftr00058	Transcriptional regulator RhlR	ModelSEED	null	msfr.58
ftr00059	RhlA, 3-(3-hydroxyalkanoyloxy)alkanoic acids (HAAs) synthase	ModelSEED	null	msfr.59
ftr00060	RhlB, TDP-rhamnosyltransferase 1 (EC 2.4.1.-)	ModelSEED	null	msfr.60
ftr00061	RhlC, TDP-rhamnosyltransferase 2 (EC 2.4.1.-)	ModelSEED	null	msfr.61
ftr00062	Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase RhlG (EC 1.1.1.100)	ModelSEED	null	msfr.62
ftr00063	(R)-3-hydroxydecanoyl-ACP:CoA transacylase PhaG (3-hydroxyacyl-CoA-acyl carrier protein transferase) (EC 2.4.1.-)	ModelSEED	null	msfr.63
ftr00064	dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)	ModelSEED	null	msfr.64
ftr00066	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	ModelSEED	null	msfr.66
ftr00067	Deoxyribodipyrimidine photolyase, type II (EC 4.1.99.3)	ModelSEED	null	msfr.67
ftr00068	Di-/tripeptide transporter	ModelSEED	null	msfr.68
ftr00069	FIG137478: Hypothetical protein	ModelSEED	null	msfr.69
ftr00070	Allophanate hydrolase subunit 2 (EC 3.5.1.54)	ModelSEED	null	msfr.70
ftr00071	Allophanate hydrolase subunit 1 (EC 3.5.1.54)	ModelSEED	null	msfr.71
ftr00072	Lactam utilization protein LAMB	ModelSEED	null	msfr.72
ftr00073	Endonuclease VIII	ModelSEED	null	msfr.73
ftr00074	Poly-gamma-glutamate synthase subunit PgsA/CapA (EC 6.3.2.-)	ModelSEED	null	msfr.74
ftr00075	Poly-gamma-glutamate synthase subunit PgsB/CapB (EC 6.3.2.-)	ModelSEED	null	msfr.75
ftr00076	Poly-gamma-glutamate synthase subunit PgsC/CapC (EC 6.3.2.-)	ModelSEED	null	msfr.76
ftr00077	Poly-gamma-glutamate synthase subunit PgsE/CapE (EC 6.3.2.-)	ModelSEED	null	msfr.77
ftr00078	Gamma-DL-glutamyl hydrolase PgsS (EC 3.4.19.-), catalyzes PGA release	ModelSEED	null	msfr.78
ftr00079	Gamma-glutamyltranspeptidase PgsD/CapD (EC 2.3.2.2), catalyses PGA anchorage to peptidoglycan	ModelSEED	null	msfr.79
ftr00080	Gamma-glutamyltranspeptidase (EC 2.3.2.2)	ModelSEED	null	msfr.80
ftr00081	Hypothetical protein in predicted poly-gamma-glutamate synthase operon	ModelSEED	null	msfr.81
ftr00082	Major facilitator superfamily (MFS) transporter in predicted poly-gamma-glutamate synthase operon	ModelSEED	null	msfr.82
ftr00083	Glutamate racemase (EC 5.1.1.3)	ModelSEED	null	msfr.83
ftr00084	transcriptional activator AtxA, (pXO1-119)	ModelSEED	null	msfr.84
ftr00085	Capsule synthesis positive regulator AcpA	ModelSEED	null	msfr.85
ftr00086	Capsule synthesis positive regulator AcpB	ModelSEED	null	msfr.86
ftr00087	Transition state regulatory protein AbrB	ModelSEED	null	msfr.87
ftr00088	Putative transition state regulator Abh	ModelSEED	null	msfr.88
ftr00089	Alanyl-tRNA synthetase (EC 6.1.1.7)	ModelSEED	null	msfr.89
ftr00090	COG1559 protein YceG like	ModelSEED	null	msfr.90
ftr00091	Putative Holliday junction resolvase YggF	ModelSEED	null	msfr.91;Putative Holliday junction resolvase YqgF
ftr00092	Shikimate 5-dehydrogenase (EC 1.1.1.25)	ModelSEED	null	msfr.92
ftr00093	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	ModelSEED	null	msfr.93
ftr00095	Quinate/shikimate 5-dehydrogenase I delta (EC 1.1.1.25)	ModelSEED	null	msfr.95
ftr00096	proteasome subunit alpha1 (EC 3.4.25.1)	ModelSEED	null	msfr.96
ftr00097	proteasome subunit alpha2 (EC 3.4.25.1)	ModelSEED	null	msfr.97
ftr00098	proteasome subunit alpha3 (EC 3.4.25.1)	ModelSEED	null	msfr.98
ftr00099	proteasome subunit alpha4 (EC 3.4.25.1)	ModelSEED	null	msfr.99
ftr00100	proteasome subunit alpha5 (EC 3.4.25.1)	ModelSEED	null	msfr.100
ftr00101	proteasome subunit alpha6 (EC 3.4.25.1)	ModelSEED	null	msfr.101
ftr00102	proteasome subunit alpha7 (EC 3.4.25.1)	ModelSEED	null	msfr.102
ftr00103	proteasome subunit beta1 (EC 3.4.25.1)	ModelSEED	null	msfr.103
ftr00104	proteasome subunit beta9 (EC 3.4.25.1)	ModelSEED	null	msfr.104
ftr00105	proteasome subunit beta11 (EC 3.4.25.1)	ModelSEED	null	msfr.105
ftr00106	proteasome subunit beta2 (EC 3.4.25.1)	ModelSEED	null	msfr.106
ftr00107	proteasome subunit beta10 (EC 3.4.25.1)	ModelSEED	null	msfr.107
ftr00108	proteasome subunit beta3 (EC 3.4.25.1)	ModelSEED	null	msfr.108
ftr00109	proteasome subunit beta4 (EC 3.4.25.1)	ModelSEED	null	msfr.109
ftr00110	proteasome subunit beta5 (EC 3.4.25.1)	ModelSEED	null	msfr.110
ftr00111	proteasome subunit beta5b (EC 3.4.25.1)	ModelSEED	null	msfr.111
ftr00112	proteasome subunit beta8 (EC 3.4.25.1)	ModelSEED	null	msfr.112
ftr00113	proteasome subunit beta6 (EC 3.4.25.1)	ModelSEED	null	msfr.113
ftr00114	proteasome subunit beta7 (EC 3.4.25.1)	ModelSEED	null	msfr.114
ftr00115	proteasome regulatory subunit Rpt1	ModelSEED	null	msfr.115
ftr00116	proteasome regulatory subunit Rpt2	ModelSEED	null	msfr.116
ftr00117	proteasome regulatory subunit Rpt3	ModelSEED	null	msfr.117
ftr00118	proteasome regulatory subunit Rpt4	ModelSEED	null	msfr.118
ftr00119	proteasome regulatory subunit Rpt5	ModelSEED	null	msfr.119
ftr00120	proteasome regulatory subunit Rpt6	ModelSEED	null	msfr.120
ftr00121	proteasome regulatory subunit Rpn1	ModelSEED	null	msfr.121
ftr00122	proteasome regulatory subunit Rpn2	ModelSEED	null	msfr.122
ftr00123	proteasome regulatory subunit Rpn3	ModelSEED	null	msfr.123
ftr00124	proteasome regulatory subunit Rpn4	ModelSEED	null	msfr.124
ftr00125	proteasome regulatory subunit Rpn5	ModelSEED	null	msfr.125
ftr00126	proteasome regulatory subunit Rpn6	ModelSEED	null	msfr.126
ftr00127	proteasome regulatory subunit Rpn7	ModelSEED	null	msfr.127
ftr00128	proteasome regulatory subunit Rpn8	ModelSEED	null	msfr.128
ftr00129	proteasome regulatory subunit Rpn9	ModelSEED	null	msfr.129
ftr00130	proteasome regulatory subunit Rpn10	ModelSEED	null	msfr.130
ftr00131	proteasome regulatory subunit Rpn11	ModelSEED	null	msfr.131
ftr00132	proteasome regulatory subunit Rpn12	ModelSEED	null	msfr.132
ftr00133	proteasome regulatory subunit Rpn13	ModelSEED	null	msfr.133
ftr00134	proteasome regulatory subunit S5b	ModelSEED	null	msfr.134
ftr00135	proteasome regulatory subunit p28	ModelSEED	null	msfr.135
ftr00136	proteasome regulatory subunit p29	ModelSEED	null	msfr.136
ftr00137	GatB protein	ModelSEED	null	msfr.137
ftr00138	DNA primase (EC 2.7.7.-)	ModelSEED	null	msfr.138;DNA primase DnaG
ftr00139	RNA polymerase sigma factor RpoD	ModelSEED	null	msfr.139
ftr00140	SSU ribosomal protein S21p	ModelSEED	null	msfr.140
ftr00141	FIG134348: essential endopeptidase	ModelSEED	null	msfr.141
ftr00142	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	ModelSEED	null	msfr.142
ftr00143	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	ModelSEED	null	msfr.143
ftr00144	Acyl dehydratase	ModelSEED	null	msfr.144
ftr00145	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	ModelSEED	null	msfr.145;Oxidoreductase, short-chain dehydrogenase/reductase family
ftr00146	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	ModelSEED	null	msfr.146
ftr00147	hypothetical protein that often co-occurs with aconitase	ModelSEED	null	msfr.147
ftr00148	Aconitate hydratase (EC 4.2.1.3)	ModelSEED	null	msfr.148
ftr00149	Aconitate hydratase 2 (EC 4.2.1.3)	ModelSEED	null	msfr.149
ftr00150	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	ModelSEED	null	msfr.150
ftr00151	Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	ModelSEED	null	msfr.151
ftr00152	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	ModelSEED	null	msfr.152
ftr00153	Citrate synthase (si) (EC 2.3.3.1)	ModelSEED	null	msfr.153
ftr00154	ATP-citrate (pro-S-) -lyase (EC 2.3.3.8)	ModelSEED	null	msfr.154
ftr00155	Citrate lyase, subunit 1 (EC 2.3.3.8)	ModelSEED	null	msfr.155
ftr00156	Citrate lyase, subunit 2 (EC 2.3.3.8)	ModelSEED	null	msfr.156
ftr00158	Xylitol dehydrogenase (EC 1.1.1.9)	ModelSEED	null	msfr.158
ftr00159	D-arabinitol 4-dehydrogenase (EC 1.1.1.11)	ModelSEED	null	msfr.159
ftr00160	Ribitol 2-dehydrogenase (EC 1.1.1.56)	ModelSEED	null	msfr.160
ftr00161	Multiple polyol-specific dehydrogenase (EC 1.1.1.-)	ModelSEED	null	msfr.161
ftr00163	Ribitol/Xylitol/Arabitol transporter, MFS superfamily	ModelSEED	null	msfr.163
ftr00164	Various polyols ABC transporter, periplasmic substrate-binding protein	ModelSEED	null	msfr.164;Various polyols ABC transporter, substrate-binding protein
ftr00165	Various polyols ABC transporter, permease component 1	ModelSEED	null	msfr.165;Various polyols ABC transporter, permease protein 1
ftr00166	Various polyols ABC transporter, permease component 2	ModelSEED	null	msfr.166;Various polyols ABC transporter, permease protein 2
ftr00167	Various polyols ABC transporter, ATP-binding component	ModelSEED	null	msfr.167;Various polyols ABC transporter, ATP-binding protein
ftr00168	Xylulose kinase (EC 2.7.1.17)	ModelSEED	null	msfr.168
ftr00169	Fructokinase (EC 2.7.1.4)	ModelSEED	null	msfr.169
ftr00170	D-ribulokinase (EC 2.7.1.47)	ModelSEED	null	msfr.170
ftr00171	Sorbitol dehydrogenase (EC 1.1.1.14)	ModelSEED	null	msfr.171
ftr00172	Glucitol/sorbitol-specific transport protein gutA	ModelSEED	null	msfr.172
ftr00173	Sorbitol operon transcription regulator	ModelSEED	null	msfr.173
ftr00174	Transcriptional regulator of various polyols utilization, AraC family	ModelSEED	null	msfr.174
ftr00175	6-phosphofructokinase (EC 2.7.1.11), PF08013 family	ModelSEED	null	msfr.175
ftr00176	Transcriptional regulator of xylitol utilization, LacI family	ModelSEED	null	msfr.176
ftr00177	Xylitol ABC transporter, periplasmic substrate-binding protein	ModelSEED	null	msfr.177
ftr00178	Xylitol ABC transporter, permease component	ModelSEED	null	msfr.178
ftr00179	Xylitol ABC transporter, ATP-binding component	ModelSEED	null	msfr.179
ftr00180	Predicted mannitol permease	ModelSEED	null	msfr.180
ftr00181	Transcriptional regulator of mannitol utilization, DeoR family protein	ModelSEED	null	msfr.181
ftr00182	Hydrolase in polyol utilization gene cluster, haloacid dehalogenase-like family	ModelSEED	null	msfr.182
ftr00183	Beta-lactamase repressor BlaI	ModelSEED	null	msfr.183
ftr00184	Beta-lactamase regulatory sensor-transducer BlaR1	ModelSEED	null	msfr.184
ftr00185	Beta-lactamase (EC 3.5.2.6)	ModelSEED	null	msfr.185
ftr00186	Beta-lactamase class A	ModelSEED	null	msfr.186
ftr00187	Methicillin resistance repressor MecI	ModelSEED	null	msfr.187
ftr00188	Methicillin resistance regulatory sensor-transducer MecR1	ModelSEED	null	msfr.188
ftr00189	Penicillin-binding protein PBP2a, methicillin resistance determinant MecA, transpeptidase	ModelSEED	null	msfr.189
ftr00196	Integrase, phage associated	ModelSEED	null	msfr.196
ftr00197	Salicylate hydroxylase (EC 1.14.13.1)	ModelSEED	null	msfr.197;Uncharacterized oxidoreductase
ftr00198	regulator protein,SalR	ModelSEED	null	msfr.198
ftr00199	salicylate esterase	ModelSEED	null	msfr.199
ftr00200	putative facilitator of salicylate uptake	ModelSEED	null	msfr.200
ftr00201	AreA (Esterase for aryl ester catabolic pathway) (EC 3.1.1.-)	ModelSEED	null	msfr.201
ftr00202	AreB (Aryl-alcohol dehydrogenase) (EC 1.1.1.90)	ModelSEED	null	msfr.202
ftr00204	regulator protein,AreR	ModelSEED	null	msfr.204
ftr00205	Gentisate 1,2-dioxygenase (EC 1.13.11.4)	ModelSEED	null	msfr.205
ftr00206	Maleylacetoacetate isomerase (EC 5.2.1.2)	ModelSEED	null	msfr.206
ftr00207	Fumarylacetoacetase (EC 3.7.1.2)	ModelSEED	null	msfr.207;Fumarylacetoacetate hydrolase family protein
ftr00208	Putative n-hydroxybenzoate hydroxylase	ModelSEED	null	msfr.208
ftr00209	4-hydroxybenzoate transporter	ModelSEED	null	msfr.209
ftr00210	Fumarylacetoacetate hydrolase family protein	ModelSEED	null	msfr.210
ftr00211	Maleate cis-trans isomerase (EC 5.2.1.1)	ModelSEED	null	msfr.211
ftr00212	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	ModelSEED	null	msfr.212
ftr00213	putative 4-hydroxybenzoyl-CoA thioesterase	ModelSEED	null	msfr.213
ftr00214	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	ModelSEED	null	msfr.214
ftr00215	Fumarylacetoacetate (FAA) hydrolase (EC 4.1.1.68)	ModelSEED	null	msfr.215
ftr00216	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)	ModelSEED	null	msfr.216
ftr00217	2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	ModelSEED	null	msfr.217
ftr00218	2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	ModelSEED	null	msfr.218;2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)
ftr00219	Pectin degradation protein KdgF	ModelSEED	null	msfr.219
ftr00220	Exopolygalacturonate lyase (EC 4.2.2.9)	ModelSEED	null	msfr.220
ftr00221	Pectate lyase precursor (EC 4.2.2.2)	ModelSEED	null	msfr.221
ftr00222	Glyoxylate carboligase (EC 4.1.1.47)	ModelSEED	null	msfr.222
ftr00223	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	ModelSEED	null	msfr.223
ftr00224	Hydroxypyruvate isomerase (EC 5.3.1.22)	ModelSEED	null	msfr.224
ftr00225	Serine--glyoxylate aminotransferase (EC 2.6.1.45)	ModelSEED	null	msfr.225
ftr00226	Hydroxypyruvate reductase (EC 1.1.1.81)	ModelSEED	null	msfr.226
ftr00227	Tartrate decarboxylase (EC 4.1.1.73)	ModelSEED	null	msfr.227
ftr00228	D-glycerate 2-kinase (EC 2.7.1.-)	ModelSEED	null	msfr.228;D-glycerate 2-kinase (EC 2.7.1.165)
ftr00229	Pyruvate kinase (EC 2.7.1.40)	ModelSEED	null	msfr.229
ftr00230	Glycerate kinase (EC 2.7.1.31)	ModelSEED	null	msfr.230
ftr00231	D-glycerate 3-kinase (EC 2.7.1.31), plant type	ModelSEED	null	msfr.231
ftr00232	2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20)	ModelSEED	null	msfr.232
ftr00233	D-glycerate transporter (predicted)	ModelSEED	null	msfr.233
ftr00234	Surface presentation of antigens protein SpaO	ModelSEED	null	msfr.234
ftr00235	Surface presentation of antigens protein SpaN (Invasion protein InvJ)	ModelSEED	null	msfr.235
ftr00236	cell invasion protein SipB	ModelSEED	null	msfr.236;Cell invasion protein SipB
ftr00237	Invasion protein InvA	ModelSEED	null	msfr.237
ftr00238	Surface presentation of antigens protein SpaQ	ModelSEED	null	msfr.238
ftr00239	Cell invasion protein sipC (Effector protein SipC)	ModelSEED	null	msfr.239
ftr00240	Surface presentation of antigens protein SpaK (Invasion protein InvB)	ModelSEED	null	msfr.240
ftr00241	Surface presentation of antigens protein SpaS	ModelSEED	null	msfr.241
ftr00242	Probable ATP synthase SpaL (EC 3.6.3.14) (Invasion protein InvC)	ModelSEED	null	msfr.242
ftr00243	Chaperone protein SicA (Salmonella invasin chaperone)	ModelSEED	null	msfr.243
ftr00244	Invasion protein InvE	ModelSEED	null	msfr.244
ftr00245	Cell invasion protein SipD (Salmonella invasion protein D)	ModelSEED	null	msfr.245
ftr00246	Surface presentation of antigens protein SpaP	ModelSEED	null	msfr.246
ftr00247	Surface presentation of antigens protein SpaR	ModelSEED	null	msfr.247
ftr00248	Protein InvG precursor	ModelSEED	null	msfr.248
ftr00249	Surface presentation of antigens protein SpaM	ModelSEED	null	msfr.249
ftr00250	Streptococcal pyrogenic exotoxin A (SpeA)	ModelSEED	null	msfr.250
ftr00251	Streptococcal pyrogenic exotoxin C (SpeC)	ModelSEED	null	msfr.251
ftr00252	Streptococcal pyrogenic exotoxin H (SpeH)	ModelSEED	null	msfr.252
ftr00253	Streptococcal pyrogenic exotoxin I (SpeI)	ModelSEED	null	msfr.253
ftr00254	Streptococcal pyrogenic exotoxin K (SpeK)	ModelSEED	null	msfr.254
ftr00255	Streptococcal pyrogenic exotoxin L (SpeL)	ModelSEED	null	msfr.255
ftr00257	Streptococcal superantigen A (SSA)	ModelSEED	null	msfr.257
ftr00260	Staphylococcal enterotoxin C3	ModelSEED	null	msfr.260
ftr00262	Streptodornase D	ModelSEED	null	msfr.262
ftr00263	Mitogenic factor 2	ModelSEED	null	msfr.263
ftr00264	Mitogenic factor 3	ModelSEED	null	msfr.264
ftr00265	Mitogenic factor 4	ModelSEED	null	msfr.265
ftr00267	Methanol dehydrogenase large subunit protein (EC 1.1.99.8)	ModelSEED	null	msfr.267;Methanol dehydrogenase large subunit protein (EC 1.1.2.7)
ftr00268	Cytochrome c-L precursor (Cytochrome c551I) (Cytochrome c552)	ModelSEED	null	msfr.268
ftr00269	MxaJ, protein involved in methanol oxidation	ModelSEED	null	msfr.269
ftr00270	MxaS, protein involved in methanol oxidation	ModelSEED	null	msfr.270
ftr00271	Methanol dehydrogenase, small subunit (EC 1.1.99.8)	ModelSEED	null	msfr.271;Methanol dehydrogenase, small subunit (EC 1.1.2.7)
ftr00272	MxaD protein	ModelSEED	null	msfr.272
ftr00273	Methanol dehydrogenase regulatory protein MoxR	ModelSEED	null	msfr.273
ftr00274	MxaL protein	ModelSEED	null	msfr.274
ftr00275	Methanol utilization control regulatory protein MoxX	ModelSEED	null	msfr.275
ftr00276	Methanol utilization control sensor protein MoxY (EC 2.7.3.-)	ModelSEED	null	msfr.276
ftr00277	MxaC, protein involved in Ca2+ insertion into methanol dehydrogenase	ModelSEED	null	msfr.277
ftr00278	MxaK protein	ModelSEED	null	msfr.278
ftr00279	MxaA protein	ModelSEED	null	msfr.279
ftr00280	MxaH	ModelSEED	null	msfr.280
ftr00281	Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)	ModelSEED	null	msfr.281
ftr00282	L-carnitine dehydratase (EC:4.2.1.89)	ModelSEED	null	msfr.282;CAIB/BAIF family protein
ftr00283	Crotonobetaine carnitine-CoA ligase (EC 6.3.2.-)	ModelSEED	null	msfr.283
ftr00284	Carnitine racemase (EC 5.-.-.-)	ModelSEED	null	msfr.284
ftr00285	Carnitinyl-CoA dehydratase (EC 4.2.1.-)	ModelSEED	null	msfr.285
ftr00286	FixA protein	ModelSEED	null	msfr.286
ftr00288	Transmembrane regulator protein PrtR	ModelSEED	null	msfr.288
ftr00289	RNA polymerase sigma-54 factor RpoN	ModelSEED	null	msfr.289
ftr00290	DNA-directed RNA polymerase specialized sigma subunit, sigma24-like	ModelSEED	null	msfr.290
ftr00291	RNA polymerase sigma-E factor	ModelSEED	null	msfr.291
ftr00292	putative RNA polymerase sigma factor	ModelSEED	null	msfr.292
ftr00293	ECF sigma factor	ModelSEED	null	msfr.293
ftr00294	rna synthesis, modification , dna transcription	ModelSEED	null	msfr.294;rna synthesis, modification, dna transcription
ftr00295	macromolecule metabolism	ModelSEED	null	msfr.295
ftr00296	macromolecule synthesis, modification	ModelSEED	null	msfr.296
ftr00297	RNA polymerase sigma-70 factor, ECF subfamily	ModelSEED	null	msfr.297
ftr00299	probable extracytoplasmic sigma factor EcfR	ModelSEED	null	msfr.299
ftr00300	RNA polymerase sigma-70 factor, ECF family	ModelSEED	null	msfr.300
ftr00301	Sigma-70 region 2:Sigma-70 region 4	ModelSEED	null	msfr.301
ftr00302	ECF family sigma factor	ModelSEED	null	msfr.302
ftr00303	extracytoplasmic sigma factor EcfR	ModelSEED	null	msfr.303
ftr00304	COG2078: Uncharacterized ACR	ModelSEED	null	msfr.304
ftr00305	COG1355, Predicted dioxygenase	ModelSEED	null	msfr.305
ftr00306	COG1180: Radical SAM, Pyruvate-formate lyase-activating enzyme like	ModelSEED	null	msfr.306
ftr00307	Multidrug efflux membrane fusion protein MexE	ModelSEED	null	msfr.307
ftr00308	Multidrug efflux transporter MexF	ModelSEED	null	msfr.308
ftr00309	Outer membrane protein OprN	ModelSEED	null	msfr.309
ftr00310	Transcriptional regulator MexT	ModelSEED	null	msfr.310
ftr00311	Putative Isoquinoline 1-oxidoreductase subunit, Mll3835 protein	ModelSEED	null	msfr.311
ftr00312	Isoquinoline 1-oxidoreductase alpha subunit (EC 1.3.99.16)	ModelSEED	null	msfr.312;Uncharacterized aldehyde reductase, 2Fe-2S subunit
ftr00313	Isoquinoline 1-oxidoreductase beta subunit (EC 1.3.99.16)	ModelSEED	null	msfr.313;Uncharacterized aldehyde reductase, molybdopterin-binding subunit
ftr00314	LSU ribosomal protein L1p (L10Ae), mitochondrial	ModelSEED	null	msfr.314
ftr00315	LSU ribosomal protein L2p (L8e), mitochondrial	ModelSEED	null	msfr.315
ftr00316	LSU ribosomal protein L3p (L3e), mitochondrial	ModelSEED	null	msfr.316
ftr00317	LSU ribosomal protein L4p (L1e), mitochondrial	ModelSEED	null	msfr.317
ftr00318	LSU ribosomal protein L5p (L11e), mitochondrial	ModelSEED	null	msfr.318
ftr00319	LSU ribosomal protein L6p (L9e), mitochondrial	ModelSEED	null	msfr.319
ftr00320	LSU ribosomal protein L7/L12 (L23e), mitochondrial	ModelSEED	null	msfr.320
ftr00321	LSU ribosomal protein L9p, mitochondrial	ModelSEED	null	msfr.321
ftr00322	LSU ribosomal protein L10p (P0), mitochondrial	ModelSEED	null	msfr.322
ftr00323	LSU ribosomal protein L11p (L12e), mitochondrial	ModelSEED	null	msfr.323
ftr00324	LSU ribosomal protein L13p (L13Ae), mitochondrial	ModelSEED	null	msfr.324
ftr00325	LSU ribosomal protein L14p (L23e), mitochondrial	ModelSEED	null	msfr.325
ftr00326	LSU ribosomal protein L15p (L27Ae), mitochondrial	ModelSEED	null	msfr.326
