id	names	equation	enzymes
R00070	D-urobilinogen:oxygen oxidoreductase	(2) C05791[0] + C00007[0] <=> (2) C05795[0] + (2) C00001[0]	
R00072	thiamine-aldehyde:oxygen 5-oxidoreductase	C05856[0] + C00007[0] + C00001[0] <=> C00027[0] + C02892[0]	1.1.3.23
R00073	reduced acceptor:prostaglandin G2 oxidoreductase	C00427[0] + C00028[0] + C00001[0] <=> C05956[0] + C00030[0]	1.14.99.1
R00074	2-aminophenol:oxygen oxidoreductase (dimerizing)	(4) C01987[0] + (3) C00007[0] <=> (2) C02161[0] + (6) C00001[0]	1.10.3.4
R00075	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	(3) C00019[0] <=> (3) C00170[0] + C05324[0]	2.5.1.43
R00076	ATP:phosphorylase-b phosphotransferase|ATP:[glycogen phosphorylase] phosphotransferase	(4) C00002[0] + (2) C02308[0] <=> (4) C00008[0] + C02307[0]	2.7.11.19
R00077	[Phosphorylase a] phosphohydrolase|[glycogen phosphorylase] phosphohydrolase	C02307[0] + (4) C00001[0] <=> (2) C02308[0] + (4) C00009[0]	3.1.3.17
R00078	Fe(II):oxygen oxidoreductase|Fe2+:oxygen oxidoreductase	C00007[0] + (4) C14818[0] + (4) C00080[0] <=> (4) C14819[0] + (2) C00001[0]	1.16.3.1
R00080	Catechol:oxygen oxidoreductase (dimerizing)	(4) C00090[0] + (3) C00007[0] <=> (6) C00001[0] + (2) C03861[0]	1.1.3.14|1.10.3.1
R00081	Ferrocytochrome-c:oxygen oxidoreductase	C00007[0] + (4) C00126[0] + (4) C00080[0] <=> (4) C00125[0] + (2) C00001[0]	1.7.2.1|1.9.3.1
R00082	Ferrocytochrome c2:oxygen oxidoreductase	C00007[0] + (4) C01000[0] <=> (4) C00997[0] + (2) C00001[0]	1.7.2.1|1.9.3.1
R00083	Benzenediol:oxygen oxidoreductase	C00007[0] + (4) C01785[0] <=> (4) C05309[0] + (2) C00001[0]	1.10.3.2
R00084	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)|porphobilinogen ammonia-lyase (polymerizing)	(4) C00931[0] + C00001[0] <=> C01024[0] + (4) C00014[0]	2.5.1.61
R00085	ATP diphosphohydrolase (phosphate-forming)	C00002[0] + (2) C00001[0] <=> C00020[0] + (2) C00009[0]	3.6.1.5
R00086	ATP phosphohydrolase	C00002[0] + C00001[0] <=> C00008[0] + C00009[0]	3.6.1.3|3.6.1.5|3.6.1.8|3.6.1.15||3.6.3.1|3.6.3.2|3.6.3.3|3.6.3.4||3.6.3.5|3.6.3.6|3.6.3.7|3.6.3.8||3.6.3.9|3.6.3.10|3.6.3.11|3.6.3.12||3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17||3.6.3.18|3.6.3.19|3.6.3.20|3.6.3.21||3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25||3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29||3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33||3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37||3.6.3.38|3.6.3.39|3.6.3.40|3.6.3.41||3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46||3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.50||3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54||3.6.4.1|3.6.4.2|3.6.4.3|3.6.4.4||3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8||3.6.4.9|3.6.4.10|3.6.4.11|3.6.4.12||3.6.4.13
R00087	ATP diphosphohydrolase (diphosphate-forming)|ATP pyrophosphohydrolase	C00002[0] + C00001[0] <=> C00020[0] + C00013[0]	3.6.1.8
R00088	ATP aminohydrolase	C00002[0] + C00001[0] <=> C00081[0] + C00014[0]	3.5.4.18
R00089	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	C00002[0] <=> C00575[0] + C00013[0]	4.6.1.1
R00090	NADH:hydrogen-peroxide oxidoreductase	C00027[0] + C00004[0] + C00080[0] <=> C00003[0] + (2) C00001[0]	1.11.1.1
R00091	CoA:NAD+ oxidoreductase	C00003[0] + (2) C00010[0] <=> C02015[0] + C00004[0] + C00080[0]	
R00092	Fe2+:NAD+ oxidoreductase|NADH:Fe3+ oxidoreductase	C00003[0] + (2) C14818[0] <=> C00004[0] + C00080[0] + (2) C14819[0]	1.16.1.7
R00093	L-glutamate:NAD+ oxidoreductase (transaminating)	(2) C00025[0] + C00003[0] <=> C00064[0] + C00026[0] + C00004[0] + C00080[0]	1.4.1.14
R00094	glutathione:NAD+ oxidoreductase	(2) C00051[0] + C00003[0] <=> C00127[0] + C00004[0] + C00080[0]	1.8.1.7
R00095	NADH:monodehydroascorbate oxidoreductase	C00003[0] + (2) C00072[0] <=> C00004[0] + (2) C01041[0] + C00080[0]	1.6.5.4
R00097	NADH:cob(III)alamine oxidoreductase	C00003[0] + (2) C00541[0] + (2) C00001[0] + C00080[0] <=> C00004[0] + (2) C00992[0]	1.16.1.3
R00099	cob(I)alamin:NAD+ oxidoreductase|NADH:cob(II)alamin oxidoreductase	C00003[0] + (2) C00853[0] <=> C00004[0] + C00080[0] + (2) C00541[0]	1.16.1.4
R00100	NADH:ferricytochrome-b5 oxidoreductase	C00004[0] + (2) C00996[0] <=> C00003[0] + (2) C00999[0] + C00080[0]	1.6.2.2
R00101	NADH:ferrileghemoglobin oxidoreductase	C00004[0] + (2) C02683[0] <=> C00003[0] + (2) C02685[0] + C00080[0]	1.6.2.6
R00102	NAD+ glycohydrolase	C00003[0] + C00001[0] <=> C00153[0] + C00301[0]	3.2.2.5|3.2.2.6|3.5.1.-
R00103	NAD+ phosphohydrolase	C00003[0] + C00001[0] <=> C00020[0] + C00455[0]	3.6.1.9|3.6.1.22
R00104	ATP:NAD+ 2'-phosphotransferase	C00002[0] + C00003[0] <=> C00008[0] + C00006[0]	2.7.1.23
R00105	ATP:NADH 2'-phosphotransferase	C00002[0] + C00004[0] <=> C00008[0] + C00005[0]	2.7.1.86
R00106	NADPH:ferricytochrome oxidoreductase	C00005[0] + (2) C00923[0] <=> C00006[0] + (2) C00924[0] + C00080[0]	1.6.2.4
R00107	cob(II)alamin:NADP+ oxidoreductase|NADPH:aquacob(III)alamin oxidoreductase	C00005[0] + (2) C00992[0] <=> C00006[0] + (2) C00541[0] + (2) C00001[0] + C00080[0]	1.16.1.5
R00108	NADPH:ferricytochrome-c2 oxidoreductase	C00005[0] + (2) C00997[0] <=> C00006[0] + (2) C01000[0] + C00080[0]	1.6.2.5
R00109	NADPH:ferrileghemoglobin oxidoreductase	C00005[0] + (2) C02683[0] <=> C00006[0] + (2) C02685[0] + C00080[0]	1.6.2.6
R00111	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)	C00005[0] + (2) C05933[0] + (2) C00007[0] + C00080[0] <=> C00006[0] + (2) C00533[0] + (2) C00327[0] + (2) C00001[0]	1.14.13.39|1.14.13.165
R00112	NADPH:NAD+ oxidoreductase	C00005[0] + C00003[0] <=> C00006[0] + C00004[0]	1.6.1.1|1.6.1.2|1.6.1.3
R00113	NADPH:hydrogen-peroxide oxidoreductase	C00027[0] + C00005[0] + C00080[0] <=> C00006[0] + (2) C00001[0]	1.11.1.2
R00114	L-Glutamate:NADP+ oxidoreductase (transaminating)	(2) C00025[0] + C00006[0] <=> C00064[0] + C00026[0] + C00005[0] + C00080[0]	1.4.1.13
R00115	glutathione:NADP+ oxidoreductase	(2) C00051[0] + C00006[0] <=> C00127[0] + C00005[0] + C00080[0]	1.8.1.7
R00118	NADP+ 2'-phosphohydrolase	C00006[0] + C00001[0] <=> C00009[0] + C00003[0]	3.1.3.-
R00119	NADP+:nicotinate ADP-ribosyltransferase	C00006[0] + C00253[0] <=> C00153[0] + C13051[0]	2.4.99.20
R00120	glutathione:oxygen oxidoreductase	C00007[0] + (2) C00051[0] <=> C00127[0] + C00027[0]	1.8.3.3
R00122	ADP phosphohydrolase	C00008[0] + C00001[0] <=> C00020[0] + C00009[0]	3.6.1.5
R00123	ADP aminohydrolase	C00008[0] + C00001[0] <=> C00104[0] + C00014[0]	3.5.4.7
R00124	ATP:ADP phosphatransferase	C00002[0] + C00008[0] <=> C00008[0] + C00002[0]	2.7.4.6
R00125	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	C01260[0] + C00001[0] <=> (2) C00008[0]	3.6.1.41
R00126	ADP:ATP adenylyltransferase	C00008[0] + C00002[0] <=> C00009[0] + C01260[0]	2.7.7.53
R00127	ATP:AMP phosphotransferase	C00002[0] + C00020[0] <=> (2) C00008[0]	2.7.4.3
R00128	Adenosine-tetraphosphate phosphohydrolase	C03483[0] + C00001[0] <=> C00002[0] + C00009[0]	3.6.1.14
R00129	(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)	C00002[0] + C04856[0] <=> C00008[0] + C00009[0] + C00004[0]	4.2.1.93
R00130	ATP:dephospho-CoA 3'-phosphotransferase	C00002[0] + C00882[0] <=> C00008[0] + C00010[0]	2.7.1.24
R00131	Urea amidohydrolase	C00086[0] + C00001[0] <=> C00011[0] + (2) C00014[0]	3.5.1.5
R00132	carbonate hydro-lyase (carbon-dioxide-forming)|carbonic acid hydro-lyase	C01353[0] <=> C00011[0] + C00001[0]	4.2.1.1
R00134	formate:NADP+ oxidoreductase	C00058[0] + C00006[0] <=> C00011[0] + C00005[0] + C00080[0]	1.2.1.43
R00135		C00012[0] + C00001[0] <=> C00148[0] + C00012[0]	3.4.11.5
R00137	ATP:nicotinamide-nucleotide adenylyltransferase	C00002[0] + C00455[0] <=> C00013[0] + C00003[0]	2.7.7.1|2.7.7.18
R00138	Triphosphate phosphohydrolase	C00536[0] + C00001[0] <=> C00013[0] + C00009[0]	3.6.1.25
R00139	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	C11038[0] + C00002[0] <=> C11039[0] + C00008[0]	2.7.4.6
R00140	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase	C11038[0] + C00008[0] <=> C03997[0] + C00002[0]	2.7.4.12
R00141	ATP:ammonia phosphotransferase	C00002[0] + C00014[0] <=> C00008[0] + C02306[0]	2.7.3.8
R00143	ammonia:NAD+ oxidoreductase|NADH:hydroxylamine oxidoreductase	C00014[0] + C00003[0] + C00001[0] <=> C00192[0] + C00004[0] + C00080[0]	1.7.1.10|1.7.99.1
R00145	alpha-amino acid:NAD+ oxidoreductase (deaminating)	C05167[0] + C00001[0] + C00003[0] <=> C00161[0] + C00014[0] + C00004[0] + C00080[0]	1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4||1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9||1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19||1.4.1.20
R00146	alpha-amino acid:NADP+ oxidoreductase (deaminating)	C05167[0] + C00001[0] + C00006[0] <=> C00161[0] + C00014[0] + C00005[0] + C00080[0]	1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4||1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9||1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19||1.4.1.20
R00148	ammonia,ubiquinol:oxygen oxidoreductase|ammonia monooxygenase	C00014[0] + C00007[0] + C00390[0] <=> C00192[0] + C00001[0] + C00399[0]	1.14.99.39
R00149	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	(2) C00002[0] + C00014[0] + C00011[0] + C00001[0] <=> (2) C00008[0] + C00009[0] + C00169[0]	6.3.4.16
R00150	ATP:carbamate phosphotransferase	C00002[0] + C00014[0] + C00011[0] <=> C00008[0] + C00169[0]	2.7.2.2
R00152	hydrogen cyanide aminohydrolase	C01326[0] + (2) C00001[0] <=> C00014[0] + C00058[0]	3.5.5.-
R00153	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	C05361[0] + (2) C05359[0] + (2) C00080[0] <=> (2) C00014[0]	1.18.6.1
R00155	UDP phosphohydrolase	C00015[0] + C00001[0] <=> C00105[0] + C00009[0]	3.6.1.5|3.6.1.6
R00156	ATP:UDP phosphotransferase	C00002[0] + C00015[0] <=> C00008[0] + C00075[0]	2.7.4.6
R00157	Uridine triphosphate:AMP phosphotransferase|UTP:AMP phosphotransferase	C00075[0] + C00020[0] <=> C00015[0] + C00008[0]	2.7.4.10
R00158	ATP:UMP phosphotransferase	C00002[0] + C00105[0] <=> C00008[0] + C00015[0]	2.7.4.4|2.7.4.14|2.7.4.22
R00159	UTP phosphohydrolase	C00075[0] + C00001[0] <=> C00015[0] + C00009[0]	3.6.1.5|3.6.1.39
R00160	FAD nucleotidohydrolase	C00016[0] + C00001[0] <=> C00020[0] + C00061[0]	3.6.1.9|3.6.1.18
R00161	ATP:FMN adenylyltransferase	C00002[0] + C00061[0] <=> C00013[0] + C00016[0]	2.7.7.2
R00162	ATP:protein phosphotransferase|ATP:protein phosphotransferase (Ca2+/calmodulin-dependent)	C00002[0] + C00017[0] <=> C00008[0] + C00562[0]	2.7.11.1|2.7.11.8|2.7.11.9|2.7.11.10||2.7.11.11|2.7.11.12|2.7.11.13|2.7.11.17||2.7.11.21|2.7.11.22|2.7.11.24|2.7.11.25||2.7.11.30|2.7.12.1|2.7.12.2
R00164	Phosphoprotein phosphohydrolase	C00562[0] + C00001[0] <=> C00017[0] + C00009[0]	3.1.3.16
R00165		C00017[0] <=> C00886[0]	
R00166		C00017[0] <=> C02047[0]	
R00167		C02163[0] <=> C00613[0]	
R00168		C00017[0] <=> C02554[0]	
R00169		C00017[0] <=> C02987[0]	
R00170		C00017[0] <=> C03127[0]	
R00172		C00017[0] <=> C05336[0]	
R00173	pyridoxal-5'-phosphate phosphohydrolase	C00018[0] + C00001[0] <=> C00250[0] + C00009[0]	3.1.3.74
R00174	ATP:pyridoxal 5'-phosphotransferase	C00002[0] + C00250[0] <=> C00008[0] + C00018[0]	2.7.1.35
R00175	S-Adenosyl-L-methionine hydrolase	C00019[0] + C00001[0] <=> C00170[0] + C00263[0]	3.3.1.2
R00177	ATP:L-methionine S-adenosyltransferase	C00009[0] + C00013[0] + C00019[0] <=> C00002[0] + C00073[0] + C00001[0]	2.5.1.6
R00178	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]	C00019[0] + C00080[0] <=> C01137[0] + C00011[0]	4.1.1.50
R00179	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)	C00019[0] <=> C01234[0] + C00170[0]	4.4.1.14
R00180	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	C00019[0] <=> C00170[0] + C02926[0]	2.5.1.4
R00181	AMP aminohydrolase	C00020[0] + C00001[0] <=> C00130[0] + C00014[0]	3.5.4.6|3.5.4.17
R00182	AMP phosphoribohydrolase	C00020[0] + C00001[0] <=> C00147[0] + C00117[0]	3.2.2.4
R00183	Adenosine 5'-monophosphate phosphohydrolase	C00020[0] + C00001[0] <=> C00212[0] + C00009[0]	3.1.3.5
R00184	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase	C01260[0] + C00001[0] <=> C00002[0] + C00020[0]	3.6.1.17|3.6.1.61
R00185	ATP:adenosine 5'-phosphotransferase	C00002[0] + C00212[0] <=> C00008[0] + C00020[0]	2.7.1.20|2.7.1.74
R00187	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase	C06197[0] + C00001[0] <=> C00008[0] + C00020[0]	3.6.1.29
R00188	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase	C00054[0] + C00001[0] <=> C00020[0] + C00009[0]	3.1.3.7
R00189	deamido-NAD+:ammonia ligase (AMP-forming)	C00002[0] + C00857[0] + C00014[0] <=> C00020[0] + C00013[0] + C00003[0]	6.3.1.5|6.3.5.1
R00190	AMP:diphosphate phospho-D-ribosyltransferase	C00020[0] + C00013[0] <=> C00147[0] + C00119[0]	2.4.2.7|2.4.2.8
R00191	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	C00575[0] + C00001[0] <=> C00020[0]	3.1.4.17|3.1.4.53
R00192	S-Adenosyl-L-homocysteine hydrolase	C00021[0] + C00001[0] <=> C00212[0] + C00155[0]	3.3.1.1
R00193	S-Adenosyl-L-homocysteine aminohydrolase	C00021[0] + C00001[0] <=> C03431[0] + C00014[0]	3.5.4.28
R00194	S-Adenosyl-L-homocysteine homocysteinylribohydrolase	C00021[0] + C00001[0] <=> C03539[0] + C00147[0]	3.2.2.9
R00195	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)	C06393[0] + C00001[0] <=> C00022[0] + (2) C00014[0]	4.3.1.15
R00196	(S)-Lactate:ferricytochrome-c 2-oxidoreductase	C00186[0] + (2) C00125[0] <=> C00022[0] + (2) C00126[0] + (2) C00080[0]	1.1.2.3
R00197	(R)-Lactate:ferricytochrome-c 2-oxidoreductase	C00256[0] + (2) C00125[0] <=> C00022[0] + (2) C00126[0] + (2) C00080[0]	1.1.2.4
R00198	(R)-Lactate:ferricytochrome-c-553 2-oxidoreductase	C00256[0] + (2) C01070[0] <=> C00022[0] + (2) C01071[0] + (2) C00080[0]	1.1.2.5
R00199	ATP:pyruvate,water phosphotransferase	C00002[0] + C00022[0] + C00001[0] <=> C00020[0] + C00074[0] + C00009[0]	2.7.9.2
R00200	ATP:pyruvate 2-O-phosphotransferase	C00002[0] + C00022[0] <=> C00008[0] + C00074[0]	2.7.1.40
R00203	pyruvaldehyde:NAD+ oxidoreductase|2-oxopropanal:NAD+ oxidoreductase	C00546[0] + C00003[0] + C00001[0] <=> C00022[0] + C00004[0] + C00080[0]	1.2.1.22|1.2.1.23
R00205	2-Oxopropanal:NADP+ oxidoreductase	C00546[0] + C00006[0] + C00001[0] <=> C00022[0] + C00005[0] + C00080[0]	1.2.1.49
R00206	ATP:pyruvate,phosphate phosphotransferase	C00002[0] + C00022[0] + C00009[0] <=> C00020[0] + C00074[0] + C00013[0]	2.7.9.1
R00207	Pyruvate:oxygen 2-oxidoreductase (phosphorylating)	C00022[0] + C00009[0] + C00007[0] <=> C00227[0] + C00027[0] + C00011[0]	1.2.3.3
R00208	Phosphoenolpyruvate phosphohydrolase	C00074[0] + C00001[0] <=> C00022[0] + C00009[0]	3.1.3.60
R00209	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)|pyruvate dehydrogenase complex	C00022[0] + C00010[0] + C00003[0] <=> C00024[0] + C00011[0] + C00004[0] + C00080[0]	1.2.4.1|1.8.1.4|2.3.1.12
R00210	pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)	C00022[0] + C00010[0] + C00006[0] <=> C00024[0] + C00011[0] + C00005[0] + C00080[0]	1.2.1.51
