ID	name	formula	charge
cpd13415	3,5,7,9,11,13,15,17-Octaoxo-nonadecanoyl-[acp]	C19H21O9RS	0
cpd13416	3,5,7,9,11,13,15,17-Octaoxo-eicosanoyl-[acp]	C20H23O9RS	0
cpd13417	3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]	C20H21O10RS	0
cpd13418	3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp]	C21H23O10RS	0
cpd13419	3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp]	C22H25O10RS	0
cpd13420	3,5,7,11,13,15-Heptaoxo-9-hydroxy-hexadecanoyl-[acp]	C16H19O8RS	0
cpd13421	3,5,7,11,13,15-Heptaoxo-9-hydroxy-heptadecanoyl-[acp]	C17H21O8RS	0
cpd13422	3,5,7,11,13,15-Heptaoxo-9-hydroxy-octadecanoyl-[acp]	C18H23O8RS	0
cpd13423	9-Hydroxy-3,5,7,11,13,15,17-octaoxo-octadecanoyl-[acp]	C18H21O9RS	0
cpd13424	9-Hydroxy-3,5,7,11,13,15,17-octaoxo-nonadecanoyl-[acp]	C19H23O9RS	0
cpd13425	9-Hydroxy-3,5,7,11,13,15,17-octaoxo-eicosanoyl-[acp]	C20H25O9RS	0
cpd13426	9-Hydroxy-3,5,7,11,13,15,17,19-nonaoxo-eicosanoyl-[acp]	C20H23O10RS	0
cpd13427	9-Hydroxy-3,5,7,11,13,15,17,19-nonaoxo-henicosanoyl-[acp]	C21H25O10RS	0
cpd13428	9-Hydroxy-3,5,7,11,13,15,17,19-nonaoxo-docosanoyl-[acp]	C22H27O10RS	0
cpd13430	18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxo-octadecanoyl-[acp]	C19H20NO10RS	0
cpd14881	Linoleoyl-ACP	C18H31ORS	0
cpd14882	alpha-Linolenoyl-ACP	C18H29ORS	0
cpd14938	3oxocdacp	C29H54N2O9PRS	-2
cpd14939	3hc18acp	C18H35O2RS	0
cpd14940	tocdeenacp	C29H54N2O8PRS	-2
cpd14956	LIPOYL-ACP	C8H13ORS3	0
cpd15239	hdeACP	C27H49N2O8PRS	-1
cpd15268	ocdACP	C29H55N2O8PRS	-2
cpd15271	ocdcyaACP	C29H51N2O8PRS	-1
cpd15277	palmACP	C27H51N2O8PRS	-2
cpd15294	tdeACP	C25H45N2O8PRS	-1
cpd15366	3hcddec5eACP	C23H41N2O9PRS	-1
cpd15368	3hcmrs7eACP	C25H45N2O9PRS	-1
cpd15369	3hcpalm9eACP	C27H49N2O9PRS	-1
cpd15370	3hcvac11eACP	C29H53N2O9PRS	-1
cpd15371	3hoctaACP	C29H55N2O9PRS	-1
cpd15373	3ocddec5eACP	C23H39N2O9PRS	-1
cpd15374	3ocmrs7eACP	C25H43N2O9PRS	-1
cpd15375	3ocpalm9eACP	C27H47N2O9PRS	-1
cpd15376	3ocvac11eACP	C29H51N2O9PRS	-1
cpd15377	3ooctdACP	C29H53N2O9PRS	-1
cpd15415	cddec5eACP	C23H41N2O8PRS	-1
cpd15416	cdec3eACP	C21H37N2O8PRS	-1
cpd15568	t3c11vaceACP	C29H51N2O8PRS	-1
cpd15569	t3c5ddeceACP	C23H39N2O8PRS	-1
cpd15570	t3c7mrseACP	C25H43N2O8PRS	-1
cpd15571	t3c9palmeACP	C27H47N2O8PRS	-1
cpd15572	2tocdACP	C29H53N2O8PRS	-1
cpd15914	4hbzACP	C18H25N2O9PRS	-1
cpd15930	arachACP	C31H59N2O8PRS	-1
cpd15964	kmeroacidACP	C69H132N2O8PS	-1
cpd15965	kmeroacidcyc1ACP	C70H133N2O8PRS	-1
cpd15966	kmeroacidcyc2ACP	C71H135N2O8PRS	-1
cpd15973	meroacidACP	C61H115N2O8PRS	-1
cpd15974	meroacidcyc1ACP	C62H117N2O7PRS	-1
cpd15975	meroacidcyc2ACP	C63H119N2O7PRS	-1
cpd15979	mkmeroacidACP	C70H135N2O9PRS	-1
cpd15980	mkmeroacidcyc1ACP	C71H137N2O9PRS	-1
cpd15983	mmeroacidACP	C67H127N2O8PRS	-1
cpd15984	mmeroacidcyc1ACP	C68H129N2O8PRS	-1
cpd15985	mmeroacidcyc2ACP	C69H131N2O8PRS	-1
cpd15987	mmmeroacidACP	C68H131N2O9PRS	-1
cpd15988	mmmeroacidcyc1ACP	C69H133N2O9PRS	-1
cpd16000	mstrACP	C30H57N2O8PRS	-1
cpd16014	phdcaACP	C34H57N2O9PRS	-1
cpd16026	prephthACP	C43H81N2O11PRS	-1
cpd16029	prepphthACP	C46H79N2O12PRS	-1
cpd16099	c190cACP	null	0
cpd16594	3-OHACYL-ACP_LPS	null	0
cpd16595	ACYL-ACP_LPS	null	0
cpd16596	ACYL-ACP_PL	null	0
cpd16597	ACYL-ACP_TAG	null	0
cpd16608	C12:1(C3)-ACP	null	0
cpd16610	C14:1(C5)-2ENOYLACP	null	0
cpd16612	C14:1(C5)-3HYDROXYACP	null	0
cpd16614	C14:1(C5)-3OXOACP	null	0
cpd16616	C14:1(C5)-ACP	null	0
cpd16619	C16:1(C7)-2ENOYLACP	null	0
cpd16621	C16:1(C7)-3HYDROXYACP	null	0
cpd16623	C16:1(C7)-3OXOACP	null	0
cpd16625	C16:1(C7)-ACP	null	0
cpd16629	C18:0-ACP	null	0
cpd16630	C18:1(C9)-2ENOYLACP	null	0
cpd16632	C18:1(C9)-3HYDROXYACP	null	0
cpd16634	C18:1(C9)-3OXOACP	null	0
cpd16636	C18:1(C9)-ACP	null	0
cpd16828	stearacp	null	0
cpd16847	tbuenacp	null	0
cpd16853	3hc4acp	null	0
cpd16854	3hc12acp	null	0
cpd16855	3hc10acp	null	0
cpd16856	3hc6acp	null	0
cpd16857	3hc8acp	C8H15O2RS	0
cpd16858	3hc16acp	null	0
cpd16859	3hc14acp	null	0
cpd16905	amero1ACP	C65H123N2O8PRS	-1
cpd16907	amero3ACP	C64H121N2O8PRS	-1
cpd16909	behenicACP	C33H63N2O8PRS	-1
cpd16911	c19behenACP	C33H61N2O8PRS	-1
cpd16912	c19c37C40oylACP	C51H95N2O8PRS	-1
cpd16913	c19c37C56oylACP	C67H127N2O8PRS	-1
cpd16914	c19c37C58oylACP	C69H131N2O8PRS	-1
cpd16915	c19C38oylACP	C49H93N2O8PRS	-1
cpd16916	c19c39C42oylACP	C53H99N2O8PRS	-1
cpd16917	c19c39C56oylACP	C67H127N2O8PRS	-1
cpd16918	c19c39C58oylACP	C69H131N2O8PRS	-1
cpd16919	c19C40oylACP	C51H97N2O8PRS	-1
cpd16920	c19c41C44oylACP	C55H103N2O8PRS	-1
cpd16921	c19c41C56oylACP	C67H127N2O8PRS	-1
cpd16922	c19C42oylACP	C53H101N2O8PRS	-1
cpd16923	c21c37C40oylACP	C51H95N2O8PRS	-1
cpd16924	c21c37C52oylACP	C63H119N2O8PRS	-1
cpd16925	c21C38oylACP	C49H93N2O8PRS	-1
cpd16926	c21lignocerACP	C35H65N2O8PRS	-1
cpd16927	c37C57oylACP	C68H131N2O9PRS	-1
cpd16928	c37C58oylACP	C69H133N2O9PRS	-1
cpd16929	c37C59oylACP	C70H135N2O9PRS	-1
cpd16930	c37C60oylACP	C71H137N2O9PRS	-1
cpd16931	c39C57oylACP	C68H131N2O9PRS	-1
cpd16932	c39C59oylACP	C70H135N2O9PRS	-1
cpd16933	c41C57oylACP	C68H131N2O9PRS	-1
cpd16934	c41C58oylACP	C69H133N2O9PRS	-1
cpd16939	ckmero1ACP	C69H131N2O9PRS	-1
cpd16946	cmmero1ACP	C70H135N2O9PRS	-1
cpd16949	k19c39C59oylACP	C70H133N2O9PRS	-1
cpd16950	k19c41C57oylACP	C68H129N2O9PRS	-1
cpd16955	kmero2ACP	C69H131N2O9PRS	-1
cpd16957	kmero3ACP	C68H129N2O9PRS	-1
cpd16965	mmero2ACP	C70H135N2O9PRS	-1
cpd16967	mmero3ACP	C69H133N2O9PRS	-1
cpd16986	tkmero1ACP	C71H135N2O9PRS	-1
cpd16999	tmmero1ACP	C72H139N2O9PRS	-1
cpd17007	fa11ACP	C17H33OX	0
cpd17009	fa13ACP	C13H25OX	0
cpd17010	fa14ACP	C5H9OX	0
cpd17011	fa1ACP	C14H27OX	0
cpd17012	fa3ACP	C15H29OX	0
cpd17013	fa6ACP	C16H31OX	0
cpd17014	fa7ACP	C7H13OX	0
cpd17015	fa8ACP	C6H11OX	0
cpd17018	hpdACP	C17H33OX	0
cpd17021	hpdeACP	C17H31OX	0
cpd17029	pdACP	C15H29OX	0
cpd17031	pdeACP	C15H27OX	0
cpd17046	2hddACP	C12H23O2X	0
cpd17047	2hmyrsACP	C14H27O2X	0
cpd17051	3hocdacp	C18H35O2X	0
cpd17086	rha1glcnacppund	C70H117N4O18P3	0
cpd17087	rha3glcnacppund	C82H143N4O32P5	0
cpd17088	rha4glcnacppund	C88H156N4O39P6	0
cpd17990	gamma-L-Glutamyl-[acp]	C5H8NO3RS	0
cpd17991	4-Aminobutyryl-[acp]	C4H8NORS	0
cpd17992	gamma-L-Glutamyl-4-aminobutyryl-ACP	C9H15N2O4RS	0
cpd17993	gamma-L-Glutamyl-4-amino-2-hydroxybutyryl-ACP	C9H15N2O5RS	0
cpd19880	Methoxymalonyl-[acp]	C4H5O4RS	0
cpd19881	Hydroxymalonyl-[acp]	C3H3O4RS	0
cpd19882	Aminomalonyl-[acp]	C3H4NO3RS	0
cpd21087	Pimelyl-[acyl-carrier protein]	C7H11O3RS	0
cpd21088	Pimelyl-[acyl-carrier protein] methyl ester	C8H13O3RS	0
cpd21125	alpha-Aminoadipate carrier protein LysW	C5H7NO4R	-1
cpd22015	3-HYDROXY-DOCOSAPENTAENOYL-ACP	C36H58N3O10PR2S	0
cpd22021	3-Hydroxy-octanoyl-ACPs	C19H36N2O9PRS	-2
cpd22022	3-Hydroxyglutaryl-ACP-methyl-ester	C20H34N3O12PR2S	0
cpd22027	3-Ketoglutaryl-ACP-methyl-ester	C20H32N3O12PR2S	0
cpd22028	3-Ketopimeloyl-ACP-methyl-esters	C22H36N3O12PR2S	0
cpd22044	3-OXO-EICOSAPENTAENOYL-ACP	C36H56N3O10PR2S	0
cpd22061	3-hydroxy-cis-D7-tetraecenoyl-ACPs	C25H43N2O9PRS	-2
cpd22062	3-hydroxy-cis-D9-hexaecenoyl-ACPs	C27H48N2O9PRS	-2
cpd22063	3-hydroxy-dihomo gamma linolenoyl [acp]	C34H58N3O10PR2S	0
cpd22064	3-hydroxy-eicosatrienoyl [acp]	null	0
cpd22065	3-hydroxypimeloyl-ACP-methyl-esters	C22H38N3O12PR2S	0
cpd22072	3-oxo-arachidoyl-ACPs	C34H62N3O10PR2S	0
cpd22073	3-oxo-behenoyl-ACPs	C36H66N3O10PR2S	0
cpd22074	3-oxo-cerotoyl-ACPs	C40H74N3O10PR2S	0
cpd22075	3-oxo-cis-D7-tetradecenoyl-ACPs	C25H43N2O9PRS	-2
cpd22076	3-oxo-cis-D9-hexadecenoyl-ACPs	C27H47N2O9PRS	-2
cpd22077	3-oxo-cis-vaccenoyl-ACPs	C29H52N2O9PRS	-2
cpd22078	3-oxo-dihomo gamma linolenoyl-[acp]	C34H56N3O10PR2S	0
cpd22079	3-oxo-lignoceroyl-ACPs	C38H70N3O10PR2S	0
cpd22080	3-oxo-eicosatrienoyl [acp]	null	0
cpd22081	3-oxo-petroselinoyl-ACPs	C29H52N2O9PRS	-2
cpd22370	Amino-Hydroxybenzoyl-Acps	C21H31N4O10PR2S	0
cpd22378	Apo-Aryl-Carrier-Proteins	C3H6NO2R2	1
cpd22388	Arachidoyl-ACPs	C34H64N3O9PR2S	0
cpd22441	Behenoyl-ACPs	C36H68N3O9PR2S	0
cpd22445	Beta-3-hydroxybutyryl-ACPs	C15H28N2O9PRS	-2
cpd22475	BtrI-Acyl-Carrier-Proteins	HRS	0
cpd26686	Cerotoyl-ACPs	C40H76N3O9PR2S	0
cpd26726	Cis-Delta5-dodecenoyl-ACPs	C23H39N2O8PRS	-2
cpd26727	Cis-Delta7-tetradecenoyl-ACPs	C25H43N2O8PRS	-2
cpd26729	Cis-delta-3-decenoyl-ACPs	C21H38N2O8PRS	-2
cpd26730	Cis-vaccenoyl-ACPs	C29H54N2O8PRS	-2
cpd26755	Crotonyl-ACPs	C15H26N2O8PRS	-2
cpd26915	DOCOSAPENTAENOYL-2-ENOYL-ACP	C36H56N3O9PR2S	0
cpd26916	DOCOSAPENTAENOYL-ACP	C36H58N3O9PR2S	0
cpd26933	Delta4-hexadecenoyl-ACPs	C27H48N2O8PRS	-2
cpd26934	Delta6-hexadecenoyl-ACPs	C27H48N2O8PRS	0
cpd26986	DsrC-sulfur-carrier-proteins	null	0
cpd26994	EICOSAPENTAENOYL-ACP	C34H54N3O9PR2S	0
cpd26995	EICOSATRIENOYL-ACP	null	0
cpd27020	Enoylglutaryl-ACP-methyl-esters	C20H32N3O11PR2S	0
cpd27021	Enoylpimeloyl-ACP-methyl-esters	C22H36N3O11PR2S	0
cpd27180	Glutaryl-ACP-methyl-esters	C20H34N3O11PR2S	0
cpd27194	5-amino-2-(2-{[1-(2-amino-3-phenylpropanoyl)pyrrolidin-2-yl]formamido}-3-methylbutanamido)-N-(5-methyl-2-oxohexan-3-yl)pentanamide-[acp]	C44H74N9O13PR2S	0
cpd27246	Hepta-oxo-hexadecanoyl-ACPs	C30H42N3O16PR2S	0
cpd27247	Heptadecanoyl-ACPs	C31H58N3O9PR2S	0
cpd27255	Holo-ACP-Synthases	null	0
cpd27256	Holo-Aryl-Carrier-Proteins	C14H26N3O8PR2S	0
cpd27363	L-Glutamyl-BtrI-Acyl-Carrier-Prtoeins	C5H8NO3RS	0
cpd27404	Lignoceroyl-ACPs	C38H72N3O9PR2S	0
cpd27419	Long-Chain-Acyl-ACPs	C27H49N3O9PR3S	0
cpd27551	Myristoyl-ACPs	C25H48N2O8PRS	-2
cpd27716	Oleoyl-ACPs	C29H52N2O8PRS	-2
cpd27830	Palmitoleoyl-ACPs	C27H50N2O8PRS	-2
cpd27849	Petrosel-2-enoyl-ACPs	C29H53N2O8PRS	-2
cpd27850	Petroselinoyl-ACPs	C29H55N2O8PRS	-2
cpd27896	Polyketide-ACP-Proteins	C14H26N3O8PR2S	0
cpd28023	R-3-Hydroxypalmitoyl-ACPs	C27H52N2O9PRS	-2
cpd28024	R-3-hydroxy-cis-vaccenoyl-ACPs	C29H54N2O9PRS	-2
cpd28025	R-3-hydroxyarachidoyl-ACPs	C34H64N3O10PR2S	0
cpd28026	R-3-hydroxybehenoyl-ACPs	C36H68N3O10PR2S	0
cpd28027	R-3-hydroxycerotoyl-ACPs	C40H76N3O10PR2S	0
cpd28028	R-3-hydroxylignoceroyl-ACPs	C38H72N3O10PR2S	0
cpd28029	R-3-hydroxypetroselinoyl-ACPs	C29H53N2O9PRS	-2
cpd28030	R-3-hydroxystearoyl-ACPs	C29H56N2O9PRS	-2
cpd28116	Rifamycin-Cyc-Pentaketide-Acps	C32H43N4O14PR2S	0
cpd28117	Rifamycin-Tetraketide-Acps	C29H43N4O13PR2S	0
cpd28118	Rifamycin-Undecaketide-Acps	C49H73N4O18PR2S	0
cpd28167	Saturated-Fatty-Acyl-ACPs	C18H31N3O9PR3S	0
cpd28273	Trans-D2-decenoyl-ACPs	C21H38N2O8PRS	-2
cpd28274	Trans-D2-hexacos-2-enoyl-ACPs	C40H74N3O9PR2S	0
cpd28275	Trans-D3-cis-D5-dodecenoyl-ACPs	C23H39N2O8PRS	-2
cpd28277	Trans-D3-cis-D9-hexadecenoyl-ACPs	C27H46N2O8PRS	-2
cpd28378	a 3-hydroxy cis delta5-dodecenoyl-[acp]	C23H42N2O9PRS	-2
cpd28379	a 3-oxo-cis-delta5-dodecenoyl-[acp]	C23H41N2O9PRS	-2
cpd28383	a cis-methoxy-C59-meroacyl-[acp]	C73H140N3O10PR2S	0
cpd28384	a cis-keto-C60-meroacyl-[acp]	C74H140N3O10PR2S	0
cpd28386	a cis-delta19-37-hydroxy-38-methyl-C57:1-[acp]	C71H136N3O10PR2S	0
cpd28387	a cis-delta21-39-hydroxy-40-methyl-C59:1-[acp]	C73H140N3O10PR2S	0
cpd28388	a C52-alpha-meroacyl-[acp]	C66H124N3O9PR2S	0
cpd28389	a cis,cis-delta11,23-3-hydroxyC42:2-[acp]	C56H104N3O10PR2S	0
cpd28390	a cis,cis-delta11,23-3-oxo-C42:2-[acp]	C56H102N3O10PR2S	0
cpd28391	a cis,cis-delta11,23-C42:2-[acp]	C56H104N3O9PR2S	0
cpd28392	a cis,cis-delta11,29-3-hydroxyC48:2-[acp]	C62H116N3O10PR2S	0
cpd28393	a cis,cis-delta11,29-3-oxo-C48:2-[acp]	C62H114N3O10PR2S	0
cpd28394	a cis,cis-delta11,29-C48:2-[acp]	C62H116N3O9PR2S	0
cpd28395	a cis,cis-delta13,25-3-hydroxyC44:2-[acp]	C58H108N3O10PR2S	0
cpd28396	a cis,cis-delta13,25-3-oxo-C44:2-[acp]	C58H106N3O10PR2S	0
cpd28397	a cis,cis-delta13,25-C44:2-[acp]	C58H108N3O9PR2S	0
cpd28398	a cis,cis-delta13,31-3-hydroxyC50:2-[acp]	C64H120N3O10PR2S	0
cpd28399	a cis,cis-delta13,31-3-oxo-C50:2-[acp]	C64H118N3O10PR2S	0
cpd28400	a cis,cis-delta13,31-C50:2-[acp]	C64H120N3O9PR2S	0
cpd28401	a cis,cis-delta15,27-3-hydroxyC46:2-[acp]	C60H112N3O10PR2S	0
cpd28402	a cis,cis-delta15,27-3-oxo-C46:2-[acp]	C60H110N3O10PR2S	0
cpd28403	a cis,cis-delta15,27-C46:2-[acp]	C60H112N3O9PR2S	0
cpd28404	a cis,cis-delta15,33-3-hydroxyC52:2-[acp]	C66H124N3O10PR2S	0
cpd28405	a cis,cis-delta15,33-3-oxo-C52:2-[acp]	C66H122N3O10PR2S	0
cpd28406	a cis,cis-delta15,33-C52:2-[acp]	C66H124N3O9PR2S	0
cpd28407	a cis,cis-delta17,29-3-hydroxyC48:2-[acp]	C62H116N3O10PR2S	0
cpd28408	a cis,cis-delta17,29-3-oxo-C48:2-[acp]	C62H114N3O10PR2S	0
cpd28409	a cis,cis-delta17,29-C48:2-[acp]	C62H116N3O9PR2S	0
cpd28410	a cis,cis-delta17,35-3-hydroxyC54:2-[acp]	C68H128N3O10PR2S	0
