rn:R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
rn:R00024	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming); D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate
rn:R00025	ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming); Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O
rn:R00026	cellobiose glucohydrolase; Cellobiose + H2O <=> 2 beta-D-Glucose
rn:R00027	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming); Benzoin <=> 2 Benzaldehyde
rn:R00028	maltose glucohydrolase; Maltose + H2O <=> 2 D-Glucose
rn:R00029	thiosulfate:ferricytochrome-c oxidoreductase; 2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c
rn:R00031	1,2-benzenediol:oxygen oxidoreductase; Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine
rn:R00032	beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving); beta-Carotene + Oxygen <=> 2 Retinal
rn:R00033	thiamine:oxygen 5-oxidoreductase; Thiamine + Oxygen <=> Hydrogen peroxide + Thiamine aldehyde
rn:R00034	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase; Cyclobutadipyrimidine <=> 2 Pyrimidine 5'-deoxynucleotide
rn:R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming); 2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O
rn:R00038	4-hydroxy-3-hexanone propanal-lyase (propanal-forming); 2 Propanal <=> 4-Hydroxyhexan-3-one
rn:R00039	raffinose:raffinose 1F-alpha-D-galactosyltransferase; 2 Raffinose <=> Lychnose + Sucrose
rn:R00041	long-chain-alcohol:oxygen oxidoreductase; 2 Long-chain alcohol + Oxygen <=> 2 Long-chain aldehyde + 2 H2O
rn:R00042	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating); 2 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> 2 4-Hydroxyphenylacetate + 2 CO2
rn:R00043	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving); 1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen <=> 2 4-Hydroxy-3-methoxy-benzaldehyde
rn:R00044	columbamine:oxygen oxidoreductase (cyclizing); 2 Columbamine + Oxygen <=> 2 Berberine + 2 H2O
rn:R00045	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase; Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O
rn:R00047	6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating); Oxygen + 6-Hydroxynicotinate + Reduced acceptor <=> 2,5-Dihydroxypyridine + CO2 + Acceptor + H2O
rn:R00048	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase; (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate
rn:R00049	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase; 2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose
rn:R00052	chloride:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + Alkane + Hydrochloric acid <=> RCl + 2 H2O
rn:R00053	digallate acylhydrolase; tannin acylhydrolase; Digallate + H2O <=> 2 Gallate
rn:R00054	orsellinate-depside hydrolase; Lecanoric acid + H2O <=> 2 Orsellinate
rn:R00055	inosine:oxygen 5'-oxidoreductase; 2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O
rn:R00056	dinucleotide nucleotidohydrolase; Dinucleotide + H2O <=> 2 Mononucleotide
rn:R00057	thiol:oxygen oxidoreductase; Oxygen + 2 R'C(R)SH <=> R'C(R)S-S(R)CR' + Hydrogen peroxide
rn:R00058	catechol:oxygen oxidoreductase; 1,2-benzenediol:oxygen oxidoreductase; Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O
rn:R00059	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase; N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate
rn:R00060	Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific); Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O
rn:R00061	sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific); Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O
rn:R00062	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase; 2 Bilirubin-glucuronoside <=> Bilirubin + Bilirubin beta-diglucuronide
rn:R00063	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase; 1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase; 2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucoside + D-Glucose
rn:R00066	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase; 2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil
rn:R00067	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); 2 e- + 2 H+ <=> Hydrogen
rn:R00068	L-ascorbate:oxygen oxidoreductase; Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O
rn:R00069	4-imidazolone-5-propanoate:oxygen oxidoreductase; Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O
rn:R00070	D-urobilinogen:oxygen oxidoreductase; 2 D-Urobilinogen + Oxygen <=> 2 D-Urobilin + 2 H2O
rn:R00072	thiamine-aldehyde:oxygen 5-oxidoreductase; Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic acid
rn:R00073	reduced acceptor:prostaglandin G2 oxidoreductase; Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor
rn:R00074	2-aminophenol:oxygen oxidoreductase (dimerizing); 4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O
rn:R00075	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase; 3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine
rn:R00076	ATP:phosphorylase-b phosphotransferase; ATP:[glycogen phosphorylase] phosphotransferase; 4 ATP + 2 Phosphorylase b <=> 4 ADP + Phosphorylase a
rn:R00077	[Phosphorylase a] phosphohydrolase; [glycogen phosphorylase] phosphohydrolase; Phosphorylase a + 4 H2O <=> 2 Phosphorylase b + 4 Orthophosphate
rn:R00078	Fe(II):oxygen oxidoreductase; Fe2+:oxygen oxidoreductase; Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O
rn:R00080	Catechol:oxygen oxidoreductase (dimerizing); 4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione
rn:R00081	Ferrocytochrome-c:oxygen oxidoreductase; Oxygen + 4 Ferrocytochrome c + 4 H+ <=> 4 Ferricytochrome c + 2 H2O
rn:R00082	Ferrocytochrome c2:oxygen oxidoreductase; Oxygen + 4 Ferrocytochrome c2 <=> 4 Ferricytochrome c2 + 2 H2O
rn:R00083	Benzenediol:oxygen oxidoreductase; Oxygen + 4 Benzenediol <=> 4 Semiquinone + 2 H2O
rn:R00084	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing); porphobilinogen ammonia-lyase (polymerizing); 4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia
rn:R00085	ATP diphosphohydrolase (phosphate-forming); ATP + 2 H2O <=> AMP + 2 Orthophosphate
rn:R00086	ATP phosphohydrolase; ATP + H2O <=> ADP + Orthophosphate
rn:R00087	ATP diphosphohydrolase (diphosphate-forming); ATP pyrophosphohydrolase; ATP + H2O <=> AMP + Diphosphate
rn:R00088	ATP aminohydrolase; ATP + H2O <=> ITP + Ammonia
rn:R00089	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming); ATP <=> 3',5'-Cyclic AMP + Diphosphate
rn:R00090	NADH:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + NADH + H+ <=> NAD+ + 2 H2O
rn:R00091	CoA:NAD+ oxidoreductase; NAD+ + 2 CoA <=> CoA-disulfide + NADH + H+
rn:R00092	Fe2+:NAD+ oxidoreductase; NADH:Fe3+ oxidoreductase; NAD+ + 2 Fe2+ <=> NADH + H+ + 2 Fe3+
rn:R00093	L-glutamate:NAD+ oxidoreductase (transaminating); 2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+
rn:R00094	glutathione:NAD+ oxidoreductase; 2 Glutathione + NAD+ <=> Glutathione disulfide + NADH + H+
rn:R00095	NADH:monodehydroascorbate oxidoreductase; NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+
rn:R00097	NADH:cob(III)alamine oxidoreductase; NAD+ + 2 Cob(II)alamin + 2 H2O + H+ <=> NADH + 2 Aquacob(III)alamin
rn:R00099	cob(I)alamin:NAD+ oxidoreductase; NADH:cob(II)alamin oxidoreductase; NAD+ + 2 Cob(I)alamin <=> NADH + H+ + 2 Cob(II)alamin
rn:R00100	NADH:ferricytochrome-b5 oxidoreductase; NADH + 2 Ferricytochrome b5 <=> NAD+ + 2 Ferrocytochrome b5 + H+
rn:R00101	NADH:ferrileghemoglobin oxidoreductase; NADH + 2 Ferrileghemoglobin <=> NAD+ + 2 Ferroleghemoglobin + H+
rn:R00102	NAD+ glycohydrolase; NAD+ + H2O <=> Nicotinamide + ADP-ribose
rn:R00103	NAD+ phosphohydrolase; NAD+ + H2O <=> AMP + Nicotinamide D-ribonucleotide
rn:R00104	ATP:NAD+ 2'-phosphotransferase; ATP + NAD+ <=> ADP + NADP+
rn:R00105	ATP:NADH 2'-phosphotransferase; ATP + NADH <=> ADP + NADPH
rn:R00106	NADPH:ferricytochrome oxidoreductase; NADPH + 2 Ferricytochrome <=> NADP+ + 2 Ferrocytochrome + H+
rn:R00107	cob(II)alamin:NADP+ oxidoreductase; NADPH:aquacob(III)alamin oxidoreductase; NADPH + 2 Aquacob(III)alamin <=> NADP+ + 2 Cob(II)alamin + 2 H2O + H+
rn:R00108	NADPH:ferricytochrome-c2 oxidoreductase; NADPH + 2 Ferricytochrome c2 <=> NADP+ + 2 Ferrocytochrome c2 + H+
rn:R00109	NADPH:ferrileghemoglobin oxidoreductase; NADPH + 2 Ferrileghemoglobin <=> NADP+ + 2 Ferroleghemoglobin + H+
rn:R00111	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming); NADPH + 2 N(omega)-Hydroxyarginine + 2 Oxygen + H+ <=> NADP+ + 2 Nitric oxide + 2 L-Citrulline + 2 H2O
rn:R00112	NADPH:NAD+ oxidoreductase; NADPH + NAD+ <=> NADP+ + NADH
rn:R00113	NADPH:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + NADPH + H+ <=> NADP+ + 2 H2O
rn:R00114	L-glutamate:NADP+ oxidoreductase (transaminating); 2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+
rn:R00115	glutathione:NADP+ oxidoreductase; 2 Glutathione + NADP+ <=> Glutathione disulfide + NADPH + H+
rn:R00118	NADP+ 2'-phosphohydrolase; NADP+ + H2O <=> Orthophosphate + NAD+
rn:R00119	NADP+:nicotinate ADP-ribosyltransferase; NADP+ + Nicotinate <=> Nicotinamide + Nicotinic acid adenine dinucleotide phosphate
rn:R00120	glutathione:oxygen oxidoreductase; Oxygen + 2 Glutathione <=> Glutathione disulfide + Hydrogen peroxide
rn:R00122	ADP phosphohydrolase; ADP + H2O <=> AMP + Orthophosphate
rn:R00123	ADP aminohydrolase; ADP + H2O <=> IDP + Ammonia
rn:R00124	ATP:ADP phosphatransferase; ATP + ADP <=> ADP + ATP
rn:R00125	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase; P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> 2 ADP
rn:R00126	ADP:ATP adenylyltransferase; ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate
rn:R00127	ATP:AMP phosphotransferase; ATP + AMP <=> 2 ADP
rn:R00128	Adenosine-tetraphosphate phosphohydrolase; Adenosine tetraphosphate + H2O <=> ATP + Orthophosphate
rn:R00129	(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming); ATP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> ADP + Orthophosphate + NADH
rn:R00130	ATP:dephospho-CoA 3'-phosphotransferase; ATP + Dephospho-CoA <=> ADP + CoA
rn:R00131	Urea amidohydrolase; Urea + H2O <=> CO2 + 2 Ammonia
rn:R00132	carbonate hydro-lyase (carbon-dioxide-forming); carbonic acid hydro-lyase; Carbonic acid <=> CO2 + H2O
rn:R00134	formate:NADP+ oxidoreductase; Formate + NADP+ <=> CO2 + NADPH + H+
rn:R00135	Peptide + H2O <=> L-Proline + Peptide
rn:R00137	ATP:nicotinamide-nucleotide adenylyltransferase; ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+
rn:R00138	Triphosphate phosphohydrolase; Triphosphate + H2O <=> Diphosphate + Orthophosphate
rn:R00139	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase; 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP
rn:R00140	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase; 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ADP <=> 5-Hydroxymethyldeoxycytidylate + ATP
rn:R00141	ATP:ammonia phosphotransferase; ATP + Ammonia <=> ADP + Phosphoramidate
rn:R00143	ammonia:NAD+ oxidoreductase; NADH:hydroxylamine oxidoreductase; Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+
rn:R00145	alpha-amino acid:NAD+ oxidoreductase (deaminating); alpha-Amino acid + H2O + NAD+ <=> 2-Oxo acid + Ammonia + NADH + H+
rn:R00146	alpha-amino acid:NADP+ oxidoreductase (deaminating); alpha-Amino acid + H2O + NADP+ <=> 2-Oxo acid + Ammonia + NADPH + H+
rn:R00148	ammonia,ubiquinol:oxygen oxidoreductase; ammonia monooxygenase; Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone
rn:R00149	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating); 2 ATP + Ammonia + CO2 + H2O <=> 2 ADP + Orthophosphate + Carbamoyl phosphate
rn:R00150	ATP:carbamate phosphotransferase; ATP + Ammonia + HCO3- <=> ADP + Carbamoyl phosphate + H2O
rn:R00152	hydrogen cyanide aminohydrolase; Hydrogen cyanide + 2 H2O <=> Ammonia + Formate
rn:R00153	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); Hydrazine + 2 e- + 2 H+ <=> 2 Ammonia
rn:R00155	UDP phosphohydrolase; UDP + H2O <=> UMP + Orthophosphate
rn:R00156	ATP:UDP phosphotransferase; ATP + UDP <=> ADP + UTP
rn:R00157	Uridine triphosphate:AMP phosphotransferase; UTP:AMP phosphotransferase; UTP + AMP <=> UDP + ADP
rn:R00158	ATP:UMP phosphotransferase; ATP + UMP <=> ADP + UDP
rn:R00159	UTP phosphohydrolase; UTP + H2O <=> UDP + Orthophosphate
rn:R00160	FAD nucleotidohydrolase; FAD + H2O <=> AMP + FMN
rn:R00161	ATP:FMN adenylyltransferase; ATP + FMN <=> Diphosphate + FAD
rn:R00162	ATP:protein phosphotransferase; ATP:protein phosphotransferase (Ca2+/calmodulin-dependent); ATP + Protein <=> ADP + Phosphoprotein
rn:R00164	Phosphoprotein phosphohydrolase; Phosphoprotein + H2O <=> Protein + Orthophosphate
rn:R00165	Protein <=> L-Alanyl-tRNA
rn:R00166	Protein <=> L-Leucyl-tRNA
rn:R00167	L-Arginyl-tRNA(Arg) <=> Protein-L-arginine
rn:R00168	Protein <=> L-Valyl-tRNA(Val)
rn:R00169	Protein <=> L-Glutamyl-tRNA(Glu)
rn:R00170	Protein <=> L-Isoleucyl-tRNA(Ile)
rn:R00172	Protein <=> Selenomethionyl-tRNA(Met)
rn:R00173	pyridoxal-5'-phosphate phosphohydrolase; Pyridoxal phosphate + H2O <=> Pyridoxal + Orthophosphate
rn:R00174	ATP:pyridoxal 5'-phosphotransferase; ATP + Pyridoxal <=> ADP + Pyridoxal phosphate
rn:R00175	S-Adenosyl-L-methionine hydrolase; S-Adenosyl-L-methionine + H2O <=> 5'-Methylthioadenosine + L-Homoserine
rn:R00177	ATP:L-methionine S-adenosyltransferase; Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O
rn:R00178	S-adenosyl-L-methionine carboxy-lyase [S-adenosyl 3-(methylsulfanyl)propylamine-forming]; S-Adenosyl-L-methionine + H+ <=> S-Adenosylmethioninamine + CO2
rn:R00179	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming); S-Adenosyl-L-methionine <=> 1-Aminocyclopropane-1-carboxylate + 5'-Methylthioadenosine
rn:R00180	S-Adenosyl-L-methionine alkyltransferase (cyclizing); S-Adenosyl-L-methionine <=> 5'-Methylthioadenosine + Homoserine lactone
rn:R00181	AMP aminohydrolase; AMP + H2O <=> IMP + Ammonia
rn:R00182	AMP phosphoribohydrolase; AMP + H2O <=> Adenine + D-Ribose 5-phosphate
rn:R00183	adenosine 5'-monophosphate phosphohydrolase; AMP + H2O <=> Adenosine + Orthophosphate
rn:R00184	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase; P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> ATP + AMP
rn:R00185	ATP:adenosine 5'-phosphotransferase; ATP + Adenosine <=> ADP + AMP
rn:R00187	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase; P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP
rn:R00188	adenosine-3',5'-bisphosphate 3'-phosphohydrolase; Adenosine 3',5'-bisphosphate + H2O <=> AMP + Orthophosphate
rn:R00189	deamido-NAD+:ammonia ligase (AMP-forming); ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+
rn:R00190	AMP:diphosphate phospho-D-ribosyltransferase; AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate
rn:R00191	adenosine 3',5'-phosphate 5'-nucleotidohydrolase; 3',5'-Cyclic AMP + H2O <=> AMP
rn:R00192	S-Adenosyl-L-homocysteine hydrolase; S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine
rn:R00193	S-Adenosyl-L-homocysteine aminohydrolase; S-Adenosyl-L-homocysteine + H2O <=> S-Inosyl-L-homocysteine + Ammonia
rn:R00194	S-Adenosyl-L-homocysteine homocysteinylribohydrolase; S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine
rn:R00195	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming); 2,3-Diaminopropanoate + H2O <=> Pyruvate + 2 Ammonia
rn:R00196	(S)-Lactate:ferricytochrome-c 2-oxidoreductase; (S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+
rn:R00197	(R)-Lactate:ferricytochrome-c 2-oxidoreductase; (R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+
rn:R00198	(R)-Lactate:ferricytochrome-c-553 2-oxidoreductase; (R)-Lactate + 2 Ferricytochrome c-553 <=> Pyruvate + 2 Ferrocytochrome c-553 + 2 H+
rn:R00199	ATP:pyruvate,water phosphotransferase; ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate
rn:R00200	ATP:pyruvate 2-O-phosphotransferase; ATP + Pyruvate <=> ADP + Phosphoenolpyruvate
rn:R00203	pyruvaldehyde:NAD+ oxidoreductase; 2-oxopropanal:NAD+ oxidoreductase; Methylglyoxal + NAD+ + H2O <=> Pyruvate + NADH + H+
rn:R00205	2-Oxopropanal:NADP+ oxidoreductase; Methylglyoxal + NADP+ + H2O <=> Pyruvate + NADPH + H+
rn:R00206	ATP:pyruvate,phosphate phosphotransferase; ATP + Pyruvate + Orthophosphate <=> AMP + Phosphoenolpyruvate + Diphosphate
rn:R00207	Pyruvate:oxygen 2-oxidoreductase (phosphorylating); Pyruvate + Orthophosphate + Oxygen <=> Acetyl phosphate + Hydrogen peroxide + CO2
rn:R00208	Phosphoenolpyruvate phosphohydrolase; Phosphoenolpyruvate + H2O <=> Pyruvate + Orthophosphate
rn:R00209	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating); pyruvate dehydrogenase complex; Pyruvate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+
rn:R00210	pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating); Pyruvate + CoA + NADP+ <=> Acetyl-CoA + CO2 + NADPH + H+
rn:R00211	pyruvate:oxygen 2-oxidoreductase (CoA-acetylating); Pyruvate + CoA + Oxygen <=> Hydrogen peroxide + Acetyl-CoA + CO2
rn:R00212	Acetyl-CoA:formate C-acetyltransferase; Acetyl-CoA + Formate <=> CoA + Pyruvate
rn:R00213	O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming); O-Carbamoyl-L-serine + H2O <=> Pyruvate + 2 Ammonia + CO2
rn:R00214	(S)-malate:NAD+ oxidoreductase (decarboxylating); (S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+
rn:R00215	(R)-Malate:NAD+ oxidoreductase (decarboxylating); (R)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+
rn:R00216	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating); (S)-Malate + NADP+ <=> Pyruvate + CO2 + NADPH + H+
rn:R00217	oxaloacetate carboxy-lyase (pyruvate-forming); Oxaloacetate <=> Pyruvate + CO2
rn:R00218	acetylenedicarboxylate carboxy-lyase (pyruvate-forming); Acetylenedicarboxylate + H2O <=> Pyruvate + CO2
rn:R00219	2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming); Pyruvate + CO2 <=> 2-Hydroxyethylenedicarboxylate
rn:R00220	L-serine ammonia-lyase; L-Serine <=> Pyruvate + Ammonia
rn:R00221	D-serine ammonia-lyase; D-Serine <=> Pyruvate + Ammonia
rn:R00223	serine ammonia-lyase (pyruvate-forming); Serine <=> Pyruvate + Ammonia
rn:R00224	pyruvate carboxy-lyase (acetaldehyde-forming); Pyruvate <=> Acetaldehyde + CO2
rn:R00226	pyruvate:pyruvate acetaldehydetransferase (decarboxylating); (S)-2-acetolactate pyruvate-lyase (carboxylating); (S)-2-Acetolactate + CO2 <=> 2 Pyruvate
rn:R00227	Acetyl-CoA hydrolase; Acetyl-CoA + H2O <=> CoA + Acetate
rn:R00228	acetaldehyde:NAD+ oxidoreductase (CoA-acetylating); Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+
rn:R00229	acetate:CoA ligase (ADP-forming); ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate
rn:R00230	acetyl-CoA:phosphate acetyltransferase; Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate
rn:R00233	malonyl-CoA carboxy-lyase (acetyl-CoA-forming); Malonyl-CoA <=> Acetyl-CoA + CO2
rn:R00235	Acetate:CoA ligase (AMP-forming); ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA
rn:R00236	acetyl adenylate:CoA acetyltransferase; Acetyl adenylate + CoA <=> AMP + Acetyl-CoA
rn:R00237	(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming); (3S)-Citramalyl-CoA <=> Acetyl-CoA + Pyruvate
