SCENARIO	REACTION
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R01082
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R03316
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R00709
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R00342
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R00268
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R00352
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R01324
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R00351
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R01899
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R00707
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R01197
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R00405
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R07618
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R00727
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R00621
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R03348
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R01054
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R01959
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R02668
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R02324
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R02323
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R00189
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R00104
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R02294
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R07410
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R00103
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R01960
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R00678
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R04293
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R00257
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R04292
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R03005
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R00481
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R07407
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R00137
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R01268
NAD and NADP cofactor biosynthesis global:Tryptophan and PRPP to NAD:1:reactions	R02665
Purine conversions:AMP to Hypoxanthine:4:reactions	R00182
Purine conversions:AMP to Hypoxanthine:4:reactions	R02142
Purine conversions:AMP to Hypoxanthine:4:reactions	R01561
Purine conversions:AMP to Hypoxanthine:4:reactions	R00183
Purine conversions:AMP to Hypoxanthine:4:reactions	R00332
Purine conversions:AMP to Hypoxanthine:4:reactions	R02089
Purine conversions:AMP to Hypoxanthine:4:reactions	R02748
Purine conversions:AMP to Hypoxanthine:4:reactions	R01227
Purine conversions:AMP to Hypoxanthine:4:reactions	R01244
Purine conversions:AMP to Hypoxanthine:4:reactions	R01245
Purine conversions:AMP to Hypoxanthine:4:reactions	R01083
Purine conversions:AMP to Hypoxanthine:4:reactions	R01863
Purine conversions:AMP to Hypoxanthine:4:reactions	R01677
Purine conversions:AMP to Hypoxanthine:4:reactions	R01135
Purine conversions:AMP to Hypoxanthine:4:reactions	R01967
Purine conversions:AMP to Hypoxanthine:4:reactions	R01562
Purine conversions:AMP to Hypoxanthine:4:reactions	R00330
Purine conversions:AMP to Hypoxanthine:4:reactions	R00127
Purine conversions:AMP to Hypoxanthine:4:reactions	R02088
Purine conversions:AMP to Hypoxanthine:4:reactions	R01676
Purine conversions:AMP to Hypoxanthine:4:reactions	R01130
Purine conversions:AMP to Hypoxanthine:4:reactions	R02556
Purine conversions:AMP to Hypoxanthine:4:reactions	R01231
Purine conversions:AMP to Hypoxanthine:4:reactions	R01969
Purine conversions:AMP to Hypoxanthine:4:reactions	R02147
Purine conversions:AMP to Hypoxanthine:4:reactions	R01547
Purine conversions:AMP to Hypoxanthine:4:reactions	R00190
Purine conversions:AMP to Hypoxanthine:4:reactions	R01770
Purine conversions:AMP to Hypoxanthine:4:reactions	R01856
Purine conversions:AMP to Hypoxanthine:4:reactions	R01560
Purine conversions:AMP to Hypoxanthine:4:reactions	R02719
Purine conversions:AMP to Hypoxanthine:4:reactions	R01229
Purine conversions:AMP to Hypoxanthine:4:reactions	R01968
Purine conversions:AMP to Hypoxanthine:4:reactions	R01228
Purine conversions:AMP to Hypoxanthine:4:reactions	R02297
Purine conversions:AMP to Hypoxanthine:4:reactions	R01132
Purine conversions:AMP to Hypoxanthine:4:reactions	R02148
Purine conversions:AMP to Hypoxanthine:4:reactions	R01230
Purine conversions:AMP to Hypoxanthine:4:reactions	R00185
Purine conversions:AMP to Hypoxanthine:4:reactions	R01134
Purine conversions:AMP to Hypoxanthine:4:reactions	R02143
Purine conversions:AMP to Hypoxanthine:4:reactions	R02090
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R01061
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R00658
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R04779
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R00199
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R01600
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R01786
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R01058
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R02073
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R01070
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R04780
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R01063
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R01512
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R01518
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R01015
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R02740
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R00200
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R00206
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:24:reactions	R03321
Purine conversions:AMP to Hypoxanthine:5:reactions	R00182
Purine conversions:AMP to Hypoxanthine:5:reactions	R02142
Purine conversions:AMP to Hypoxanthine:5:reactions	R01561
Purine conversions:AMP to Hypoxanthine:5:reactions	R00183
Purine conversions:AMP to Hypoxanthine:5:reactions	R00332
Purine conversions:AMP to Hypoxanthine:5:reactions	R02089
Purine conversions:AMP to Hypoxanthine:5:reactions	R02748
Purine conversions:AMP to Hypoxanthine:5:reactions	R01227
Purine conversions:AMP to Hypoxanthine:5:reactions	R01244
Purine conversions:AMP to Hypoxanthine:5:reactions	R01245
Purine conversions:AMP to Hypoxanthine:5:reactions	R01083
Purine conversions:AMP to Hypoxanthine:5:reactions	R01863
Purine conversions:AMP to Hypoxanthine:5:reactions	R01677
Purine conversions:AMP to Hypoxanthine:5:reactions	R01135
Purine conversions:AMP to Hypoxanthine:5:reactions	R01967
Purine conversions:AMP to Hypoxanthine:5:reactions	R01562
Purine conversions:AMP to Hypoxanthine:5:reactions	R00330
Purine conversions:AMP to Hypoxanthine:5:reactions	R00127
Purine conversions:AMP to Hypoxanthine:5:reactions	R02088
Purine conversions:AMP to Hypoxanthine:5:reactions	R01676
Purine conversions:AMP to Hypoxanthine:5:reactions	R01130
Purine conversions:AMP to Hypoxanthine:5:reactions	R02556
Purine conversions:AMP to Hypoxanthine:5:reactions	R01231
Purine conversions:AMP to Hypoxanthine:5:reactions	R01969
Purine conversions:AMP to Hypoxanthine:5:reactions	R02147
Purine conversions:AMP to Hypoxanthine:5:reactions	R01547
Purine conversions:AMP to Hypoxanthine:5:reactions	R00190
Purine conversions:AMP to Hypoxanthine:5:reactions	R01770
Purine conversions:AMP to Hypoxanthine:5:reactions	R01856
Purine conversions:AMP to Hypoxanthine:5:reactions	R01560
Purine conversions:AMP to Hypoxanthine:5:reactions	R02719
Purine conversions:AMP to Hypoxanthine:5:reactions	R01229
Purine conversions:AMP to Hypoxanthine:5:reactions	R01968
Purine conversions:AMP to Hypoxanthine:5:reactions	R01228
Purine conversions:AMP to Hypoxanthine:5:reactions	R02297
Purine conversions:AMP to Hypoxanthine:5:reactions	R01132
Purine conversions:AMP to Hypoxanthine:5:reactions	R02148
Purine conversions:AMP to Hypoxanthine:5:reactions	R01230
Purine conversions:AMP to Hypoxanthine:5:reactions	R00185
Purine conversions:AMP to Hypoxanthine:5:reactions	R01134
Purine conversions:AMP to Hypoxanthine:5:reactions	R02143
Purine conversions:AMP to Hypoxanthine:5:reactions	R02090
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R06447
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R01121
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R05634
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R02082
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R05688
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R05633
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R05884
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R05555
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R02003
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R05636
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R02245
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R03245
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R01658
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R01978
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R05637
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R05883
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R08209
Isoprenoid Biosynthesis:Pyruvate and Glyceraldehyde3P to IsopentenylPP:2:reactions	R00238
Threonine degradation:Threonine to Methylglyoxal:1:reactions	R00751
Threonine degradation:Threonine to Methylglyoxal:1:reactions	R00371
Threonine degradation:Threonine to Methylglyoxal:1:reactions	R00996
Threonine degradation:Threonine to Methylglyoxal:1:reactions	R03758
Threonine degradation:Threonine to Methylglyoxal:1:reactions	R01465
Threonine degradation:Threonine to Methylglyoxal:1:reactions	R02529
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R01061
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R00658
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R04779
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R00199
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R01600
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R01786
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R01058
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R02073
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R01070
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R04780
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R01063
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R01512
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R01518
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R01015
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R02740
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R00200
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R00206
Glycolysis and Gluconeogenesis:Glucose to Glycerate3P:1:reactions	R03321
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R06531
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R07772
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05809
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R07773
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05149
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05219
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R04594
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05181
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05227
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R04148
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05220
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05223
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R07302
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05815
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R07775
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05218
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05224
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R03194
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R06558
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05177
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05810
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R03947
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05221
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05226
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05814
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R07774
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05217
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05807
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R06530
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05812
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05222
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05180
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05150
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R06529
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05808
Coenzyme B12 biosynthesis:Uroporphyrinogen III to Coenzyme B12 anaerobic:1:reactions	R05225
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R04138
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R01088
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R02085
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R02082
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R01090
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R04095
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R07602
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R00410
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R04097
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R01360
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R07618
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R01357
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R01978
Leucine Degradation and HMG-CoA Metabolism:Leucine to IsovalerylCoA:2:reactions	R07601
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R06447
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R01121
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R05634
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R02082
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R05688
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R05633
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R05884
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R07219
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R08210
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R02003
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R02245
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R05883
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R08209
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R05555
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R05636
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R03245
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R01658
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R01978
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R05637
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:6:reactions	R00238
Trehalose Biosynthesis:Maltose to Trehalose:1:reactions	R02727
Trehalose Biosynthesis:Maltose to Trehalose:1:reactions	R02778
Trehalose Biosynthesis:Maltose to Trehalose:1:reactions	R01557
Trehalose Biosynthesis:Maltose to Trehalose:1:reactions	R02737
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R01061
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R00658
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R04779
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R00199
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R01600
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R01786
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R01058
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R02073
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R01070
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R04780
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R01063
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R01512
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R01518
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R01015
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R02740
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R00200
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R00206
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:11:reactions	R03321
One-carbon metabolism by tetrahydropterines:MethyleneTHF to Tetrahydrofolate:1:reactions	R00943
One-carbon metabolism by tetrahydropterines:MethyleneTHF to Tetrahydrofolate:1:reactions	R03464
One-carbon metabolism by tetrahydropterines:MethyleneTHF to Tetrahydrofolate:1:reactions	R00944
One-carbon metabolism by tetrahydropterines:MethyleneTHF to Tetrahydrofolate:1:reactions	R07168
One-carbon metabolism by tetrahydropterines:MethyleneTHF to Tetrahydrofolate:1:reactions	R01220
One-carbon metabolism by tetrahydropterines:MethyleneTHF to Tetrahydrofolate:1:reactions	R01655
One-carbon metabolism by tetrahydropterines:MethyleneTHF to Tetrahydrofolate:1:reactions	R02301
One-carbon metabolism by tetrahydropterines:MethyleneTHF to Tetrahydrofolate:1:reactions	R01224
One-carbon metabolism by tetrahydropterines:MethyleneTHF to Tetrahydrofolate:1:reactions	R04456
One-carbon metabolism by tetrahydropterines:MethyleneTHF to Tetrahydrofolate:1:reactions	R02302
Ubiquinone Biosynthesis:Chorismate to Hydroxybenzoate:1:reactions	R05615
Ubiquinone Biosynthesis:Chorismate to Hydroxybenzoate:1:reactions	R04987
Ubiquinone Biosynthesis:Chorismate to Hydroxybenzoate:1:reactions	R04988
Ubiquinone Biosynthesis:Chorismate to Hydroxybenzoate:1:reactions	R05614
Ubiquinone Biosynthesis:Chorismate to Hydroxybenzoate:1:reactions	R04989
Ubiquinone Biosynthesis:Chorismate to Hydroxybenzoate:1:reactions	R01302
Ubiquinone Biosynthesis:Chorismate to Hydroxybenzoate:1:reactions	R04990
Ubiquinone Biosynthesis:Chorismate to Hydroxybenzoate:1:reactions	R04986
Ubiquinone Biosynthesis:Chorismate to Hydroxybenzoate:1:reactions	R06146
Pterin biosynthesis:Dihydrobiopterin to Tetrahydrobiopterin:2:reactions	R01813
Pterin biosynthesis:Dihydrobiopterin to Tetrahydrobiopterin:2:reactions	R07211
Pterin biosynthesis:Dihydrobiopterin to Tetrahydrobiopterin:2:reactions	R04286
Pterin biosynthesis:Dihydrobiopterin to Tetrahydrobiopterin:2:reactions	R04285
Pterin biosynthesis:Dihydrobiopterin to Tetrahydrobiopterin:2:reactions	R04639
Pterin biosynthesis:Dihydrobiopterin to Tetrahydrobiopterin:2:reactions	R00428
Pterin biosynthesis:Dihydrobiopterin to Tetrahydrobiopterin:2:reactions	R04734
Pterin biosynthesis:Dihydrobiopterin to Tetrahydrobiopterin:2:reactions	R01794
Pterin biosynthesis:Dihydrobiopterin to Tetrahydrobiopterin:2:reactions	R05048
Pterin biosynthesis:Dihydrobiopterin to Tetrahydrobiopterin:2:reactions	R05046
