Class	Sub-class	Name	Role	Reaction
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Glycine cleavage system H protein	rxn06493
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Glycine cleavage system H protein	rxn06600
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	rxn06377
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	rxn06493
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	rxn06377
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	rxn06493
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	rxn06377
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	rxn06493
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	L-serine dehydratase (EC 4.3.1.17)	rxn00165
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	L-serine dehydratase 1 (EC 4.3.1.17)	rxn00165
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	L-serine dehydratase 1 (EC 4.3.1.17)	rxn00737
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	L-serine dehydratase, alpha subunit (EC 4.3.1.17)	rxn00165
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	L-serine dehydratase, beta subunit (EC 4.3.1.17)	rxn00165
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Monoamine oxidase (1.4.3.4)	rxn01715
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Monoamine oxidase (1.4.3.4)	rxn01833
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Phosphoserine aminotransferase (EC 2.6.1.52)	rxn02914
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Phosphoserine aminotransferase (EC 2.6.1.52)	rxn03445
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Phosphoserine phosphatase (EC 3.1.3.3)	rxn00420
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn00692
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Serine transporter	rxn05307
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Seryl-tRNA synthetase (EC 6.1.1.11)	rxn13782
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Threonine dehydratase, catabolic (EC 4.3.1.19)	rxn00737
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	rxn06600
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	rxn01241
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	rxn06493
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Glycine cleavage system H protein	rxn06493
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Glycine cleavage system H protein	rxn06600
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	rxn06377
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	rxn06493
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	rxn06377
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	rxn06493
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	rxn06377
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	rxn06493
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	L-serine dehydratase (EC 4.3.1.17)	rxn00165
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Lipoate-protein ligase A	rxn07584
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn00692
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	rxn01101
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	Phosphoserine aminotransferase (EC 2.6.1.52)	rxn02914
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	Phosphoserine aminotransferase (EC 2.6.1.52)	rxn03445
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	Phosphoserine aminotransferase, putative (EC 2.6.1.52)	rxn02914
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	Phosphoserine phosphatase (EC 3.1.3.3)	rxn00420
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn00692
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	Acetylglutamate kinase (EC 2.7.2.8)	rxn01917
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	Acetylornithine aminotransferase (EC 2.6.1.11)	rxn01637
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	Acetylornithine deacetylase (EC 3.5.1.16)	rxn00469
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	Argininosuccinate lyase (EC 4.3.2.1)	rxn00802
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	Argininosuccinate synthase (EC 6.3.4.5)	rxn01434
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	Glutamate N-acetyltransferase (EC 2.3.1.35)	rxn01636
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	rxn02465
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	N-acetylglutamate synthase (EC 2.3.1.1)	rxn00192
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	Ornithine carbamoyltransferase (EC 2.1.3.3)	rxn01019
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	Acetylglutamate kinase (EC 2.7.2.8)	rxn01917
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	Acetylornithine aminotransferase (EC 2.6.1.11)	rxn01637
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	Acetylornithine aminotransferase 1 (EC 2.6.1.11)	rxn01637
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	Acetylornithine deacetylase (EC 3.5.1.16)	rxn00469
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	Argininosuccinate lyase (EC 4.3.2.1)	rxn00802
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	Argininosuccinate synthase (EC 6.3.4.5)	rxn01434
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	Glutamate N-acetyltransferase (EC 2.3.1.35)	rxn01636
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	rxn02465
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	N-acetylglutamate synthase (EC 2.3.1.1)	rxn00192
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	N-acetylornithine carbamoyltransferase (EC 2.1.3.9)	rxn05012
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)	rxn01973
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	Ornithine carbamoyltransferase (EC 2.1.3.3)	rxn01019
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	Arginine deiminase (EC 3.5.3.6)	rxn00395
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	Arginine/ornithine antiporter ArcD	rxn10131
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	Carbamate kinase (EC 2.7.2.2)	rxn00114
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	Ornithine carbamoyltransferase (EC 2.1.3.3)	rxn01019
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Agmatinase (EC 3.5.3.11)	rxn00858
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Agmatine deiminase (EC 3.5.3.12)	rxn01029
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginase (EC 3.5.3.1)	rxn00394
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginine ABC transporter, ATP-binding protein ArtP	rxn05154
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginine ABC transporter, periplasmic arginine-binding protein ArtJ	rxn05154
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginine ABC transporter, permease protein ArtM	rxn05154
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginine ABC transporter, permease protein ArtQ	rxn05154
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginine N-succinyltransferase (EC 2.3.1.109)	rxn00601
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginine decarboxylase (EC 4.1.1.19)	rxn00322
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginine decarboxylase (EC 4.1.1.19)	rxn00405
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginine decarboxylase, catabolic (EC 4.1.1.19)	rxn00405
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginine deiminase (EC 3.5.3.6)	rxn00395
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginine permease RocE	rxn05303
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Arginine/ornithine antiporter ArcD	rxn10131
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Biosynthetic arginine decarboxylase (EC 4.1.1.19)	rxn00405
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Carbamate kinase (EC 2.7.2.2)	rxn00114
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	rxn00183
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	rxn00503
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Histidine ABC transporter, ATP-binding protein HisP (TC 3.A.1.3.1)	rxn05164
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Histidine ABC transporter, histidine-binding periplasmic protein precursor HisJ (TC 3.A.1.3.1)	rxn05164
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Histidine ABC transporter, permease protein HisM (TC 3.A.1.3.1)	rxn05164
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Histidine ABC transporter, permease protein HisQ (TC 3.A.1.3.1)	rxn05164
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)	rxn05151
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)	rxn05156
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	N-carbamoylputrescine amidase (3.5.1.53)	rxn00853
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	rxn00184
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Ornithine aminotransferase (EC 2.6.1.13)	rxn00467
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Ornithine carbamoyltransferase (EC 2.1.3.3)	rxn01019
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Ornithine cyclodeaminase (EC 4.3.1.12)	rxn00471
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Ornithine decarboxylase (EC 4.1.1.17)	rxn00470
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Putrescine aminotransferase (EC 2.6.1.82)	rxn00856
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Succinylarginine dihydrolase (EC 3.5.3.23)	rxn02927
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Succinylglutamate desuccinylase (EC 3.5.1.96)	rxn00291
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71)	rxn03422
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	Succinylornithine transaminase (EC 2.6.1.81)	rxn02944
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Cyanophycin_Metabolism	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	rxn00416
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Cyanophycin_Metabolism	Glutamate--cysteine ligase (EC 6.3.2.2)	rxn00646
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)	rxn01851
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	rxn00143
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	rxn01021
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Agmatinase (EC 3.5.3.11)	rxn00858
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Agmatine deiminase (EC 3.5.3.12)	rxn01029
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Arginine decarboxylase (EC 4.1.1.19)	rxn00322
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Arginine decarboxylase (EC 4.1.1.19)	rxn00405
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Arginine decarboxylase, catabolic (EC 4.1.1.19)	rxn00405
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Arginine/ornithine antiporter ArcD	rxn10131
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Biosynthetic arginine decarboxylase (EC 4.1.1.19)	rxn00405
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Carbamate kinase (EC 2.7.2.2)	rxn00114
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	N-carbamoylputrescine amidase (3.5.1.53)	rxn00853
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Ornithine decarboxylase (EC 4.1.1.17)	rxn00470
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Putrescine transport ATP-binding protein potG (TC 3.A.1.11.2)	rxn05163
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Putrescine transport ATP-binding protein potG (TC 3.A.1.11.2)	rxn05175
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Putrescine transport system permease protein potH (TC 3.A.1.11.2)	rxn05163
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Putrescine transport system permease protein potH (TC 3.A.1.11.2)	rxn05175
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Putrescine transport system permease protein potI (TC 3.A.1.11.2)	rxn05163
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Putrescine transport system permease protein potI (TC 3.A.1.11.2)	rxn05175
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Putrescine/proton symporter, putrescine/ornithine antiporter PotE	rxn05687
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Putrescine/proton symporter, putrescine/ornithine antiporter PotE	rxn10182
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), eukaryotic	rxn00127
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1A	rxn00127
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1B	rxn00127
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Spermidine N1-acetyltransferase (EC 2.3.1.57)	rxn09264
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	Spermidine N1-acetyltransferase (EC 2.3.1.57)	rxn09265
